k_heads_ablated,accuracy,last_head_removed
0,0.8781512975692749,
0,0.96875,
1,0.8781512975692749,"(24, 34)"
1,0.96875,"(24, 34)"
2,0.8781512975692749,"(21, 29)"
2,0.96875,"(21, 29)"
3,0.8781512975692749,"(27, 15)"
3,0.96875,"(27, 15)"
4,0.8781512975692749,"(30, 36)"
4,0.96875,"(30, 36)"
5,0.8865546584129333,"(20, 31)"
5,0.96875,"(20, 31)"
6,0.890756368637085,"(18, 20)"
6,0.96875,"(18, 20)"
7,0.890756368637085,"(32, 21)"
7,0.96875,"(32, 21)"
8,0.890756368637085,"(22, 17)"
8,0.96875,"(22, 17)"
9,0.890756368637085,"(18, 9)"
9,0.96875,"(18, 9)"
10,0.890756368637085,"(26, 32)"
10,0.96875,"(26, 32)"
11,0.890756368637085,"(6, 16)"
11,0.96875,"(6, 16)"
12,0.890756368637085,"(21, 23)"
12,0.96875,"(21, 23)"
13,0.8739496469497681,"(20, 17)"
13,0.96875,"(20, 17)"
14,0.8739496469497681,"(29, 12)"
14,0.96875,"(29, 12)"
15,0.9117647409439087,"(18, 26)"
15,0.96875,"(18, 26)"
16,0.9117647409439087,"(26, 27)"
16,0.96875,"(26, 27)"
17,0.9117647409439087,"(23, 2)"
17,0.96875,"(23, 2)"
18,0.9159664511680603,"(12, 37)"
18,0.96875,"(12, 37)"
19,0.9159664511680603,"(23, 4)"
19,0.96875,"(23, 4)"
20,0.8949580192565918,"(13, 35)"
20,0.96875,"(13, 35)"
21,0.8949580192565918,"(31, 27)"
21,0.96875,"(31, 27)"
22,0.8949580192565918,"(18, 36)"
22,0.96875,"(18, 36)"
23,0.8949580192565918,"(9, 2)"
23,0.96875,"(9, 2)"
24,0.8949580192565918,"(24, 33)"
24,0.96875,"(24, 33)"
25,0.8949580192565918,"(20, 18)"
25,0.96875,"(20, 18)"
26,0.8949580192565918,"(18, 39)"
26,0.96875,"(18, 39)"
27,0.8949580192565918,"(16, 29)"
27,0.96875,"(16, 29)"
28,0.8949580192565918,"(13, 7)"
28,0.96875,"(13, 7)"
29,0.8949580192565918,"(30, 2)"
29,0.96875,"(30, 2)"
30,0.8949580192565918,"(26, 10)"
30,0.96875,"(26, 10)"
31,0.8949580192565918,"(25, 38)"
31,0.96875,"(25, 38)"
32,0.8949580192565918,"(25, 30)"
32,0.96875,"(25, 30)"
