k_heads_ablated,accuracy,last_head_removed
0,0.9090909361839294,
0,0.9090909361839294,
0,0.9090909361839294,
0,0.9090909361839294,
0,0.9090909361839294,
1,0.9090909361839294,"(31, 34)"
1,0.9090909361839294,"(23, 39)"
1,0.9090909361839294,"(22, 6)"
1,0.9090909361839294,"(11, 4)"
1,0.9090909361839294,"(21, 21)"
2,0.9090909361839294,"(5, 1)"
2,0.9090909361839294,"(34, 15)"
2,0.9090909361839294,"(22, 8)"
2,0.9090909361839294,"(13, 1)"
2,0.9090909361839294,"(28, 3)"
3,0.9090909361839294,"(29, 9)"
3,0.9090909361839294,"(8, 19)"
3,0.9090909361839294,"(26, 14)"
3,0.9090909361839294,"(29, 9)"
3,0.9090909361839294,"(11, 15)"
4,0.9090909361839294,"(15, 7)"
4,0.9090909361839294,"(24, 8)"
4,0.9090909361839294,"(28, 4)"
4,0.9090909361839294,"(2, 25)"
4,0.9090909361839294,"(31, 11)"
5,0.9090909361839294,"(33, 20)"
5,0.9090909361839294,"(17, 12)"
5,0.9090909361839294,"(0, 1)"
5,0.9090909361839294,"(33, 34)"
5,0.9090909361839294,"(8, 31)"
6,0.9090909361839294,"(23, 39)"
6,0.9090909361839294,"(8, 10)"
6,0.9090909361839294,"(22, 23)"
6,0.9090909361839294,"(1, 30)"
6,0.9090909361839294,"(31, 39)"
7,0.9090909361839294,"(0, 33)"
7,0.9090909361839294,"(12, 20)"
7,0.9090909361839294,"(35, 36)"
7,0.9090909361839294,"(15, 4)"
7,0.9090909361839294,"(34, 29)"
8,0.9090909361839294,"(11, 38)"
8,0.9090909361839294,"(0, 36)"
8,0.9090909361839294,"(30, 9)"
8,0.9090909361839294,"(16, 24)"
8,0.9090909361839294,"(35, 26)"
9,0.9090909361839294,"(9, 6)"
9,0.9090909361839294,"(10, 29)"
9,0.9090909361839294,"(19, 16)"
9,0.9090909361839294,"(29, 2)"
9,0.9090909361839294,"(5, 28)"
10,0.9090909361839294,"(28, 26)"
10,0.9090909361839294,"(23, 0)"
10,0.9318181872367859,"(31, 26)"
10,0.9090909361839294,"(29, 11)"
10,0.9090909361839294,"(26, 19)"
11,0.9090909361839294,"(4, 37)"
11,0.9090909361839294,"(19, 6)"
11,0.9090909361839294,"(3, 25)"
11,0.9090909361839294,"(32, 25)"
11,0.9090909361839294,"(10, 3)"
12,0.9090909361839294,"(8, 23)"
12,0.9090909361839294,"(3, 10)"
12,0.9090909361839294,"(33, 22)"
12,0.9090909361839294,"(8, 30)"
12,0.9090909361839294,"(27, 11)"
13,0.9090909361839294,"(1, 34)"
13,0.9090909361839294,"(0, 3)"
13,0.9090909361839294,"(29, 7)"
13,0.9318181872367859,"(5, 33)"
13,0.9090909361839294,"(9, 12)"
14,0.9090909361839294,"(33, 32)"
14,0.9090909361839294,"(18, 16)"
14,0.9090909361839294,"(19, 0)"
14,0.9090909361839294,"(22, 38)"
14,0.9090909361839294,"(6, 31)"
15,0.9090909361839294,"(35, 38)"
15,0.9090909361839294,"(14, 0)"
15,0.9090909361839294,"(26, 23)"
15,0.9090909361839294,"(35, 39)"
