k_heads_ablated,accuracy,last_head_removed
0,0.9090909361839294,
1,0.886363685131073,"(24, 34)"
2,0.9090909361839294,"(21, 29)"
3,0.9090909361839294,"(27, 15)"
4,0.9090909361839294,"(30, 36)"
5,0.886363685131073,"(20, 31)"
6,0.8636363744735718,"(18, 20)"
7,0.886363685131073,"(32, 21)"
8,0.8636363744735718,"(22, 17)"
9,0.8636363744735718,"(18, 9)"
10,0.8636363744735718,"(26, 32)"
11,0.8636363744735718,"(6, 16)"
12,0.8636363744735718,"(21, 23)"
13,0.8409091234207153,"(20, 17)"
14,0.8409091234207153,"(29, 12)"
15,0.8409091234207153,"(18, 26)"
16,0.8409091234207153,"(26, 27)"
17,0.8409091234207153,"(23, 2)"
18,0.8409091234207153,"(12, 37)"
19,0.8409091234207153,"(23, 4)"
20,0.8409091234207153,"(13, 35)"
21,0.8409091234207153,"(31, 27)"
22,0.8409091234207153,"(18, 36)"
23,0.8409091234207153,"(9, 2)"
24,0.8181818723678589,"(24, 33)"
25,0.5909091234207153,"(20, 18)"
26,0.5909091234207153,"(18, 39)"
27,0.5909091234207153,"(16, 29)"
28,0.5909091234207153,"(13, 7)"
29,0.5909091234207153,"(30, 2)"
30,0.5909091234207153,"(26, 10)"
31,0.5681818127632141,"(25, 38)"
32,0.5454545617103577,"(25, 30)"
33,0.5454545617103577,"(20, 39)"
34,0.5909091234207153,"(20, 30)"
35,0.5454545617103577,"(19, 3)"
36,0.5227273106575012,"(29, 3)"
37,0.5454545617103577,"(27, 20)"
38,0.5227273106575012,"(25, 10)"
39,0.5454545617103577,"(21, 1)"
40,0.5,"(15, 9)"
41,0.5,"(9, 17)"
42,0.5,"(7, 6)"
43,0.5,"(30, 17)"
44,0.5,"(27, 7)"
45,0.5,"(23, 31)"
46,0.5,"(22, 39)"
47,0.5454545617103577,"(20, 21)"
48,0.5454545617103577,"(20, 14)"
49,0.5454545617103577,"(20, 13)"
50,0.5454545617103577,"(19, 29)"
51,0.5454545617103577,"(18, 35)"
52,0.4545454680919647,"(18, 34)"
53,0.4545454680919647,"(12, 23)"
54,0.4545454680919647,"(11, 24)"
55,0.4545454680919647,"(8, 24)"
56,0.4545454680919647,"(8, 15)"
57,0.4545454680919647,"(28, 28)"
58,0.4545454680919647,"(27, 14)"
59,0.4545454680919647,"(25, 15)"
60,0.4545454680919647,"(23, 37)"
61,0.5227273106575012,"(21, 27)"
62,0.5227273106575012,"(20, 24)"
63,0.5227273106575012,"(20, 15)"
64,0.47727274894714355,"(19, 23)"
65,0.27272728085517883,"(19, 13)"
66,0.27272728085517883,"(17, 29)"
67,0.22727273404598236,"(17, 18)"
68,0.22727273404598236,"(16, 18)"
69,0.22727273404598236,"(12, 33)"
70,0.22727273404598236,"(11, 25)"
71,0.25,"(8, 18)"
72,0.25,"(8, 16)"
73,0.27272728085517883,"(7, 4)"
74,0.27272728085517883,"(33, 14)"
75,0.27272728085517883,"(29, 1)"
76,0.27272728085517883,"(28, 39)"
77,0.27272728085517883,"(28, 32)"
78,0.27272728085517883,"(27, 1)"
79,0.29545456171035767,"(26, 17)"
80,0.29545456171035767,"(25, 12)"
81,0.27272728085517883,"(24, 28)"
82,0.25,"(24, 11)"
83,0.25,"(22, 11)"
84,0.25,"(22, 3)"
85,0.25,"(21, 34)"
86,0.25,"(21, 30)"
87,0.25,"(21, 19)"
88,0.25,"(20, 36)"
89,0.25,"(20, 25)"
90,0.25,"(20, 22)"
91,0.25,"(20, 16)"
92,0.25,"(18, 3)"
93,0.25,"(17, 39)"
94,0.25,"(17, 24)"
95,0.25,"(17, 7)"
96,0.25,"(15, 33)"
97,0.25,"(15, 3)"
98,0.20454546809196472,"(13, 19)"
99,0.20454546809196472,"(12, 39)"
100,0.1818181872367859,"(8, 29)"
101,0.25,"(8, 13)"
102,0.27272728085517883,"(7, 36)"
103,0.27272728085517883,"(7, 1)"
104,0.27272728085517883,"(5, 30)"
105,0.27272728085517883,"(4, 3)"
106,0.27272728085517883,"(32, 23)"
107,0.27272728085517883,"(31, 16)"
108,0.27272728085517883,"(29, 24)"
109,0.27272728085517883,"(28, 6)"
110,0.27272728085517883,"(27, 27)"
111,0.27272728085517883,"(27, 9)"
112,0.27272728085517883,"(27, 8)"
113,0.27272728085517883,"(27, 6)"
114,0.27272728085517883,"(26, 36)"
115,0.27272728085517883,"(26, 22)"
116,0.27272728085517883,"(26, 18)"
117,0.27272728085517883,"(26, 13)"
118,0.27272728085517883,"(26, 2)"
119,0.27272728085517883,"(25, 25)"
120,0.27272728085517883,"(25, 14)"
121,0.27272728085517883,"(24, 36)"
122,0.27272728085517883,"(23, 27)"
123,0.27272728085517883,"(23, 24)"
124,0.25,"(22, 13)"
125,0.22727273404598236,"(22, 2)"
126,0.22727273404598236,"(21, 39)"
127,0.1818181872367859,"(21, 2)"
128,0.20454546809196472,"(20, 4)"
129,0.20454546809196472,"(20, 0)"
130,0.13636364042758942,"(19, 31)"
131,0.13636364042758942,"(19, 19)"
132,0.15909090638160706,"(19, 17)"
133,0.13636364042758942,"(19, 9)"
134,0.13636364042758942,"(19, 1)"
135,0.13636364042758942,"(18, 18)"
136,0.13636364042758942,"(18, 2)"
137,0.13636364042758942,"(17, 28)"
138,0.20454546809196472,"(17, 6)"
139,0.1818181872367859,"(16, 12)"
140,0.15909090638160706,"(16, 11)"
141,0.1818181872367859,"(15, 20)"
142,0.1818181872367859,"(15, 14)"
143,0.1818181872367859,"(14, 32)"
144,0.20454546809196472,"(14, 25)"
145,0.20454546809196472,"(14, 19)"
146,0.15909090638160706,"(14, 16)"
147,0.15909090638160706,"(14, 14)"
148,0.15909090638160706,"(14, 11)"
149,0.15909090638160706,"(13, 20)"
150,0.15909090638160706,"(13, 18)"
