k_heads_ablated,accuracy,last_head_removed
0,0.8781512975692749,
0,0.9090909361839294,
1,0.8781512975692749,"(27, 36)"
1,0.9090909361839294,"(27, 36)"
2,0.8781512975692749,"(22, 1)"
2,0.9090909361839294,"(22, 1)"
3,0.8781512975692749,"(17, 27)"
3,0.9090909361839294,"(17, 27)"
4,0.8823530077934265,"(19, 18)"
4,0.9090909361839294,"(19, 18)"
5,0.8823530077934265,"(20, 23)"
5,0.9090909361839294,"(20, 23)"
6,0.8823530077934265,"(25, 27)"
6,0.9090909361839294,"(25, 27)"
7,0.8823530077934265,"(16, 20)"
7,0.9090909361839294,"(16, 20)"
8,0.8823530077934265,"(24, 3)"
8,0.9090909361839294,"(24, 3)"
9,0.8823530077934265,"(30, 30)"
9,0.9090909361839294,"(30, 30)"
10,0.8823530077934265,"(14, 18)"
10,0.9090909361839294,"(14, 18)"
11,0.8823530077934265,"(26, 13)"
11,0.9090909361839294,"(26, 13)"
12,0.8823530077934265,"(21, 30)"
12,0.9090909361839294,"(21, 30)"
13,0.8823530077934265,"(26, 3)"
13,0.9090909361839294,"(26, 3)"
14,0.8823530077934265,"(22, 31)"
14,0.9090909361839294,"(22, 31)"
15,0.8823530077934265,"(17, 39)"
15,0.9090909361839294,"(17, 39)"
16,0.8865546584129333,"(18, 1)"
16,0.9090909361839294,"(18, 1)"
17,0.8949580192565918,"(14, 36)"
17,0.9090909361839294,"(14, 36)"
18,0.8949580192565918,"(27, 24)"
18,0.9090909361839294,"(27, 24)"
19,0.8949580192565918,"(30, 14)"
19,0.9090909361839294,"(30, 14)"
20,0.8949580192565918,"(21, 21)"
20,0.9090909361839294,"(21, 21)"
21,0.8949580192565918,"(16, 34)"
21,0.9090909361839294,"(16, 34)"
22,0.8949580192565918,"(22, 8)"
22,0.9090909361839294,"(22, 8)"
23,0.8949580192565918,"(20, 38)"
23,0.9090909361839294,"(20, 38)"
24,0.8949580192565918,"(30, 12)"
24,0.9090909361839294,"(30, 12)"
25,0.8949580192565918,"(22, 35)"
25,0.9090909361839294,"(22, 35)"
26,0.8949580192565918,"(22, 14)"
26,0.9090909361839294,"(22, 14)"
27,0.8949580192565918,"(20, 2)"
27,0.9090909361839294,"(20, 2)"
28,0.8949580192565918,"(18, 21)"
28,0.9090909361839294,"(18, 21)"
29,0.8949580192565918,"(31, 17)"
29,0.9090909361839294,"(31, 17)"
30,0.8949580192565918,"(21, 8)"
30,0.9090909361839294,"(21, 8)"
31,0.8949580192565918,"(15, 13)"
31,0.9090909361839294,"(15, 13)"
32,0.8949580192565918,"(25, 34)"
32,0.9090909361839294,"(25, 34)"
33,0.8949580192565918,"(23, 19)"
33,0.9090909361839294,"(23, 19)"
34,0.8991597294807434,"(20, 27)"
34,0.9090909361839294,"(20, 27)"
35,0.8991597294807434,"(8, 28)"
35,0.9090909361839294,"(8, 28)"
36,0.8991597294807434,"(27, 33)"
36,0.9090909361839294,"(27, 33)"
37,0.8991597294807434,"(24, 32)"
