k_heads_ablated,accuracy,last_head_removed
0,0.96875,
0,0.96875,
0,0.96875,
0,0.96875,
0,0.96875,
1,0.96875,"(17, 34)"
1,0.96875,"(9, 21)"
1,0.96875,"(19, 37)"
1,0.96875,"(22, 2)"
1,0.96875,"(3, 20)"
2,0.96875,"(0, 28)"
2,0.96875,"(31, 14)"
2,0.96875,"(20, 17)"
2,0.96875,"(28, 5)"
2,0.96875,"(16, 36)"
3,0.96875,"(33, 4)"
3,0.96875,"(13, 18)"
3,0.96875,"(19, 26)"
3,0.96875,"(20, 18)"
3,0.96875,"(15, 2)"
4,0.96875,"(18, 8)"
4,0.96875,"(16, 9)"
4,0.96875,"(22, 2)"
4,0.96875,"(5, 17)"
4,0.96875,"(2, 16)"
5,0.96875,"(23, 6)"
5,0.96875,"(18, 23)"
5,0.96875,"(7, 14)"
5,0.96875,"(1, 8)"
5,0.96875,"(7, 4)"
6,0.96875,"(3, 1)"
6,0.96875,"(0, 27)"
6,0.96875,"(18, 37)"
6,0.96875,"(21, 31)"
6,0.96875,"(23, 0)"
7,0.96875,"(17, 23)"
7,0.96875,"(28, 11)"
7,0.96875,"(17, 11)"
7,0.96875,"(9, 0)"
7,0.96875,"(29, 9)"
8,0.96875,"(9, 2)"
8,0.96875,"(16, 12)"
8,0.96875,"(15, 30)"
8,0.96875,"(21, 25)"
8,0.96875,"(6, 22)"
9,0.96875,"(10, 10)"
9,0.96875,"(33, 30)"
9,0.96875,"(1, 15)"
9,0.96875,"(15, 34)"
9,0.96875,"(8, 5)"
10,0.96875,"(6, 24)"
10,0.96875,"(28, 35)"
10,0.96875,"(22, 34)"
10,0.96875,"(34, 7)"
10,0.96875,"(0, 28)"
11,0.96875,"(3, 24)"
11,0.96875,"(35, 1)"
11,0.96875,"(9, 14)"
11,0.96875,"(5, 33)"
11,0.96875,"(2, 11)"
12,0.96875,"(6, 29)"
12,0.96875,"(13, 10)"
12,0.96875,"(34, 27)"
12,0.96875,"(0, 10)"
12,0.96875,"(16, 16)"
13,0.96875,"(27, 14)"
13,0.96875,"(24, 28)"
13,0.96875,"(26, 35)"
13,0.96875,"(16, 6)"
13,0.96875,"(29, 30)"
14,0.96875,"(29, 17)"
14,0.96875,"(9, 31)"
14,0.96875,"(35, 24)"
14,0.96875,"(34, 26)"
14,0.9375,"(13, 21)"
15,0.96875,"(33, 8)"
15,0.96875,"(5, 13)"
15,0.96875,"(8, 21)"
15,0.96875,"(18, 36)"
15,0.9375,"(25, 7)"
16,0.9375,"(13, 22)"
16,0.9375,"(13, 22)"
16,0.96875,"(11, 4)"
16,0.96875,"(1, 10)"
16,0.9375,"(16, 9)"
17,0.9375,"(20, 16)"
17,0.9375,"(6, 9)"
17,0.96875,"(19, 16)"
17,0.96875,"(26, 24)"
17,0.9375,"(34, 16)"
18,0.9375,"(8, 8)"
18,0.9375,"(15, 9)"
18,0.96875,"(16, 27)"
18,0.96875,"(30, 4)"
18,0.9375,"(33, 36)"
19,0.9375,"(19, 37)"
19,0.9375,"(35, 33)"
19,0.96875,"(31, 20)"
19,0.96875,"(18, 18)"
19,0.9375,"(33, 21)"
20,0.9375,"(33, 19)"
20,0.9375,"(26, 6)"
20,0.96875,"(10, 28)"
20,0.96875,"(9, 33)"
20,0.9375,"(15, 3)"
21,0.9375,"(22, 22)"
21,0.9375,"(21, 28)"
21,0.96875,"(14, 22)"
21,0.96875,"(9, 19)"
21,0.9375,"(12, 31)"
22,0.9375,"(12, 38)"
22,0.9375,"(15, 20)"
22,0.96875,"(29, 29)"
22,0.96875,"(2, 19)"
22,0.9375,"(3, 26)"
23,0.9375,"(15, 8)"
23,0.9375,"(10, 29)"
23,0.9375,"(16, 18)"
