k_heads_ablated,accuracy,last_head_removed
0,0.96875,
1,0.96875,"(27, 36)"
2,0.9375,"(22, 1)"
3,0.9375,"(17, 27)"
4,0.96875,"(19, 18)"
5,0.96875,"(20, 23)"
6,0.96875,"(25, 27)"
7,0.96875,"(16, 20)"
8,0.96875,"(24, 3)"
9,0.96875,"(30, 30)"
10,0.96875,"(14, 18)"
11,0.9375,"(26, 13)"
12,0.9375,"(21, 30)"
13,0.9375,"(26, 3)"
14,0.90625,"(22, 31)"
15,0.90625,"(17, 39)"
16,0.875,"(18, 1)"
17,0.8125,"(14, 36)"
18,0.71875,"(27, 24)"
19,0.71875,"(30, 14)"
20,0.65625,"(21, 21)"
21,0.625,"(16, 34)"
22,0.53125,"(22, 8)"
23,0.53125,"(20, 38)"
24,0.53125,"(30, 12)"
25,0.59375,"(22, 35)"
26,0.5625,"(22, 14)"
27,0.53125,"(20, 2)"
28,0.4375,"(18, 21)"
29,0.4375,"(31, 17)"
30,0.375,"(21, 8)"
31,0.375,"(15, 13)"
32,0.375,"(25, 34)"
33,0.375,"(23, 19)"
34,0.34375,"(20, 27)"
35,0.34375,"(8, 28)"
36,0.34375,"(27, 33)"
37,0.34375,"(24, 32)"
38,0.34375,"(20, 13)"
39,0.3125,"(16, 17)"
40,0.34375,"(16, 11)"
41,0.3125,"(15, 0)"
42,0.3125,"(11, 31)"
43,0.3125,"(8, 18)"
44,0.3125,"(8, 9)"
45,0.3125,"(31, 23)"
46,0.3125,"(30, 32)"
47,0.3125,"(28, 1)"
48,0.3125,"(26, 18)"
49,0.25,"(26, 14)"
50,0.21875,"(24, 36)"
51,0.21875,"(24, 30)"
52,0.15625,"(22, 11)"
53,0.15625,"(20, 22)"
54,0.1875,"(17, 6)"
55,0.21875,"(14, 38)"
56,0.21875,"(11, 10)"
57,0.21875,"(10, 36)"
58,0.21875,"(8, 22)"
59,0.21875,"(6, 23)"
60,0.21875,"(4, 9)"
61,0.21875,"(31, 38)"
62,0.21875,"(28, 17)"
63,0.21875,"(28, 9)"
64,0.21875,"(26, 29)"
65,0.15625,"(25, 31)"
66,0.15625,"(25, 21)"
67,0.15625,"(25, 18)"
68,0.15625,"(25, 6)"
69,0.15625,"(24, 22)"
70,0.15625,"(23, 38)"
71,0.15625,"(23, 31)"
72,0.15625,"(22, 25)"
73,0.125,"(21, 24)"
74,0.09375,"(21, 13)"
75,0.09375,"(20, 28)"
76,0.125,"(20, 21)"
77,0.125,"(18, 26)"
78,0.09375,"(18, 24)"
79,0.03125,"(18, 5)"
80,0.03125,"(17, 29)"
81,0.03125,"(17, 16)"
82,0.03125,"(16, 21)"
83,0.03125,"(16, 14)"
84,0.0,"(15, 22)"
85,0.0,"(14, 21)"
86,0.0,"(14, 20)"
87,0.0,"(13, 16)"
88,0.0,"(12, 15)"
89,0.0,"(11, 33)"
90,0.0,"(7, 10)"
91,0.0,"(7, 6)"
