k_heads_ablated,accuracy,last_head_removed
0,0.9071729779243469,
0,0.8781512975692749,
1,0.9071729779243469,"(19, 18)"
1,0.8823530077934265,"(19, 18)"
2,0.9071729779243469,"(16, 20)"
2,0.8823530077934265,"(16, 20)"
3,0.9071729779243469,"(30, 30)"
3,0.8823530077934265,"(30, 30)"
4,0.9071729779243469,"(26, 13)"
4,0.8823530077934265,"(26, 13)"
5,0.9071729779243469,"(21, 30)"
5,0.8823530077934265,"(21, 30)"
6,0.9071729779243469,"(22, 1)"
6,0.8823530077934265,"(22, 1)"
7,0.911392331123352,"(18, 1)"
7,0.8823530077934265,"(18, 1)"
8,0.915611743927002,"(14, 36)"
8,0.890756368637085,"(14, 36)"
9,0.915611743927002,"(17, 27)"
9,0.890756368637085,"(17, 27)"
10,0.915611743927002,"(31, 17)"
10,0.890756368637085,"(31, 17)"
11,0.915611743927002,"(24, 3)"
11,0.890756368637085,"(24, 3)"
12,0.915611743927002,"(20, 23)"
12,0.890756368637085,"(20, 23)"
13,0.9071729779243469,"(16, 34)"
13,0.8949580192565918,"(16, 34)"
14,0.915611743927002,"(21, 8)"
14,0.8949580192565918,"(21, 8)"
15,0.915611743927002,"(17, 39)"
15,0.8949580192565918,"(17, 39)"
16,0.915611743927002,"(14, 18)"
16,0.8949580192565918,"(14, 18)"
17,0.915611743927002,"(22, 14)"
17,0.8949580192565918,"(22, 14)"
18,0.911392331123352,"(18, 5)"
18,0.890756368637085,"(18, 5)"
19,0.911392331123352,"(21, 21)"
19,0.890756368637085,"(21, 21)"
20,0.911392331123352,"(20, 13)"
20,0.890756368637085,"(20, 13)"
21,0.911392331123352,"(20, 2)"
21,0.890756368637085,"(20, 2)"
22,0.911392331123352,"(30, 14)"
22,0.890756368637085,"(30, 14)"
23,0.911392331123352,"(26, 32)"
23,0.890756368637085,"(26, 32)"
24,0.911392331123352,"(27, 36)"
24,0.890756368637085,"(27, 36)"
25,0.911392331123352,"(22, 31)"
25,0.890756368637085,"(22, 31)"
26,0.9071729779243469,"(6, 23)"
26,0.890756368637085,"(6, 23)"
27,0.9071729779243469,"(27, 24)"
27,0.890756368637085,"(27, 24)"
28,0.911392331123352,"(20, 27)"
28,0.8949580192565918,"(20, 27)"
29,0.9071729779243469,"(8, 22)"
29,0.8949580192565918,"(8, 22)"
30,0.9071729779243469,"(12, 15)"
30,0.8949580192565918,"(12, 15)"
31,0.9071729779243469,"(30, 12)"
31,0.8949580192565918,"(30, 12)"
32,0.9071729779243469,"(25, 27)"
