k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,1.0,
0,1.0,
0,1.0,
0,1.0,
1,1.0,"(23, 8)"
1,1.0,"(4, 39)"
1,1.0,"(31, 2)"
1,1.0,"(2, 18)"
1,1.0,"(29, 35)"
2,1.0,"(24, 24)"
2,1.0,"(28, 25)"
2,1.0,"(10, 38)"
2,1.0,"(14, 10)"
2,1.0,"(19, 36)"
3,1.0,"(35, 26)"
3,1.0,"(35, 26)"
3,1.0,"(17, 23)"
3,1.0,"(32, 23)"
3,1.0,"(29, 9)"
4,1.0,"(15, 38)"
4,1.0,"(31, 3)"
4,1.0,"(8, 7)"
4,1.0,"(13, 0)"
4,1.0,"(32, 9)"
5,1.0,"(29, 27)"
5,1.0,"(16, 0)"
5,1.0,"(21, 12)"
5,1.0,"(6, 1)"
5,1.0,"(30, 29)"
6,1.0,"(25, 6)"
6,1.0,"(16, 16)"
6,1.0,"(9, 32)"
6,1.0,"(7, 23)"
6,1.0,"(8, 34)"
7,1.0,"(22, 38)"
7,1.0,"(12, 33)"
7,1.0,"(27, 15)"
7,1.0,"(2, 12)"
7,1.0,"(28, 24)"
8,1.0,"(25, 30)"
8,1.0,"(14, 16)"
8,1.0,"(16, 12)"
8,1.0,"(17, 23)"
8,1.0,"(15, 16)"
9,1.0,"(32, 24)"
9,0.9729729890823364,"(9, 36)"
9,0.9729729890823364,"(20, 21)"
9,1.0,"(31, 35)"
9,1.0,"(31, 13)"
10,1.0,"(30, 28)"
10,0.9729729890823364,"(11, 38)"
10,0.9729729890823364,"(0, 22)"
10,1.0,"(6, 20)"
10,1.0,"(33, 30)"
11,1.0,"(16, 23)"
11,0.9459459781646729,"(27, 7)"
11,0.9729729890823364,"(0, 13)"
11,1.0,"(19, 27)"
11,1.0,"(34, 10)"
12,1.0,"(35, 37)"
12,0.9729729890823364,"(22, 6)"
12,0.9729729890823364,"(31, 34)"
12,1.0,"(24, 11)"
12,1.0,"(35, 12)"
13,1.0,"(32, 29)"
13,0.9729729890823364,"(9, 6)"
13,0.9729729890823364,"(2, 14)"
13,1.0,"(8, 25)"
13,1.0,"(17, 26)"
14,1.0,"(26, 2)"
14,0.9729729890823364,"(32, 27)"
14,0.9729729890823364,"(32, 9)"
14,1.0,"(11, 4)"
14,1.0,"(23, 3)"
15,1.0,"(18, 4)"
15,0.9459459781646729,"(13, 23)"
15,0.9729729890823364,"(6, 8)"
15,1.0,"(2, 21)"
15,1.0,"(32, 23)"
16,1.0,"(20, 15)"
16,0.9459459781646729,"(29, 0)"
16,0.9729729890823364,"(31, 30)"
16,1.0,"(9, 30)"
16,1.0,"(3, 21)"
17,1.0,"(12, 34)"
17,0.9459459781646729,"(7, 9)"
17,0.9729729890823364,"(0, 5)"
17,1.0,"(4, 30)"
17,1.0,"(23, 23)"
18,1.0,"(30, 11)"
18,0.9459459781646729,"(21, 15)"
18,0.9729729890823364,"(27, 39)"
18,1.0,"(21, 33)"
18,0.9729729890823364,"(5, 29)"
