k_heads_ablated,accuracy,last_head_removed
0,1.0,
1,1.0,"(19, 18)"
2,1.0,"(16, 20)"
3,0.9459459781646729,"(30, 30)"
4,0.9459459781646729,"(26, 13)"
5,0.9729729890823364,"(21, 30)"
6,0.9729729890823364,"(22, 1)"
7,0.9729729890823364,"(18, 1)"
8,0.9729729890823364,"(14, 36)"
9,0.9729729890823364,"(17, 27)"
10,0.9729729890823364,"(31, 17)"
11,0.9729729890823364,"(24, 3)"
12,0.9729729890823364,"(20, 23)"
13,0.9189189672470093,"(16, 34)"
14,0.8918918967247009,"(21, 8)"
15,0.8648648858070374,"(17, 39)"
16,0.8648648858070374,"(14, 18)"
17,0.8378378748893738,"(22, 14)"
18,0.8378378748893738,"(18, 5)"
19,0.8378378748893738,"(21, 21)"
20,0.8378378748893738,"(20, 13)"
21,0.8108108043670654,"(20, 2)"
22,0.8108108043670654,"(30, 14)"
23,0.8108108043670654,"(26, 32)"
24,0.7837837934494019,"(27, 36)"
25,0.6486486792564392,"(22, 31)"
26,0.6486486792564392,"(6, 23)"
27,0.5675675868988037,"(27, 24)"
28,0.45945948362350464,"(20, 27)"
29,0.45945948362350464,"(8, 22)"
30,0.4324324429035187,"(12, 15)"
31,0.4324324429035187,"(30, 12)"
32,0.4324324429035187,"(25, 27)"
33,0.4054054021835327,"(22, 8)"
34,0.4054054021835327,"(19, 23)"
35,0.37837839126586914,"(16, 14)"
36,0.37837839126586914,"(8, 9)"
37,0.37837839126586914,"(7, 6)"
38,0.37837839126586914,"(28, 3)"
39,0.37837839126586914,"(26, 18)"
40,0.37837839126586914,"(26, 3)"
41,0.21621622145175934,"(22, 35)"
42,0.18918919563293457,"(15, 13)"
43,0.1621621698141098,"(15, 0)"
44,0.1621621698141098,"(31, 27)"
45,0.1621621698141098,"(23, 38)"
46,0.1621621698141098,"(19, 3)"
47,0.1621621698141098,"(18, 13)"
48,0.13513514399528503,"(11, 31)"
49,0.13513514399528503,"(4, 9)"
50,0.13513514399528503,"(24, 36)"
51,0.13513514399528503,"(20, 36)"
52,0.13513514399528503,"(19, 31)"
53,0.1621621698141098,"(19, 26)"
54,0.1621621698141098,"(18, 34)"
55,0.1621621698141098,"(18, 24)"
56,0.1621621698141098,"(17, 16)"
57,0.1621621698141098,"(8, 28)"
58,0.1621621698141098,"(8, 18)"
59,0.1621621698141098,"(32, 10)"
60,0.1621621698141098,"(31, 23)"
61,0.1621621698141098,"(29, 17)"
62,0.1621621698141098,"(29, 12)"
63,0.1621621698141098,"(28, 34)"
64,0.1621621698141098,"(26, 14)"
65,0.1621621698141098,"(24, 35)"
66,0.1621621698141098,"(24, 32)"
67,0.1621621698141098,"(24, 30)"
68,0.1621621698141098,"(24, 15)"
69,0.1621621698141098,"(24, 10)"
70,0.1621621698141098,"(23, 19)"
71,0.1621621698141098,"(23, 16)"
72,0.1621621698141098,"(22, 11)"
73,0.1621621698141098,"(22, 2)"
74,0.1621621698141098,"(21, 34)"
75,0.1621621698141098,"(20, 12)"
76,0.1621621698141098,"(20, 0)"
77,0.1621621698141098,"(18, 21)"
78,0.18918919563293457,"(17, 29)"
79,0.18918919563293457,"(16, 21)"
80,0.18918919563293457,"(16, 17)"
81,0.1621621698141098,"(16, 11)"
82,0.10810811072587967,"(15, 22)"
83,0.10810811072587967,"(15, 19)"
84,0.10810811072587967,"(14, 20)"
85,0.10810811072587967,"(13, 35)"
86,0.0810810849070549,"(13, 13)"
87,0.10810811072587967,"(12, 30)"
88,0.10810811072587967,"(12, 28)"
89,0.10810811072587967,"(11, 24)"
90,0.0810810849070549,"(10, 36)"
91,0.0810810849070549,"(9, 16)"
92,0.0810810849070549,"(9, 15)"
93,0.0810810849070549,"(7, 36)"
94,0.0810810849070549,"(4, 34)"
