k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,0.918367326259613,
0,0.9071729779243469,
0,1.0,
0,0.782608687877655,
1,1.0,"(22, 30)"
1,0.918367326259613,"(22, 30)"
1,0.9071729779243469,"(22, 30)"
1,1.0,"(22, 30)"
1,0.782608687877655,"(22, 30)"
2,1.0,"(16, 19)"
2,0.918367326259613,"(16, 19)"
2,0.911392331123352,"(16, 19)"
2,1.0,"(16, 19)"
2,0.782608687877655,"(16, 19)"
3,1.0,"(3, 25)"
3,0.918367326259613,"(3, 25)"
3,0.915611743927002,"(3, 25)"
3,1.0,"(3, 25)"
3,0.782608687877655,"(3, 25)"
4,1.0,"(21, 37)"
4,0.918367326259613,"(21, 37)"
4,0.915611743927002,"(21, 37)"
4,1.0,"(21, 37)"
4,0.782608687877655,"(21, 37)"
5,1.0,"(18, 29)"
5,0.9319727420806885,"(18, 29)"
5,0.9198311567306519,"(18, 29)"
5,1.0,"(18, 29)"
5,0.760869562625885,"(18, 29)"
6,1.0,"(8, 20)"
6,0.918367326259613,"(8, 20)"
6,0.9198311567306519,"(8, 20)"
6,1.0,"(8, 20)"
6,0.760869562625885,"(8, 20)"
7,1.0,"(9, 22)"
7,0.9251700639724731,"(9, 22)"
7,0.9240505695343018,"(9, 22)"
7,1.0,"(9, 22)"
7,0.760869562625885,"(9, 22)"
8,1.0,"(27, 22)"
8,0.9251700639724731,"(27, 22)"
8,0.9240505695343018,"(27, 22)"
8,1.0,"(27, 22)"
8,0.760869562625885,"(27, 22)"
9,1.0,"(23, 9)"
9,0.9251700639724731,"(23, 9)"
9,0.9240505695343018,"(23, 9)"
9,1.0,"(23, 9)"
9,0.760869562625885,"(23, 9)"
10,1.0,"(19, 5)"
10,0.9251700639724731,"(19, 5)"
10,0.9240505695343018,"(19, 5)"
10,1.0,"(19, 5)"
10,0.760869562625885,"(19, 5)"
11,1.0,"(28, 20)"
11,0.9251700639724731,"(28, 20)"
11,0.9240505695343018,"(28, 20)"
11,1.0,"(28, 20)"
11,0.760869562625885,"(28, 20)"
12,1.0,"(22, 15)"
12,0.9251700639724731,"(22, 15)"
12,0.9240505695343018,"(22, 15)"
12,1.0,"(22, 15)"
12,0.760869562625885,"(22, 15)"
13,1.0,"(22, 19)"
13,0.9251700639724731,"(22, 19)"
13,0.9240505695343018,"(22, 19)"
13,1.0,"(22, 19)"
13,0.760869562625885,"(22, 19)"
14,1.0,"(19, 33)"
14,0.9319727420806885,"(19, 33)"
14,0.9198311567306519,"(19, 33)"
14,1.0,"(19, 33)"
14,0.739130437374115,"(19, 33)"
15,1.0,"(4, 3)"
15,0.9319727420806885,"(4, 3)"
15,0.9198311567306519,"(4, 3)"
15,1.0,"(4, 3)"
15,0.739130437374115,"(4, 3)"
16,1.0,"(16, 13)"
16,0.9319727420806885,"(16, 13)"
16,0.9240505695343018,"(16, 13)"
16,1.0,"(16, 13)"
