k_heads_ablated,accuracy,last_head_removed
0,0.8781512975692749,
0,0.8781512975692749,
0,0.8781512975692749,
0,0.8781512975692749,
0,0.8781512975692749,
1,0.8781512975692749,"(35, 5)"
1,0.8781512975692749,"(20, 5)"
1,0.8823530077934265,"(3, 35)"
1,0.8781512975692749,"(30, 9)"
1,0.8781512975692749,"(18, 0)"
2,0.8781512975692749,"(4, 31)"
2,0.8781512975692749,"(31, 26)"
2,0.8865546584129333,"(4, 38)"
2,0.8781512975692749,"(0, 34)"
2,0.8781512975692749,"(6, 32)"
3,0.8823530077934265,"(11, 28)"
3,0.8781512975692749,"(14, 10)"
3,0.8865546584129333,"(35, 8)"
3,0.8823530077934265,"(28, 24)"
3,0.8739496469497681,"(6, 35)"
4,0.8823530077934265,"(4, 35)"
4,0.8865546584129333,"(10, 39)"
4,0.8865546584129333,"(33, 22)"
4,0.8823530077934265,"(30, 4)"
4,0.8739496469497681,"(20, 24)"
5,0.8823530077934265,"(23, 33)"
5,0.8865546584129333,"(29, 9)"
5,0.890756368637085,"(6, 15)"
5,0.8739496469497681,"(8, 34)"
5,0.8739496469497681,"(17, 38)"
6,0.8823530077934265,"(15, 35)"
6,0.8865546584129333,"(10, 38)"
6,0.890756368637085,"(23, 8)"
6,0.8823530077934265,"(15, 10)"
6,0.8739496469497681,"(4, 35)"
7,0.8823530077934265,"(2, 26)"
7,0.8823530077934265,"(2, 29)"
7,0.890756368637085,"(11, 12)"
7,0.8781512975692749,"(1, 12)"
7,0.8823530077934265,"(3, 33)"
8,0.8823530077934265,"(3, 27)"
8,0.8823530077934265,"(20, 18)"
8,0.890756368637085,"(30, 6)"
8,0.8823530077934265,"(4, 11)"
8,0.8823530077934265,"(11, 30)"
9,0.8781512975692749,"(3, 16)"
9,0.8823530077934265,"(22, 17)"
9,0.8949580192565918,"(0, 31)"
9,0.8823530077934265,"(31, 22)"
9,0.8823530077934265,"(9, 24)"
10,0.8781512975692749,"(19, 12)"
10,0.8823530077934265,"(18, 14)"
10,0.8865546584129333,"(5, 11)"
10,0.8823530077934265,"(13, 27)"
10,0.8865546584129333,"(3, 37)"
11,0.8823530077934265,"(5, 29)"
11,0.8823530077934265,"(6, 36)"
11,0.8865546584129333,"(8, 19)"
11,0.8823530077934265,"(1, 30)"
11,0.8823530077934265,"(15, 35)"
12,0.8823530077934265,"(26, 12)"
12,0.8823530077934265,"(34, 24)"
12,0.8865546584129333,"(29, 18)"
12,0.8823530077934265,"(23, 14)"
12,0.8823530077934265,"(2, 13)"
13,0.8949580192565918,"(13, 34)"
13,0.8865546584129333,"(5, 36)"
13,0.9033613801002502,"(0, 37)"
13,0.8823530077934265,"(33, 0)"
13,0.8865546584129333,"(3, 30)"
14,0.8949580192565918,"(26, 19)"
14,0.8865546584129333,"(8, 21)"
14,0.9033613801002502,"(31, 25)"
14,0.890756368637085,"(2, 23)"
14,0.8865546584129333,"(25, 35)"
15,0.8949580192565918,"(17, 24)"
15,0.861344575881958,"(8, 11)"
15,0.8949580192565918,"(8, 6)"
15,0.8949580192565918,"(34, 13)"
15,0.8865546584129333,"(29, 32)"
16,0.8949580192565918,"(8, 0)"
16,0.861344575881958,"(6, 31)"
16,0.8949580192565918,"(31, 27)"
16,0.8949580192565918,"(18, 16)"
16,0.890756368637085,"(0, 4)"
17,0.8949580192565918,"(8, 25)"
17,0.861344575881958,"(34, 9)"
17,0.8949580192565918,"(12, 13)"
17,0.890756368637085,"(16, 22)"
17,0.890756368637085,"(29, 20)"
18,0.8949580192565918,"(23, 17)"
18,0.861344575881958,"(6, 18)"
18,0.8949580192565918,"(14, 11)"
18,0.890756368637085,"(21, 1)"
18,0.890756368637085,"(34, 26)"
19,0.8949580192565918,"(35, 22)"
19,0.861344575881958,"(33, 15)"
19,0.8949580192565918,"(30, 17)"
19,0.890756368637085,"(14, 34)"
19,0.890756368637085,"(29, 14)"
20,0.8949580192565918,"(18, 19)"
20,0.861344575881958,"(34, 0)"
20,0.8949580192565918,"(12, 30)"
20,0.890756368637085,"(26, 39)"
20,0.890756368637085,"(4, 5)"
21,0.890756368637085,"(6, 10)"
21,0.861344575881958,"(5, 24)"
21,0.8949580192565918,"(0, 3)"
21,0.8949580192565918,"(13, 10)"
21,0.890756368637085,"(26, 15)"
22,0.890756368637085,"(20, 25)"
22,0.861344575881958,"(13, 29)"
22,0.8949580192565918,"(34, 28)"
22,0.8949580192565918,"(26, 16)"
22,0.890756368637085,"(17, 30)"
23,0.890756368637085,"(13, 16)"
23,0.8361344933509827,"(20, 17)"
23,0.8949580192565918,"(12, 26)"
23,0.8949580192565918,"(0, 18)"
23,0.890756368637085,"(5, 26)"
24,0.890756368637085,"(34, 26)"
24,0.8361344933509827,"(25, 36)"
24,0.8949580192565918,"(17, 37)"
24,0.8949580192565918,"(20, 12)"
24,0.890756368637085,"(0, 38)"
25,0.890756368637085,"(2, 13)"
25,0.8361344933509827,"(3, 36)"
25,0.8949580192565918,"(1, 13)"
25,0.8949580192565918,"(4, 31)"
25,0.890756368637085,"(17, 28)"
26,0.890756368637085,"(22, 31)"
26,0.8361344933509827,"(24, 34)"
26,0.8949580192565918,"(27, 5)"
26,0.8991597294807434,"(18, 25)"
26,0.890756368637085,"(26, 37)"
27,0.890756368637085,"(4, 18)"
27,0.8361344933509827,"(35, 4)"
27,0.8949580192565918,"(23, 7)"
27,0.9033613801002502,"(4, 38)"
27,0.890756368637085,"(29, 7)"
28,0.890756368637085,"(35, 39)"
28,0.8361344933509827,"(0, 32)"
28,0.8991597294807434,"(15, 20)"
28,0.9033613801002502,"(7, 23)"
28,0.890756368637085,"(33, 37)"
29,0.890756368637085,"(34, 6)"
29,0.8235294818878174,"(16, 23)"
29,0.8991597294807434,"(33, 10)"
29,0.9033613801002502,"(5, 17)"
29,0.890756368637085,"(33, 26)"
30,0.890756368637085,"(33, 31)"
30,0.8277311325073242,"(1, 0)"
30,0.8991597294807434,"(1, 21)"
30,0.8991597294807434,"(8, 17)"
30,0.8865546584129333,"(20, 12)"
31,0.890756368637085,"(30, 21)"
31,0.8277311325073242,"(19, 31)"
31,0.8991597294807434,"(10, 14)"
31,0.8991597294807434,"(29, 15)"
31,0.890756368637085,"(18, 37)"
32,0.890756368637085,"(34, 0)"
32,0.8277311325073242,"(21, 30)"
32,0.8991597294807434,"(25, 38)"
32,0.9033613801002502,"(24, 37)"
32,0.8949580192565918,"(33, 32)"
33,0.890756368637085,"(32, 39)"
33,0.8277311325073242,"(21, 35)"
33,0.8991597294807434,"(23, 23)"
33,0.9075630903244019,"(15, 9)"
33,0.8949580192565918,"(25, 1)"
34,0.890756368637085,"(31, 34)"
34,0.8235294818878174,"(14, 15)"
34,0.8991597294807434,"(26, 38)"
34,0.9075630903244019,"(33, 24)"
34,0.890756368637085,"(13, 36)"
35,0.890756368637085,"(34, 14)"
35,0.8235294818878174,"(24, 32)"
35,0.8991597294807434,"(28, 31)"
35,0.9075630903244019,"(33, 36)"
35,0.8823530077934265,"(7, 0)"
36,0.890756368637085,"(0, 31)"
36,0.8277311325073242,"(15, 24)"
36,0.8991597294807434,"(7, 34)"
36,0.9075630903244019,"(28, 21)"
36,0.8823530077934265,"(33, 36)"
37,0.890756368637085,"(21, 26)"
37,0.8277311325073242,"(10, 25)"
37,0.8991597294807434,"(25, 34)"
37,0.9075630903244019,"(25, 10)"
37,0.8823530077934265,"(14, 36)"
38,0.890756368637085,"(18, 10)"
38,0.8235294818878174,"(19, 0)"
38,0.8991597294807434,"(19, 21)"
38,0.8949580192565918,"(13, 26)"
38,0.8823530077934265,"(4, 17)"
39,0.890756368637085,"(29, 34)"
39,0.8235294818878174,"(8, 18)"
39,0.8991597294807434,"(0, 8)"
39,0.890756368637085,"(8, 15)"
39,0.8823530077934265,"(16, 16)"
40,0.8991597294807434,"(7, 39)"
40,0.8319328427314758,"(2, 6)"
40,0.8991597294807434,"(17, 10)"
40,0.890756368637085,"(27, 19)"
40,0.8823530077934265,"(8, 10)"
41,0.8991597294807434,"(33, 32)"
41,0.8193277716636658,"(5, 28)"
41,0.8991597294807434,"(25, 8)"
41,0.8991597294807434,"(17, 15)"
41,0.8823530077934265,"(5, 19)"
42,0.8991597294807434,"(12, 19)"
42,0.8193277716636658,"(34, 5)"
42,0.8991597294807434,"(18, 30)"
42,0.8991597294807434,"(33, 18)"
42,0.8823530077934265,"(10, 22)"
43,0.8991597294807434,"(23, 34)"
43,0.8151261210441589,"(7, 19)"
43,0.9033613801002502,"(14, 32)"
43,0.8991597294807434,"(2, 28)"
43,0.8823530077934265,"(5, 30)"
44,0.8991597294807434,"(32, 29)"
44,0.8067227602005005,"(4, 17)"
44,0.9033613801002502,"(3, 7)"
44,0.9033613801002502,"(11, 23)"
44,0.8823530077934265,"(27, 28)"
45,0.8991597294807434,"(9, 24)"
45,0.8067227602005005,"(33, 4)"
45,0.9033613801002502,"(20, 32)"
45,0.9033613801002502,"(30, 23)"
45,0.8823530077934265,"(0, 25)"
46,0.8991597294807434,"(33, 39)"
46,0.8109244108200073,"(2, 30)"
46,0.9033613801002502,"(29, 1)"
46,0.8991597294807434,"(16, 2)"
