k_heads_ablated,accuracy,last_head_removed
0,0.8781512975692749,
1,0.8823530077934265,"(22, 30)"
2,0.8697479367256165,"(16, 19)"
3,0.8781512975692749,"(3, 25)"
4,0.8739496469497681,"(21, 37)"
5,0.8655462861061096,"(18, 29)"
6,0.8655462861061096,"(8, 20)"
7,0.8655462861061096,"(9, 22)"
8,0.8445378541946411,"(27, 22)"
9,0.7941176891326904,"(23, 9)"
10,0.7899159789085388,"(19, 5)"
11,0.7983193397521973,"(28, 20)"
12,0.7605042457580566,"(22, 15)"
13,0.6428571939468384,"(22, 19)"
14,0.5462185144424438,"(19, 33)"
15,0.542016863822937,"(4, 3)"
16,0.5336134433746338,"(16, 13)"
17,0.529411792755127,"(10, 0)"
18,0.5252100825309753,"(6, 30)"
19,0.5252100825309753,"(12, 15)"
20,0.5336134433746338,"(8, 13)"
21,0.5252100825309753,"(27, 11)"
22,0.5210084319114685,"(9, 4)"
23,0.5210084319114685,"(3, 6)"
24,0.5210084319114685,"(7, 3)"
25,0.5210084319114685,"(26, 23)"
26,0.5210084319114685,"(11, 31)"
27,0.5210084319114685,"(5, 5)"
28,0.529411792755127,"(18, 22)"
29,0.529411792755127,"(3, 38)"
30,0.5462185144424438,"(19, 28)"
31,0.5336134433746338,"(14, 35)"
32,0.5378151535987854,"(9, 18)"
33,0.5210084319114685,"(21, 22)"
34,0.5210084319114685,"(4, 34)"
35,0.5210084319114685,"(35, 27)"
36,0.5210084319114685,"(6, 28)"
37,0.5210084319114685,"(6, 5)"
38,0.5210084319114685,"(31, 6)"
39,0.5210084319114685,"(30, 27)"
40,0.5210084319114685,"(17, 12)"
41,0.5210084319114685,"(9, 16)"
42,0.5168067216873169,"(28, 13)"
43,0.5252100825309753,"(16, 36)"
44,0.5252100825309753,"(10, 33)"
45,0.5210084319114685,"(9, 17)"
46,0.5252100825309753,"(7, 22)"
47,0.5252100825309753,"(6, 8)"
48,0.5252100825309753,"(5, 4)"
49,0.5252100825309753,"(32, 28)"
50,0.5252100825309753,"(32, 5)"
51,0.5210084319114685,"(31, 0)"
52,0.5336134433746338,"(25, 32)"
53,0.5336134433746338,"(24, 5)"
54,0.5336134433746338,"(23, 21)"
55,0.542016863822937,"(13, 38)"
56,0.5672269463539124,"(13, 22)"
57,0.5672269463539124,"(12, 4)"
58,0.5672269463539124,"(11, 7)"
59,0.5714285969734192,"(9, 5)"
60,0.5672269463539124,"(5, 18)"
61,0.5714285969734192,"(3, 4)"
62,0.5756303071975708,"(2, 33)"
63,0.5756303071975708,"(30, 10)"
64,0.5756303071975708,"(28, 19)"
65,0.5798319578170776,"(26, 24)"
66,0.5798319578170776,"(25, 25)"
67,0.5714285969734192,"(19, 11)"
68,0.5546218752861023,"(18, 13)"
69,0.5504202246665955,"(16, 35)"
70,0.5504202246665955,"(16, 28)"
71,0.49159666895866394,"(16, 18)"
72,0.49159666895866394,"(14, 23)"
73,0.4831933081150055,"(14, 22)"
74,0.4873949885368347,"(14, 8)"
75,0.4831933081150055,"(13, 5)"
76,0.47899162769317627,"(12, 32)"
77,0.47478994727134705,"(9, 23)"
78,0.47478994727134705,"(9, 20)"
79,0.47899162769317627,"(9, 19)"
80,0.4831933081150055,"(9, 8)"
81,0.4831933081150055,"(9, 3)"
82,0.4831933081150055,"(9, 1)"
83,0.47478994727134705,"(8, 33)"
84,0.47899162769317627,"(7, 31)"
85,0.47899162769317627,"(7, 8)"
86,0.47899162769317627,"(7, 1)"
87,0.47478994727134705,"(6, 21)"
88,0.47478994727134705,"(6, 13)"
89,0.4621849060058594,"(6, 6)"
90,0.4495798647403717,"(5, 35)"
91,0.45798322558403015,"(5, 21)"
92,0.4537815451622009,"(5, 10)"
93,0.4537815451622009,"(5, 2)"
94,0.4495798647403717,"(4, 37)"
95,0.4495798647403717,"(4, 29)"
96,0.4537815451622009,"(4, 22)"
97,0.4495798647403717,"(4, 9)"
98,0.4537815451622009,"(4, 1)"
99,0.45798322558403015,"(3, 19)"
100,0.45798322558403015,"(2, 34)"
101,0.45798322558403015,"(2, 8)"
102,0.45798322558403015,"(2, 7)"
103,0.45798322558403015,"(2, 1)"
104,0.45798322558403015,"(0, 14)"
105,0.45798322558403015,"(0, 12)"
