k_heads_ablated,accuracy,last_head_removed
0,0.8781512975692749,
0,0.96875,
0,1.0,
1,0.8823530077934265,"(20, 18)"
1,0.96875,"(20, 18)"
1,1.0,"(20, 18)"
2,0.8865546584129333,"(7, 17)"
2,0.96875,"(7, 17)"
2,1.0,"(7, 17)"
3,0.8865546584129333,"(6, 16)"
3,0.96875,"(6, 16)"
3,1.0,"(6, 16)"
4,0.9243698120117188,"(18, 26)"
4,0.96875,"(18, 26)"
4,1.0,"(18, 26)"
5,0.9243698120117188,"(27, 20)"
5,0.96875,"(27, 20)"
5,1.0,"(27, 20)"
6,0.9243698120117188,"(20, 13)"
6,0.96875,"(20, 13)"
6,1.0,"(20, 13)"
7,0.9243698120117188,"(21, 29)"
7,0.96875,"(21, 29)"
7,0.9729729890823364,"(21, 29)"
8,0.9285714626312256,"(18, 34)"
8,0.96875,"(18, 34)"
8,1.0,"(18, 34)"
9,0.9201681017875671,"(24, 33)"
9,0.96875,"(24, 33)"
9,1.0,"(24, 33)"
10,0.9201681017875671,"(21, 4)"
10,0.96875,"(21, 4)"
10,1.0,"(21, 4)"
11,0.9201681017875671,"(7, 6)"
11,0.96875,"(7, 6)"
11,1.0,"(7, 6)"
12,0.9201681017875671,"(8, 29)"
12,0.96875,"(8, 29)"
12,1.0,"(8, 29)"
13,0.9201681017875671,"(27, 21)"
13,0.96875,"(27, 21)"
13,1.0,"(27, 21)"
14,0.9201681017875671,"(7, 10)"
14,0.96875,"(7, 10)"
14,1.0,"(7, 10)"
15,0.9243698120117188,"(8, 9)"
15,0.96875,"(8, 9)"
15,1.0,"(8, 9)"
16,0.9075630903244019,"(20, 14)"
16,0.96875,"(20, 14)"
16,1.0,"(20, 14)"
17,0.9075630903244019,"(18, 36)"
17,0.96875,"(18, 36)"
17,1.0,"(18, 36)"
18,0.9075630903244019,"(27, 15)"
18,0.96875,"(27, 15)"
18,1.0,"(27, 15)"
19,0.9075630903244019,"(8, 22)"
19,0.96875,"(8, 22)"
19,1.0,"(8, 22)"
20,0.9075630903244019,"(8, 24)"
20,0.96875,"(8, 24)"
20,1.0,"(8, 24)"
21,0.9075630903244019,"(29, 10)"
21,0.96875,"(29, 10)"
21,1.0,"(29, 10)"
22,0.9201681017875671,"(22, 17)"
22,0.96875,"(22, 17)"
22,1.0,"(22, 17)"
