k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,1.0,
0,1.0,
0,1.0,
0,1.0,
1,1.0,"(23, 8)"
1,1.0,"(2, 26)"
1,1.0,"(29, 25)"
1,1.0,"(30, 11)"
1,1.0,"(31, 10)"
2,1.0,"(1, 38)"
2,1.0,"(23, 9)"
2,1.0,"(1, 23)"
2,1.0,"(25, 5)"
2,1.0,"(30, 0)"
3,1.0,"(11, 2)"
3,1.0,"(13, 22)"
3,1.0,"(0, 28)"
3,1.0,"(4, 12)"
3,1.0,"(9, 14)"
4,1.0,"(29, 13)"
4,1.0,"(18, 11)"
4,1.0,"(2, 5)"
4,1.0,"(8, 3)"
4,1.0,"(9, 13)"
5,1.0,"(5, 8)"
5,1.0,"(5, 36)"
5,1.0,"(0, 15)"
5,1.0,"(15, 8)"
5,1.0,"(35, 0)"
6,1.0,"(10, 35)"
6,1.0,"(24, 14)"
6,1.0,"(27, 36)"
6,1.0,"(14, 16)"
6,1.0,"(34, 31)"
7,1.0,"(10, 34)"
7,1.0,"(20, 39)"
7,1.0,"(16, 5)"
7,1.0,"(9, 28)"
7,1.0,"(14, 6)"
8,1.0,"(7, 19)"
8,1.0,"(5, 4)"
8,1.0,"(23, 29)"
8,1.0,"(1, 6)"
8,1.0,"(10, 23)"
9,1.0,"(17, 19)"
9,1.0,"(22, 14)"
9,1.0,"(31, 34)"
9,1.0,"(13, 19)"
9,1.0,"(8, 39)"
10,1.0,"(16, 34)"
10,1.0,"(19, 1)"
10,1.0,"(34, 12)"
10,1.0,"(30, 8)"
10,1.0,"(20, 12)"
11,1.0,"(6, 32)"
11,1.0,"(28, 17)"
11,1.0,"(16, 8)"
11,1.0,"(1, 34)"
11,1.0,"(4, 12)"
12,1.0,"(34, 25)"
12,1.0,"(33, 33)"
12,1.0,"(16, 17)"
12,1.0,"(0, 0)"
12,1.0,"(20, 19)"
13,1.0,"(12, 15)"
13,1.0,"(30, 14)"
13,1.0,"(16, 36)"
13,1.0,"(21, 6)"
13,1.0,"(23, 15)"
14,1.0,"(10, 8)"
14,1.0,"(13, 11)"
14,1.0,"(30, 25)"
14,1.0,"(18, 27)"
14,1.0,"(8, 23)"
15,1.0,"(4, 4)"
15,1.0,"(22, 6)"
15,1.0,"(35, 39)"
15,1.0,"(33, 31)"
15,1.0,"(22, 10)"
16,1.0,"(10, 7)"
16,1.0,"(7, 28)"
16,1.0,"(9, 32)"
16,1.0,"(31, 14)"
16,1.0,"(3, 7)"
17,1.0,"(1, 8)"
17,1.0,"(26, 38)"
17,1.0,"(19, 4)"
17,1.0,"(5, 32)"
17,1.0,"(28, 4)"
18,1.0,"(15, 4)"
18,1.0,"(12, 6)"
18,1.0,"(34, 1)"
18,1.0,"(34, 31)"
18,1.0,"(3, 32)"
19,1.0,"(15, 17)"
19,1.0,"(11, 11)"
19,1.0,"(35, 32)"
19,1.0,"(33, 18)"
19,1.0,"(5, 6)"
20,1.0,"(2, 16)"
20,1.0,"(19, 9)"
