k_heads_ablated,accuracy,last_head_removed
0,1.0,
1,1.0,"(20, 18)"
2,1.0,"(7, 17)"
3,1.0,"(6, 16)"
4,1.0,"(18, 26)"
5,1.0,"(27, 20)"
6,1.0,"(20, 13)"
7,1.0,"(21, 29)"
8,1.0,"(18, 34)"
9,1.0,"(24, 33)"
10,1.0,"(21, 4)"
11,1.0,"(7, 6)"
12,1.0,"(8, 29)"
13,1.0,"(27, 21)"
14,1.0,"(7, 10)"
15,1.0,"(8, 9)"
16,1.0,"(20, 14)"
17,1.0,"(18, 36)"
18,1.0,"(27, 15)"
19,1.0,"(8, 22)"
20,1.0,"(8, 24)"
21,1.0,"(29, 10)"
22,1.0,"(22, 17)"
23,1.0,"(7, 15)"
24,1.0,"(6, 23)"
25,1.0,"(9, 30)"
26,0.9953703880310059,"(7, 0)"
27,0.9953703880310059,"(13, 7)"
28,0.9930555820465088,"(25, 11)"
29,0.9930555820465088,"(19, 3)"
30,0.9930555820465088,"(20, 30)"
31,0.9930555820465088,"(9, 2)"
32,0.9907407760620117,"(18, 20)"
33,0.9907407760620117,"(24, 32)"
34,0.9907407760620117,"(23, 27)"
35,0.9907407760620117,"(6, 21)"
36,0.9907407760620117,"(17, 0)"
37,0.9907407760620117,"(7, 4)"
38,0.9907407760620117,"(25, 18)"
39,0.9907407760620117,"(20, 28)"
40,0.9907407760620117,"(26, 32)"
41,0.9907407760620117,"(20, 29)"
42,0.9953703880310059,"(20, 31)"
43,0.9953703880310059,"(30, 13)"
44,0.9953703880310059,"(32, 18)"
45,0.9930555820465088,"(22, 22)"
46,0.9930555820465088,"(20, 2)"
47,0.9930555820465088,"(18, 18)"
48,0.9930555820465088,"(16, 18)"
49,0.9953703880310059,"(20, 21)"
50,0.9930555820465088,"(16, 29)"
51,0.9930555820465088,"(13, 35)"
52,0.9930555820465088,"(32, 21)"
53,0.9930555820465088,"(28, 3)"
54,0.9907407760620117,"(18, 21)"
55,0.9907407760620117,"(12, 37)"
56,0.9907407760620117,"(7, 1)"
57,0.9884259104728699,"(27, 3)"
58,0.9884259104728699,"(26, 30)"
59,0.9884259104728699,"(26, 20)"
60,0.9861111044883728,"(26, 2)"
61,0.9837962985038757,"(25, 15)"
62,0.9837962985038757,"(24, 11)"
63,0.9837962985038757,"(24, 9)"
64,0.9861111044883728,"(21, 23)"
65,0.9861111044883728,"(8, 13)"
66,0.9907407760620117,"(5, 3)"
67,0.9907407760620117,"(32, 23)"
68,0.9861111044883728,"(28, 35)"
69,0.9837962985038757,"(27, 7)"
70,0.9814814925193787,"(25, 14)"
71,0.9745370149612427,"(22, 12)"
72,0.9745370149612427,"(11, 17)"
73,0.9745370149612427,"(30, 36)"
74,0.9745370149612427,"(26, 27)"
75,0.9768518805503845,"(25, 17)"
76,0.9768518805503845,"(22, 35)"
77,0.9791666865348816,"(21, 3)"
78,0.9583333134651184,"(21, 2)"
79,0.9583333134651184,"(20, 22)"
80,0.9675925970077515,"(20, 16)"
81,0.9652777910232544,"(8, 6)"
82,0.9629629850387573,"(19, 23)"
83,0.9583333134651184,"(18, 30)"
84,0.9537037014961243,"(17, 7)"
85,0.9560185074806213,"(16, 31)"
86,0.944444477558136,"(23, 2)"
87,0.9467592835426331,"(22, 11)"
88,0.944444477558136,"(21, 39)"
89,0.944444477558136,"(18, 3)"
90,0.9467592835426331,"(14, 38)"
91,0.9467592835426331,"(29, 3)"
92,0.9375,"(28, 39)"
93,0.9305555820465088,"(28, 29)"
94,0.9305555820465088,"(22, 37)"
95,0.9212962985038757,"(18, 37)"
96,0.9120370149612427,"(16, 0)"
97,0.9097222089767456,"(31, 19)"
98,0.9050925970077515,"(27, 17)"
99,0.9050925970077515,"(27, 9)"
100,0.9050925970077515,"(24, 18)"
101,0.9027777910232544,"(23, 4)"
102,0.9027777910232544,"(19, 25)"
103,0.9027777910232544,"(17, 26)"
104,0.9027777910232544,"(15, 9)"
105,0.9050925970077515,"(12, 10)"
106,0.9050925970077515,"(6, 36)"
107,0.9004629850387573,"(6, 17)"
108,0.9004629850387573,"(29, 6)"
109,0.9004629850387573,"(29, 1)"
110,0.9027777910232544,"(24, 37)"
111,0.9027777910232544,"(24, 29)"
112,0.9027777910232544,"(23, 12)"
113,0.9004629850387573,"(23, 3)"
114,0.8981481790542603,"(21, 19)"
115,0.9004629850387573,"(18, 9)"
116,0.8449074029922485,"(18, 5)"
117,0.8425925970077515,"(17, 38)"
118,0.8402777910232544,"(11, 24)"
119,0.8402777910232544,"(5, 10)"
120,0.8449074029922485,"(3, 38)"
121,0.8518518805503845,"(3, 2)"
122,0.8564814925193787,"(27, 38)"
123,0.8495370149612427,"(25, 38)"
124,0.8472222089767456,"(25, 10)"
125,0.8425925970077515,"(23, 31)"
126,0.8263888955116272,"(22, 5)"
127,0.8171296119689941,"(21, 5)"
128,0.8148148059844971,"(19, 31)"
129,0.8171296119689941,"(10, 21)"
130,0.8148148059844971,"(9, 36)"
131,0.8287037014961243,"(9, 4)"
132,0.7754629850387573,"(7, 36)"
133,0.7685185074806213,"(5, 11)"
134,0.7615740895271301,"(26, 36)"
135,0.7615740895271301,"(25, 25)"
136,0.756944477558136,"(24, 27)"
137,0.7245370149612427,"(24, 17)"
138,0.7175925970077515,"(21, 32)"
139,0.7106481790542603,"(20, 20)"
140,0.7037037014961243,"(18, 39)"
141,0.7037037014961243,"(13, 18)"
142,0.7037037014961243,"(11, 8)"
143,0.7083333134651184,"(10, 5)"
144,0.7037037014961243,"(31, 38)"
