k_heads_ablated,accuracy,last_head_removed
0,0.918367326259613,
0,0.8781512975692749,
1,0.918367326259613,"(8, 9)"
1,0.8823530077934265,"(8, 9)"
2,0.918367326259613,"(17, 16)"
2,0.8823530077934265,"(17, 16)"
3,0.918367326259613,"(20, 38)"
3,0.8823530077934265,"(20, 38)"
4,0.9251700639724731,"(20, 13)"
4,0.8823530077934265,"(20, 13)"
5,0.9251700639724731,"(8, 22)"
5,0.8865546584129333,"(8, 22)"
6,0.9251700639724731,"(6, 23)"
6,0.8865546584129333,"(6, 23)"
7,0.9387754797935486,"(18, 26)"
7,0.9201681017875671,"(18, 26)"
8,0.9319727420806885,"(7, 10)"
8,0.9201681017875671,"(7, 10)"
9,0.9387754797935486,"(26, 3)"
9,0.9201681017875671,"(26, 3)"
10,0.9319727420806885,"(31, 32)"
10,0.9201681017875671,"(31, 32)"
11,0.9319727420806885,"(7, 6)"
11,0.9201681017875671,"(7, 6)"
12,0.9319727420806885,"(31, 17)"
12,0.9201681017875671,"(31, 17)"
13,0.9319727420806885,"(23, 18)"
13,0.9201681017875671,"(23, 18)"
14,0.9319727420806885,"(18, 21)"
14,0.9201681017875671,"(18, 21)"
15,0.9319727420806885,"(27, 14)"
15,0.9201681017875671,"(27, 14)"
16,0.9319727420806885,"(25, 34)"
16,0.9201681017875671,"(25, 34)"
17,0.9319727420806885,"(25, 27)"
17,0.9201681017875671,"(25, 27)"
18,0.918367326259613,"(20, 2)"
18,0.9201681017875671,"(20, 2)"
19,0.9455782175064087,"(18, 5)"
19,0.9201681017875671,"(18, 5)"
20,0.9455782175064087,"(28, 22)"
20,0.9201681017875671,"(28, 22)"
21,0.9455782175064087,"(25, 23)"
21,0.9201681017875671,"(25, 23)"
22,0.9455782175064087,"(22, 31)"
22,0.9201681017875671,"(22, 31)"
23,0.9455782175064087,"(32, 20)"
23,0.9201681017875671,"(32, 20)"
24,0.9455782175064087,"(24, 31)"
24,0.9201681017875671,"(24, 31)"
25,0.9455782175064087,"(18, 1)"
25,0.9201681017875671,"(18, 1)"
26,0.9455782175064087,"(31, 23)"
26,0.9201681017875671,"(31, 23)"
27,0.9455782175064087,"(29, 20)"
27,0.9201681017875671,"(29, 20)"
28,0.9523809552192688,"(23, 31)"
28,0.9201681017875671,"(23, 31)"
29,0.9523809552192688,"(20, 22)"
29,0.9201681017875671,"(20, 22)"
30,0.9455782175064087,"(8, 18)"
30,0.9201681017875671,"(8, 18)"
31,0.9455782175064087,"(25, 0)"
31,0.9201681017875671,"(25, 0)"
32,0.9455782175064087,"(24, 22)"
32,0.9201681017875671,"(24, 22)"
33,0.9455782175064087,"(23, 20)"
33,0.9201681017875671,"(23, 20)"
34,0.9523809552192688,"(20, 20)"
34,0.9201681017875671,"(20, 20)"
35,0.9523809552192688,"(27, 33)"
35,0.9201681017875671,"(27, 33)"
36,0.9523809552192688,"(27, 7)"
36,0.9201681017875671,"(27, 7)"
37,0.9523809552192688,"(26, 2)"
37,0.9201681017875671,"(26, 2)"
38,0.9523809552192688,"(24, 15)"
38,0.9201681017875671,"(24, 15)"
39,0.9523809552192688,"(23, 8)"
39,0.9201681017875671,"(23, 8)"
40,0.9523809552192688,"(21, 2)"
40,0.9201681017875671,"(21, 2)"
41,0.9523809552192688,"(24, 36)"
41,0.9201681017875671,"(24, 36)"
42,0.9523809552192688,"(24, 10)"
42,0.9201681017875671,"(24, 10)"
43,0.9523809552192688,"(7, 0)"
43,0.8991597294807434,"(7, 0)"
44,0.9523809552192688,"(28, 0)"
44,0.8949580192565918,"(28, 0)"
45,0.9523809552192688,"(22, 32)"
45,0.8949580192565918,"(22, 32)"
