k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,1.0,
0,1.0,
0,1.0,
0,1.0,
1,1.0,"(3, 22)"
1,1.0,"(24, 37)"
1,1.0,"(8, 0)"
1,1.0,"(34, 4)"
1,1.0,"(8, 14)"
2,1.0,"(19, 37)"
2,1.0,"(0, 30)"
2,1.0,"(3, 16)"
2,1.0,"(26, 35)"
2,1.0,"(8, 8)"
3,1.0,"(22, 4)"
3,1.0,"(19, 22)"
3,1.0,"(12, 34)"
3,1.0,"(8, 0)"
3,1.0,"(14, 18)"
4,1.0,"(21, 36)"
4,1.0,"(18, 14)"
4,1.0,"(2, 17)"
4,1.0,"(27, 10)"
4,1.0,"(14, 25)"
5,1.0,"(12, 32)"
5,1.0,"(31, 3)"
5,1.0,"(32, 8)"
5,1.0,"(33, 32)"
5,1.0,"(2, 34)"
6,1.0,"(34, 33)"
6,1.0,"(11, 25)"
6,1.0,"(21, 11)"
6,1.0,"(28, 7)"
6,1.0,"(11, 28)"
7,1.0,"(32, 16)"
7,1.0,"(0, 23)"
7,1.0,"(4, 31)"
7,1.0,"(20, 35)"
7,1.0,"(2, 37)"
8,1.0,"(18, 28)"
8,1.0,"(8, 12)"
8,1.0,"(3, 5)"
8,1.0,"(21, 12)"
8,1.0,"(26, 4)"
9,1.0,"(7, 16)"
9,1.0,"(22, 3)"
9,1.0,"(35, 6)"
9,1.0,"(28, 15)"
9,1.0,"(2, 13)"
10,1.0,"(5, 16)"
10,1.0,"(15, 20)"
10,1.0,"(9, 0)"
10,1.0,"(19, 28)"
10,1.0,"(12, 35)"
11,1.0,"(1, 2)"
11,1.0,"(18, 32)"
11,1.0,"(31, 2)"
11,1.0,"(7, 30)"
11,1.0,"(32, 16)"
12,1.0,"(19, 1)"
12,1.0,"(26, 10)"
12,1.0,"(4, 26)"
12,1.0,"(19, 36)"
12,1.0,"(19, 9)"
13,1.0,"(33, 32)"
13,1.0,"(32, 0)"
13,1.0,"(2, 28)"
13,1.0,"(30, 13)"
13,1.0,"(2, 25)"
14,1.0,"(23, 3)"
14,1.0,"(11, 27)"
14,1.0,"(1, 6)"
14,1.0,"(17, 31)"
14,1.0,"(19, 34)"
15,1.0,"(14, 19)"
15,1.0,"(12, 2)"
15,1.0,"(13, 25)"
15,1.0,"(17, 23)"
15,1.0,"(30, 21)"
16,1.0,"(34, 38)"
16,1.0,"(11, 35)"
16,1.0,"(29, 13)"
16,1.0,"(1, 16)"
16,1.0,"(15, 31)"
17,1.0,"(10, 24)"
17,1.0,"(6, 5)"
17,1.0,"(15, 14)"
17,1.0,"(25, 31)"
17,1.0,"(9, 18)"
18,1.0,"(13, 26)"
18,1.0,"(3, 37)"
18,1.0,"(1, 21)"
18,1.0,"(5, 33)"
18,1.0,"(3, 4)"
19,1.0,"(23, 14)"
19,1.0,"(21, 15)"
19,1.0,"(34, 39)"
19,1.0,"(12, 18)"
19,1.0,"(30, 5)"
20,1.0,"(0, 32)"
20,1.0,"(11, 5)"
