k_heads_ablated,accuracy,last_head_removed
0,1.0,
1,1.0,"(8, 9)"
2,1.0,"(17, 16)"
3,1.0,"(20, 38)"
4,1.0,"(20, 13)"
5,1.0,"(8, 22)"
6,1.0,"(6, 23)"
7,1.0,"(18, 26)"
8,1.0,"(7, 10)"
9,1.0,"(26, 3)"
10,1.0,"(31, 32)"
11,1.0,"(7, 6)"
12,1.0,"(31, 17)"
13,1.0,"(23, 18)"
14,1.0,"(18, 21)"
15,0.991150438785553,"(27, 14)"
16,1.0,"(25, 34)"
17,0.982300877571106,"(25, 27)"
18,0.9734513163566589,"(20, 2)"
19,1.0,"(18, 5)"
20,1.0,"(28, 22)"
21,1.0,"(25, 23)"
22,0.982300877571106,"(22, 31)"
23,0.982300877571106,"(32, 20)"
24,0.982300877571106,"(24, 31)"
25,0.982300877571106,"(18, 1)"
26,0.9557521939277649,"(31, 23)"
27,0.9557521939277649,"(29, 20)"
28,0.9557521939277649,"(23, 31)"
29,0.9557521939277649,"(20, 22)"
30,0.9557521939277649,"(8, 18)"
31,0.9557521939277649,"(25, 0)"
32,0.9469026327133179,"(24, 22)"
33,0.9469026327133179,"(23, 20)"
34,0.9380530714988708,"(20, 20)"
35,0.9292035102844238,"(27, 33)"
36,0.9203540086746216,"(27, 7)"
37,0.9203540086746216,"(26, 2)"
38,0.9026548862457275,"(24, 15)"
39,0.8849557638168335,"(23, 8)"
40,0.8495575189590454,"(21, 2)"
41,0.8495575189590454,"(24, 36)"
42,0.8495575189590454,"(24, 10)"
43,0.8584070801734924,"(7, 0)"
44,0.8495575189590454,"(28, 0)"
45,0.8407079577445984,"(22, 32)"
46,0.8318583965301514,"(20, 30)"
47,0.8318583965301514,"(19, 10)"
48,0.8318583965301514,"(18, 13)"
49,0.8318583965301514,"(16, 31)"
50,0.8141592741012573,"(28, 1)"
51,0.8141592741012573,"(27, 4)"
52,0.8141592741012573,"(26, 25)"
53,0.8053097128868103,"(24, 35)"
54,0.7964601516723633,"(24, 32)"
55,0.7964601516723633,"(19, 2)"
56,0.7964601516723633,"(8, 29)"
57,0.7876105904579163,"(31, 38)"
58,0.7787610292434692,"(31, 5)"
59,0.769911527633667,"(30, 32)"
60,0.769911527633667,"(25, 18)"
61,0.769911527633667,"(24, 4)"
62,0.76106196641922,"(23, 12)"
63,0.76106196641922,"(22, 37)"
64,0.7345132827758789,"(22, 25)"
65,0.7433628439903259,"(21, 21)"
66,0.7256637215614319,"(21, 13)"
67,0.7256637215614319,"(20, 26)"
68,0.7256637215614319,"(19, 18)"
69,0.6991150379180908,"(17, 30)"
70,0.6991150379180908,"(9, 30)"
71,0.6902654767036438,"(32, 17)"
72,0.6725663542747498,"(26, 11)"
73,0.6637167930603027,"(23, 19)"
74,0.6548672318458557,"(22, 2)"
75,0.6548672318458557,"(21, 30)"
76,0.6460176706314087,"(20, 10)"
77,0.6460176706314087,"(17, 20)"
78,0.6460176706314087,"(16, 24)"
79,0.6460176706314087,"(13, 16)"
80,0.6460176706314087,"(10, 4)"
81,0.6460176706314087,"(27, 30)"
82,0.6283186078071594,"(26, 20)"
83,0.6194690465927124,"(26, 5)"
84,0.6106194853782654,"(24, 9)"
85,0.6106194853782654,"(16, 28)"
86,0.6106194853782654,"(15, 0)"
87,0.6017699241638184,"(29, 24)"
88,0.5929203629493713,"(29, 6)"
89,0.5840708017349243,"(27, 36)"
90,0.5663716793060303,"(27, 35)"
91,0.5575221180915833,"(25, 17)"
