k_heads_ablated,accuracy,last_head_removed
0,0.8781512975692749,
0,0.918367326259613,
1,0.8823530077934265,"(18, 18)"
1,0.918367326259613,"(18, 18)"
2,0.8739496469497681,"(24, 11)"
2,0.918367326259613,"(24, 11)"
3,0.8739496469497681,"(29, 3)"
3,0.918367326259613,"(29, 3)"
4,0.8739496469497681,"(32, 7)"
4,0.918367326259613,"(32, 7)"
5,0.8739496469497681,"(13, 18)"
5,0.918367326259613,"(13, 18)"
6,0.8739496469497681,"(21, 11)"
6,0.918367326259613,"(21, 11)"
7,0.8655462861061096,"(19, 23)"
7,0.9251700639724731,"(19, 23)"
8,0.8655462861061096,"(23, 8)"
8,0.9251700639724731,"(23, 8)"
9,0.8655462861061096,"(22, 32)"
9,0.9251700639724731,"(22, 32)"
10,0.8655462861061096,"(27, 21)"
10,0.9319727420806885,"(27, 21)"
11,0.8655462861061096,"(22, 11)"
11,0.9251700639724731,"(22, 11)"
12,0.8655462861061096,"(11, 19)"
12,0.9251700639724731,"(11, 19)"
13,0.8655462861061096,"(28, 0)"
13,0.9251700639724731,"(28, 0)"
14,0.8655462861061096,"(24, 30)"
14,0.9251700639724731,"(24, 30)"
15,0.8655462861061096,"(31, 19)"
15,0.9251700639724731,"(31, 19)"
16,0.8655462861061096,"(20, 13)"
16,0.9251700639724731,"(20, 13)"
17,0.8655462861061096,"(26, 27)"
17,0.9251700639724731,"(26, 27)"
18,0.8655462861061096,"(24, 3)"
18,0.9251700639724731,"(24, 3)"
19,0.861344575881958,"(16, 29)"
19,0.9251700639724731,"(16, 29)"
20,0.861344575881958,"(27, 28)"
20,0.9251700639724731,"(27, 28)"
21,0.861344575881958,"(24, 27)"
21,0.9251700639724731,"(24, 27)"
22,0.861344575881958,"(22, 17)"
22,0.9319727420806885,"(22, 17)"
23,0.8529412150382996,"(24, 33)"
23,0.9319727420806885,"(24, 33)"
24,0.8529412150382996,"(24, 32)"
24,0.9319727420806885,"(24, 32)"
25,0.8529412150382996,"(20, 31)"
25,0.9319727420806885,"(20, 31)"
26,0.8529412150382996,"(16, 21)"
26,0.9319727420806885,"(16, 21)"
27,0.8151261210441589,"(16, 18)"
27,0.9319727420806885,"(16, 18)"
28,0.8151261210441589,"(12, 13)"
28,0.9319727420806885,"(12, 13)"
29,0.8151261210441589,"(11, 17)"
29,0.9319727420806885,"(11, 17)"
30,0.8151261210441589,"(20, 21)"
30,0.9387754797935486,"(20, 21)"
31,0.8109244108200073,"(18, 30)"
31,0.9387754797935486,"(18, 30)"
32,0.8151261210441589,"(25, 10)"
32,0.9387754797935486,"(25, 10)"
33,0.8151261210441589,"(20, 28)"
33,0.9387754797935486,"(20, 28)"
34,0.8529412150382996,"(18, 26)"
34,0.9387754797935486,"(18, 26)"
35,0.8487395644187927,"(11, 3)"
35,0.9387754797935486,"(11, 3)"
36,0.8445378541946411,"(9, 4)"
36,0.9387754797935486,"(9, 4)"
37,0.8403362035751343,"(8, 33)"
37,0.9455782175064087,"(8, 33)"
38,0.8403362035751343,"(31, 27)"
38,0.9455782175064087,"(31, 27)"
39,0.8403362035751343,"(29, 33)"
39,0.9455782175064087,"(29, 33)"
40,0.8403362035751343,"(27, 33)"
40,0.9455782175064087,"(27, 33)"
41,0.8403362035751343,"(26, 20)"
41,0.9455782175064087,"(26, 20)"
42,0.8403362035751343,"(26, 2)"
42,0.9455782175064087,"(26, 2)"
43,0.8403362035751343,"(24, 36)"
43,0.9455782175064087,"(24, 36)"
44,0.8361344933509827,"(22, 35)"
44,0.9455782175064087,"(22, 35)"
45,0.8361344933509827,"(21, 30)"
45,0.9387754797935486,"(21, 30)"
46,0.8403362035751343,"(20, 27)"
46,0.9387754797935486,"(20, 27)"
47,0.8403362035751343,"(18, 1)"
47,0.9387754797935486,"(18, 1)"
48,0.8445378541946411,"(14, 38)"
48,0.9387754797935486,"(14, 38)"
49,0.8277311325073242,"(13, 37)"
49,0.9387754797935486,"(13, 37)"
50,0.8277311325073242,"(13, 14)"
50,0.9387754797935486,"(13, 14)"
51,0.8277311325073242,"(7, 4)"
51,0.9319727420806885,"(7, 4)"
52,0.8277311325073242,"(33, 28)"
52,0.9319727420806885,"(33, 28)"
53,0.8277311325073242,"(28, 30)"
53,0.9319727420806885,"(28, 30)"
54,0.8277311325073242,"(27, 20)"
54,0.9319727420806885,"(27, 20)"
55,0.8277311325073242,"(27, 7)"
55,0.9319727420806885,"(27, 7)"
56,0.8235294818878174,"(25, 11)"
56,0.9319727420806885,"(25, 11)"
57,0.8235294818878174,"(23, 25)"
57,0.9319727420806885,"(23, 25)"
58,0.8235294818878174,"(23, 3)"
58,0.9319727420806885,"(23, 3)"
59,0.8235294818878174,"(21, 34)"
59,0.9319727420806885,"(21, 34)"
60,0.8151261210441589,"(20, 14)"
60,0.9319727420806885,"(20, 14)"
61,0.8151261210441589,"(18, 5)"
61,0.9659863710403442,"(18, 5)"
62,0.8151261210441589,"(17, 39)"
62,0.9659863710403442,"(17, 39)"
63,0.8151261210441589,"(17, 38)"
63,0.9659863710403442,"(17, 38)"
64,0.8151261210441589,"(17, 27)"
64,0.9659863710403442,"(17, 27)"
65,0.7941176891326904,"(16, 23)"
65,0.9727891087532043,"(16, 23)"
66,0.7983193397521973,"(13, 11)"
66,0.9659863710403442,"(13, 11)"
67,0.7899159789085388,"(13, 7)"
67,0.9659863710403442,"(13, 7)"
68,0.7899159789085388,"(10, 21)"
68,0.9659863710403442,"(10, 21)"
69,0.7899159789085388,"(10, 18)"
69,0.9659863710403442,"(10, 18)"
70,0.7983193397521973,"(8, 22)"
70,0.9659863710403442,"(8, 22)"
71,0.7983193397521973,"(8, 18)"
71,0.9455782175064087,"(8, 18)"
72,0.7983193397521973,"(7, 10)"
72,0.9455782175064087,"(7, 10)"
73,0.7983193397521973,"(7, 6)"
73,0.9455782175064087,"(7, 6)"
74,0.7773109674453735,"(7, 0)"
74,0.9591836333274841,"(7, 0)"
75,0.7773109674453735,"(6, 23)"
75,0.9591836333274841,"(6, 23)"
