k_heads_ablated,accuracy,last_head_removed
0,0.782608687877655,
1,0.739130437374115,"(18, 18)"
2,0.739130437374115,"(24, 11)"
3,0.739130437374115,"(29, 3)"
4,0.739130437374115,"(32, 7)"
5,0.739130437374115,"(13, 18)"
6,0.739130437374115,"(21, 11)"
7,0.717391312122345,"(19, 23)"
8,0.717391312122345,"(23, 8)"
9,0.717391312122345,"(22, 32)"
10,0.717391312122345,"(27, 21)"
11,0.739130437374115,"(22, 11)"
12,0.717391312122345,"(11, 19)"
13,0.695652186870575,"(28, 0)"
14,0.717391312122345,"(24, 30)"
15,0.717391312122345,"(31, 19)"
16,0.717391312122345,"(20, 13)"
17,0.717391312122345,"(26, 27)"
18,0.717391312122345,"(24, 3)"
19,0.6739130616188049,"(16, 29)"
20,0.6739130616188049,"(27, 28)"
21,0.6739130616188049,"(24, 27)"
22,0.6304348111152649,"(22, 17)"
23,0.6521739363670349,"(24, 33)"
24,0.6521739363670349,"(24, 32)"
25,0.6304348111152649,"(20, 31)"
26,0.6304348111152649,"(16, 21)"
27,0.5869565606117249,"(16, 18)"
28,0.5652173757553101,"(12, 13)"
29,0.5652173757553101,"(11, 17)"
30,0.52173912525177,"(20, 21)"
31,0.52173912525177,"(18, 30)"
32,0.52173912525177,"(25, 10)"
33,0.52173912525177,"(20, 28)"
34,0.52173912525177,"(18, 26)"
35,0.52173912525177,"(11, 3)"
36,0.52173912525177,"(9, 4)"
37,0.52173912525177,"(8, 33)"
38,0.52173912525177,"(31, 27)"
39,0.52173912525177,"(29, 33)"
40,0.52173912525177,"(27, 33)"
41,0.52173912525177,"(26, 20)"
42,0.52173912525177,"(26, 2)"
43,0.52173912525177,"(24, 36)"
44,0.52173912525177,"(22, 35)"
45,0.47826087474823,"(21, 30)"
46,0.47826087474823,"(20, 27)"
47,0.47826087474823,"(18, 1)"
48,0.45652174949645996,"(14, 38)"
49,0.45652174949645996,"(13, 37)"
50,0.43478262424468994,"(13, 14)"
51,0.45652174949645996,"(7, 4)"
52,0.43478262424468994,"(33, 28)"
53,0.43478262424468994,"(28, 30)"
54,0.43478262424468994,"(27, 20)"
55,0.45652174949645996,"(27, 7)"
56,0.43478262424468994,"(25, 11)"
57,0.43478262424468994,"(23, 25)"
58,0.43478262424468994,"(23, 3)"
59,0.43478262424468994,"(21, 34)"
60,0.43478262424468994,"(20, 14)"
61,0.43478262424468994,"(18, 5)"
62,0.4130434989929199,"(17, 39)"
63,0.4130434989929199,"(17, 38)"
64,0.4130434989929199,"(17, 27)"
65,0.3913043439388275,"(16, 23)"
66,0.3913043439388275,"(13, 11)"
67,0.3913043439388275,"(13, 7)"
68,0.3913043439388275,"(10, 21)"
69,0.3913043439388275,"(10, 18)"
70,0.3913043439388275,"(8, 22)"
71,0.3913043439388275,"(8, 18)"
72,0.3913043439388275,"(7, 10)"
73,0.3913043439388275,"(7, 6)"
74,0.3913043439388275,"(7, 0)"
75,0.3913043439388275,"(6, 23)"
