k_heads_ablated,accuracy,last_head_removed
0,0.025316454470157623,
1,0.025316454470157623,"(29, 10)"
2,0.029535863548517227,"(18, 36)"
3,0.029535863548517227,"(25, 14)"
4,0.029535863548517227,"(20, 18)"
5,0.025316454470157623,"(6, 16)"
6,0.025316454470157623,"(23, 27)"
7,0.029535863548517227,"(7, 15)"
8,0.029535863548517227,"(18, 37)"
9,0.029535863548517227,"(22, 37)"
10,0.029535863548517227,"(21, 29)"
11,0.029535863548517227,"(8, 29)"
12,0.029535863548517227,"(25, 11)"
13,0.029535863548517227,"(28, 29)"
14,0.029535863548517227,"(6, 31)"
15,0.029535863548517227,"(27, 20)"
16,0.029535863548517227,"(19, 3)"
17,0.02109704539179802,"(16, 29)"
18,0.025316454470157623,"(18, 34)"
19,0.025316454470157623,"(7, 6)"
20,0.025316454470157623,"(27, 8)"
21,0.025316454470157623,"(22, 17)"
22,0.02109704539179802,"(20, 30)"
23,0.025316454470157623,"(8, 9)"
24,0.025316454470157623,"(21, 5)"
25,0.025316454470157623,"(20, 25)"
26,0.025316454470157623,"(20, 4)"
27,0.025316454470157623,"(17, 0)"
28,0.02109704539179802,"(17, 15)"
29,0.02109704539179802,"(27, 15)"
30,0.02109704539179802,"(17, 38)"
31,0.02109704539179802,"(32, 21)"
32,0.02109704539179802,"(26, 27)"
33,0.02109704539179802,"(22, 5)"
34,0.02109704539179802,"(20, 31)"
35,0.02109704539179802,"(20, 16)"
36,0.02109704539179802,"(20, 14)"
37,0.02109704539179802,"(18, 20)"
38,0.02109704539179802,"(7, 17)"
39,0.02109704539179802,"(30, 16)"
40,0.02109704539179802,"(13, 7)"
41,0.02109704539179802,"(10, 5)"
42,0.02109704539179802,"(29, 11)"
43,0.02109704539179802,"(25, 15)"
44,0.02109704539179802,"(10, 21)"
45,0.02109704539179802,"(28, 35)"
46,0.02109704539179802,"(27, 3)"
47,0.02109704539179802,"(22, 11)"
48,0.02109704539179802,"(8, 13)"
49,0.02109704539179802,"(7, 0)"
50,0.02109704539179802,"(26, 2)"
51,0.02109704539179802,"(21, 0)"
52,0.02109704539179802,"(7, 4)"
53,0.02109704539179802,"(24, 9)"
54,0.02109704539179802,"(21, 32)"
55,0.02109704539179802,"(20, 26)"
56,0.02109704539179802,"(19, 37)"
57,0.02109704539179802,"(18, 3)"
58,0.02109704539179802,"(17, 7)"
59,0.02109704539179802,"(12, 37)"
60,0.02109704539179802,"(9, 30)"
61,0.02109704539179802,"(8, 22)"
62,0.02109704539179802,"(30, 13)"
63,0.02109704539179802,"(26, 4)"
64,0.02109704539179802,"(23, 24)"
65,0.02109704539179802,"(26, 36)"
66,0.02109704539179802,"(25, 9)"
67,0.02109704539179802,"(23, 37)"
68,0.02109704539179802,"(16, 0)"
69,0.02109704539179802,"(14, 22)"
70,0.02109704539179802,"(9, 12)"
71,0.02109704539179802,"(31, 38)"
72,0.02109704539179802,"(27, 21)"
73,0.02109704539179802,"(23, 31)"
74,0.02109704539179802,"(22, 22)"
75,0.02109704539179802,"(21, 2)"
76,0.02109704539179802,"(14, 32)"
77,0.02109704539179802,"(12, 10)"
78,0.02109704539179802,"(29, 1)"
79,0.02109704539179802,"(27, 38)"
80,0.02109704539179802,"(27, 9)"
81,0.02109704539179802,"(20, 29)"
82,0.02109704539179802,"(18, 26)"
83,0.02109704539179802,"(17, 9)"
84,0.02109704539179802,"(15, 7)"
85,0.02109704539179802,"(12, 39)"
86,0.02109704539179802,"(11, 24)"
87,0.016877636313438416,"(6, 21)"
88,0.016877636313438416,"(5, 11)"
89,0.016877636313438416,"(27, 6)"
90,0.016877636313438416,"(26, 30)"
91,0.016877636313438416,"(26, 20)"
92,0.016877636313438416,"(26, 15)"
93,0.016877636313438416,"(25, 18)"
94,0.016877636313438416,"(25, 0)"
95,0.016877636313438416,"(24, 28)"
96,0.016877636313438416,"(23, 10)"
97,0.016877636313438416,"(22, 0)"
98,0.016877636313438416,"(21, 25)"
99,0.016877636313438416,"(21, 24)"
100,0.016877636313438416,"(20, 0)"
101,0.016877636313438416,"(18, 18)"
102,0.016877636313438416,"(13, 18)"
103,0.016877636313438416,"(11, 7)"
104,0.016877636313438416,"(6, 36)"
105,0.016877636313438416,"(6, 23)"
106,0.016877636313438416,"(6, 8)"
107,0.016877636313438416,"(33, 6)"
108,0.016877636313438416,"(32, 11)"
109,0.016877636313438416,"(28, 27)"
110,0.016877636313438416,"(27, 17)"
111,0.016877636313438416,"(27, 14)"
112,0.016877636313438416,"(25, 38)"
113,0.016877636313438416,"(25, 2)"
114,0.016877636313438416,"(24, 37)"
115,0.016877636313438416,"(23, 19)"
116,0.016877636313438416,"(22, 12)"
117,0.016877636313438416,"(20, 21)"
118,0.016877636313438416,"(20, 13)"
119,0.016877636313438416,"(17, 24)"
120,0.016877636313438416,"(16, 18)"
121,0.016877636313438416,"(15, 17)"
122,0.016877636313438416,"(15, 3)"
123,0.016877636313438416,"(13, 35)"
124,0.016877636313438416,"(12, 34)"
125,0.016877636313438416,"(9, 2)"
126,0.016877636313438416,"(5, 35)"
127,0.016877636313438416,"(3, 2)"
128,0.016877636313438416,"(33, 28)"
129,0.016877636313438416,"(30, 2)"
130,0.016877636313438416,"(26, 18)"
131,0.016877636313438416,"(25, 30)"
132,0.016877636313438416,"(25, 10)"
133,0.016877636313438416,"(24, 33)"
