k_heads_ablated,accuracy,last_head_removed
0,0.2232142984867096,
0,0.2232142984867096,
0,0.2232142984867096,
0,0.2232142984867096,
0,0.2232142984867096,
1,0.2232142984867096,"(33, 3)"
1,0.2232142984867096,"(28, 17)"
1,0.2232142984867096,"(29, 23)"
1,0.2142857313156128,"(24, 20)"
1,0.2142857313156128,"(12, 11)"
2,0.2232142984867096,"(25, 5)"
2,0.2142857313156128,"(4, 30)"
2,0.2142857313156128,"(2, 25)"
2,0.2232142984867096,"(10, 29)"
2,0.2142857313156128,"(29, 28)"
3,0.2321428656578064,"(13, 31)"
3,0.2142857313156128,"(9, 33)"
3,0.2142857313156128,"(22, 27)"
3,0.2232142984867096,"(32, 12)"
3,0.2142857313156128,"(35, 17)"
4,0.2321428656578064,"(28, 10)"
4,0.2142857313156128,"(7, 34)"
4,0.2142857313156128,"(20, 10)"
4,0.2232142984867096,"(10, 35)"
4,0.196428582072258,"(17, 32)"
5,0.2321428656578064,"(31, 29)"
5,0.2053571492433548,"(10, 0)"
5,0.2142857313156128,"(26, 32)"
5,0.2321428656578064,"(4, 19)"
5,0.196428582072258,"(9, 24)"
6,0.2410714328289032,"(23, 6)"
6,0.2053571492433548,"(28, 19)"
6,0.2410714328289032,"(2, 7)"
6,0.2410714328289032,"(0, 24)"
6,0.1696428656578064,"(4, 11)"
7,0.2321428656578064,"(14, 17)"
7,0.1607142984867096,"(16, 9)"
7,0.25,"(1, 18)"
7,0.2410714328289032,"(18, 21)"
7,0.1696428656578064,"(8, 36)"
8,0.2321428656578064,"(20, 20)"
8,0.1607142984867096,"(1, 39)"
8,0.2589285969734192,"(11, 31)"
8,0.2410714328289032,"(29, 0)"
8,0.1696428656578064,"(21, 22)"
9,0.2321428656578064,"(33, 39)"
9,0.1607142984867096,"(3, 8)"
9,0.2589285969734192,"(14, 37)"
9,0.2321428656578064,"(25, 22)"
9,0.1696428656578064,"(24, 12)"
10,0.2321428656578064,"(20, 23)"
10,0.1517857164144516,"(16, 35)"
10,0.2589285969734192,"(17, 27)"
10,0.2321428656578064,"(31, 23)"
10,0.1696428656578064,"(5, 21)"
11,0.2232142984867096,"(4, 1)"
11,0.1517857164144516,"(16, 7)"
11,0.25,"(13, 27)"
11,0.2321428656578064,"(34, 1)"
11,0.1785714328289032,"(2, 10)"
12,0.2142857313156128,"(12, 2)"
12,0.1517857164144516,"(13, 33)"
12,0.25,"(15, 33)"
12,0.25,"(4, 32)"
12,0.1785714328289032,"(32, 25)"
13,0.2142857313156128,"(20, 15)"
13,0.1517857164144516,"(21, 37)"
13,0.25,"(12, 4)"
13,0.25,"(10, 23)"
13,0.1696428656578064,"(9, 29)"
14,0.2142857313156128,"(9, 13)"
14,0.1517857164144516,"(30, 37)"
14,0.25,"(19, 27)"
14,0.25,"(32, 6)"
14,0.1785714328289032,"(22, 10)"
15,0.2053571492433548,"(2, 18)"
15,0.1607142984867096,"(8, 30)"
15,0.267857164144516,"(2, 28)"
15,0.25,"(34, 17)"
15,0.1785714328289032,"(24, 32)"
16,0.2053571492433548,"(23, 14)"
