k_heads_ablated,accuracy,last_head_removed
0,0.2232142984867096,
1,0.2232142984867096,"(29, 10)"
2,0.2053571492433548,"(18, 36)"
3,0.2053571492433548,"(25, 14)"
4,0.2321428656578064,"(20, 18)"
5,0.2321428656578064,"(6, 16)"
6,0.2232142984867096,"(23, 27)"
7,0.2232142984867096,"(7, 15)"
8,0.2142857313156128,"(18, 37)"
9,0.2142857313156128,"(22, 37)"
10,0.196428582072258,"(21, 29)"
11,0.1875000149011612,"(8, 29)"
12,0.1785714328289032,"(25, 11)"
13,0.1785714328289032,"(28, 29)"
14,0.1785714328289032,"(6, 31)"
15,0.1785714328289032,"(27, 20)"
16,0.1696428656578064,"(19, 3)"
17,0.1696428656578064,"(16, 29)"
18,0.1696428656578064,"(18, 34)"
19,0.1696428656578064,"(7, 6)"
20,0.1696428656578064,"(27, 8)"
21,0.1607142984867096,"(22, 17)"
22,0.1607142984867096,"(20, 30)"
23,0.1607142984867096,"(8, 9)"
24,0.1607142984867096,"(21, 5)"
25,0.1607142984867096,"(20, 25)"
26,0.1607142984867096,"(20, 4)"
27,0.1696428656578064,"(17, 0)"
28,0.1607142984867096,"(17, 15)"
29,0.1696428656578064,"(27, 15)"
30,0.1696428656578064,"(17, 38)"
31,0.1696428656578064,"(32, 21)"
32,0.1696428656578064,"(26, 27)"
33,0.1696428656578064,"(22, 5)"
34,0.1696428656578064,"(20, 31)"
35,0.1785714328289032,"(20, 16)"
36,0.1696428656578064,"(20, 14)"
37,0.1517857164144516,"(18, 20)"
38,0.1696428656578064,"(7, 17)"
39,0.1517857164144516,"(30, 16)"
40,0.1517857164144516,"(13, 7)"
41,0.1785714328289032,"(10, 5)"
42,0.1785714328289032,"(29, 11)"
43,0.1785714328289032,"(25, 15)"
44,0.1785714328289032,"(10, 21)"
45,0.1785714328289032,"(28, 35)"
46,0.1696428656578064,"(27, 3)"
47,0.1785714328289032,"(22, 11)"
48,0.1785714328289032,"(8, 13)"
49,0.125,"(7, 0)"
50,0.133928582072258,"(26, 2)"
51,0.133928582072258,"(21, 0)"
52,0.133928582072258,"(7, 4)"
53,0.133928582072258,"(24, 9)"
54,0.133928582072258,"(21, 32)"
55,0.1160714328289032,"(20, 26)"
56,0.1160714328289032,"(19, 37)"
57,0.1160714328289032,"(18, 3)"
58,0.0892857164144516,"(17, 7)"
59,0.098214291036129,"(12, 37)"
60,0.098214291036129,"(9, 30)"
61,0.098214291036129,"(8, 22)"
62,0.0892857164144516,"(30, 13)"
63,0.0892857164144516,"(26, 4)"
64,0.0892857164144516,"(23, 24)"
65,0.0892857164144516,"(26, 36)"
66,0.0892857164144516,"(25, 9)"
67,0.0892857164144516,"(23, 37)"
68,0.0892857164144516,"(16, 0)"
69,0.0892857164144516,"(14, 22)"
70,0.0892857164144516,"(9, 12)"
71,0.0892857164144516,"(31, 38)"
72,0.0892857164144516,"(27, 21)"
73,0.0892857164144516,"(23, 31)"
74,0.098214291036129,"(22, 22)"
75,0.098214291036129,"(21, 2)"
76,0.098214291036129,"(14, 32)"
77,0.098214291036129,"(12, 10)"
78,0.098214291036129,"(29, 1)"
79,0.098214291036129,"(27, 38)"
80,0.098214291036129,"(27, 9)"
81,0.098214291036129,"(20, 29)"
82,0.0714285746216774,"(18, 26)"
83,0.0714285746216774,"(17, 9)"
84,0.0714285746216774,"(15, 7)"
85,0.0714285746216774,"(12, 39)"
86,0.0714285746216774,"(11, 24)"
87,0.0714285746216774,"(6, 21)"
88,0.0714285746216774,"(5, 11)"
89,0.0714285746216774,"(27, 6)"
90,0.0714285746216774,"(26, 30)"
91,0.0714285746216774,"(26, 20)"
92,0.0714285746216774,"(26, 15)"
93,0.0714285746216774,"(25, 18)"
94,0.0714285746216774,"(25, 0)"
95,0.0714285746216774,"(24, 28)"
96,0.0714285746216774,"(23, 10)"
97,0.0714285746216774,"(22, 0)"
98,0.0714285746216774,"(21, 25)"
99,0.0714285746216774,"(21, 24)"
100,0.0714285746216774,"(20, 0)"
101,0.0625,"(18, 18)"
102,0.0625,"(13, 18)"
103,0.0625,"(11, 7)"
104,0.0625,"(6, 36)"
105,0.0625,"(6, 23)"
106,0.0625,"(6, 8)"
107,0.0625,"(33, 6)"
108,0.0625,"(32, 11)"
109,0.0625,"(28, 27)"
110,0.0625,"(27, 17)"
111,0.0625,"(27, 14)"
112,0.0625,"(25, 38)"
113,0.0535714328289032,"(25, 2)"
114,0.0535714328289032,"(24, 37)"
115,0.0535714328289032,"(23, 19)"
116,0.0535714328289032,"(22, 12)"
117,0.0535714328289032,"(20, 21)"
118,0.0535714328289032,"(20, 13)"
119,0.0535714328289032,"(17, 24)"
120,0.0535714328289032,"(16, 18)"
121,0.0535714328289032,"(15, 17)"
122,0.0535714328289032,"(15, 3)"
123,0.0625,"(13, 35)"
124,0.0625,"(12, 34)"
125,0.0625,"(9, 2)"
126,0.0714285746216774,"(5, 35)"
127,0.0714285746216774,"(3, 2)"
128,0.0714285746216774,"(33, 28)"
129,0.0714285746216774,"(30, 2)"
130,0.0714285746216774,"(26, 18)"
131,0.0625,"(25, 30)"
132,0.0446428582072258,"(25, 10)"
133,0.0535714328289032,"(24, 33)"
134,0.0535714328289032,"(24, 31)"
135,0.0625,"(23, 22)"
136,0.0535714328289032,"(23, 2)"
137,0.0535714328289032,"(22, 36)"
138,0.0535714328289032,"(21, 31)"
139,0.0535714328289032,"(21, 6)"
140,0.0535714328289032,"(20, 28)"
141,0.0535714328289032,"(19, 38)"
142,0.0535714328289032,"(19, 15)"
143,0.0446428582072258,"(17, 30)"
144,0.0446428582072258,"(16, 31)"
145,0.0446428582072258,"(11, 8)"
146,0.0535714328289032,"(10, 31)"
147,0.0446428582072258,"(9, 17)"
148,0.0446428582072258,"(9, 4)"
149,0.0446428582072258,"(8, 27)"
150,0.0446428582072258,"(8, 24)"
