k_heads_ablated,accuracy,last_head_removed
0,0.918367326259613,
0,0.8781512975692749,
0,1.0,
0,0.96875,
0,0.782608687877655,
1,0.918367326259613,"(19, 1)"
1,0.8781512975692749,"(19, 1)"
1,1.0,"(19, 1)"
1,0.96875,"(19, 1)"
1,0.782608687877655,"(19, 1)"
2,0.918367326259613,"(25, 37)"
2,0.8781512975692749,"(25, 37)"
2,0.9729729890823364,"(25, 37)"
2,0.96875,"(25, 37)"
2,0.782608687877655,"(25, 37)"
3,0.918367326259613,"(20, 21)"
3,0.8781512975692749,"(20, 21)"
3,0.9729729890823364,"(20, 21)"
3,0.96875,"(20, 21)"
3,0.760869562625885,"(20, 21)"
4,0.9455782175064087,"(18, 5)"
4,0.8739496469497681,"(18, 5)"
4,0.9729729890823364,"(18, 5)"
4,0.96875,"(18, 5)"
4,0.760869562625885,"(18, 5)"
5,0.9455782175064087,"(23, 18)"
5,0.8739496469497681,"(23, 18)"
5,0.9729729890823364,"(23, 18)"
5,0.96875,"(23, 18)"
5,0.760869562625885,"(23, 18)"
6,0.9591836333274841,"(17, 6)"
6,0.8781512975692749,"(17, 6)"
6,0.9729729890823364,"(17, 6)"
6,0.96875,"(17, 6)"
6,0.760869562625885,"(17, 6)"
7,0.9591836333274841,"(22, 39)"
7,0.8781512975692749,"(22, 39)"
7,0.9729729890823364,"(22, 39)"
7,0.96875,"(22, 39)"
7,0.760869562625885,"(22, 39)"
8,0.9591836333274841,"(24, 4)"
8,0.8781512975692749,"(24, 4)"
8,0.9729729890823364,"(24, 4)"
8,0.96875,"(24, 4)"
8,0.760869562625885,"(24, 4)"
9,0.9591836333274841,"(6, 23)"
9,0.8781512975692749,"(6, 23)"
9,0.9729729890823364,"(6, 23)"
9,0.96875,"(6, 23)"
9,0.760869562625885,"(6, 23)"
10,0.9591836333274841,"(8, 22)"
10,0.8781512975692749,"(8, 22)"
10,0.9729729890823364,"(8, 22)"
10,0.96875,"(8, 22)"
10,0.760869562625885,"(8, 22)"
11,0.9591836333274841,"(11, 2)"
11,0.8781512975692749,"(11, 2)"
11,0.9729729890823364,"(11, 2)"
11,0.96875,"(11, 2)"
11,0.760869562625885,"(11, 2)"
12,0.9591836333274841,"(7, 6)"
12,0.8781512975692749,"(7, 6)"
12,0.9729729890823364,"(7, 6)"
12,0.96875,"(7, 6)"
12,0.760869562625885,"(7, 6)"
13,0.9591836333274841,"(30, 38)"
13,0.8781512975692749,"(30, 38)"
13,0.9729729890823364,"(30, 38)"
13,0.96875,"(30, 38)"
13,0.760869562625885,"(30, 38)"
14,0.9591836333274841,"(6, 17)"
14,0.8781512975692749,"(6, 17)"
14,0.9729729890823364,"(6, 17)"
14,0.96875,"(6, 17)"
14,0.760869562625885,"(6, 17)"
15,0.9591836333274841,"(21, 24)"
15,0.8781512975692749,"(21, 24)"
15,0.9729729890823364,"(21, 24)"
15,0.96875,"(21, 24)"
15,0.760869562625885,"(21, 24)"
16,0.9591836333274841,"(18, 33)"
16,0.8781512975692749,"(18, 33)"
16,0.9729729890823364,"(18, 33)"
16,0.96875,"(18, 33)"
16,0.760869562625885,"(18, 33)"
17,0.9591836333274841,"(16, 26)"
17,0.8781512975692749,"(16, 26)"
17,0.9729729890823364,"(16, 26)"
17,0.96875,"(16, 26)"
17,0.760869562625885,"(16, 26)"
18,0.9591836333274841,"(19, 6)"
18,0.8781512975692749,"(19, 6)"
18,0.9729729890823364,"(19, 6)"
18,0.96875,"(19, 6)"
18,0.760869562625885,"(19, 6)"
19,0.9591836333274841,"(20, 25)"
19,0.8781512975692749,"(20, 25)"
19,0.9729729890823364,"(20, 25)"
19,0.96875,"(20, 25)"
