k_heads_ablated,accuracy,last_head_removed
0,0.9071729779243469,
0,0.9071729779243469,
0,0.9071729779243469,
0,0.9071729779243469,
0,0.9071729779243469,
1,0.9071729779243469,"(23, 12)"
1,0.911392331123352,"(32, 19)"
1,0.902953565120697,"(10, 33)"
1,0.911392331123352,"(0, 12)"
1,0.9071729779243469,"(1, 32)"
2,0.915611743927002,"(7, 25)"
2,0.911392331123352,"(25, 25)"
2,0.902953565120697,"(9, 14)"
2,0.911392331123352,"(3, 13)"
2,0.9071729779243469,"(20, 31)"
3,0.911392331123352,"(26, 21)"
3,0.911392331123352,"(27, 18)"
3,0.902953565120697,"(28, 19)"
3,0.911392331123352,"(22, 0)"
3,0.915611743927002,"(11, 38)"
4,0.915611743927002,"(8, 33)"
4,0.915611743927002,"(0, 25)"
4,0.902953565120697,"(25, 13)"
4,0.9071729779243469,"(18, 30)"
4,0.915611743927002,"(8, 39)"
5,0.915611743927002,"(31, 36)"
5,0.915611743927002,"(2, 24)"
5,0.902953565120697,"(14, 23)"
5,0.915611743927002,"(14, 34)"
5,0.911392331123352,"(35, 7)"
6,0.911392331123352,"(14, 37)"
6,0.915611743927002,"(25, 6)"
6,0.902953565120697,"(17, 29)"
6,0.9367088079452515,"(9, 25)"
6,0.911392331123352,"(28, 0)"
7,0.9198311567306519,"(11, 21)"
7,0.915611743927002,"(31, 25)"
7,0.902953565120697,"(33, 31)"
7,0.9367088079452515,"(5, 14)"
7,0.911392331123352,"(2, 34)"
8,0.9240505695343018,"(11, 15)"
8,0.8143459558486938,"(12, 18)"
8,0.902953565120697,"(23, 19)"
8,0.9367088079452515,"(23, 15)"
8,0.915611743927002,"(2, 35)"
9,0.9198311567306519,"(23, 14)"
9,0.8143459558486938,"(18, 35)"
9,0.902953565120697,"(34, 38)"
9,0.9367088079452515,"(32, 37)"
9,0.9198311567306519,"(12, 9)"
10,0.9240505695343018,"(10, 16)"
10,0.8143459558486938,"(12, 11)"
10,0.902953565120697,"(15, 11)"
10,0.9367088079452515,"(3, 34)"
10,0.9198311567306519,"(21, 3)"
11,0.911392331123352,"(1, 11)"
11,0.8143459558486938,"(30, 10)"
11,0.902953565120697,"(24, 36)"
11,0.9367088079452515,"(23, 23)"
11,0.9198311567306519,"(29, 39)"
12,0.911392331123352,"(28, 13)"
12,0.8143459558486938,"(22, 7)"
12,0.8987341523170471,"(6, 2)"
12,0.9367088079452515,"(20, 16)"
12,0.9198311567306519,"(11, 9)"
13,0.911392331123352,"(23, 26)"
13,0.8143459558486938,"(27, 21)"
13,0.8987341523170471,"(20, 37)"
13,0.9367088079452515,"(9, 35)"
13,0.9198311567306519,"(30, 4)"
14,0.915611743927002,"(27, 8)"
14,0.8143459558486938,"(33, 33)"
14,0.8902953267097473,"(6, 8)"
14,0.9367088079452515,"(35, 24)"
14,0.9198311567306519,"(26, 8)"
15,0.911392331123352,"(19, 19)"
15,0.8143459558486938,"(29, 20)"
15,0.8818565011024475,"(16, 25)"
15,0.9367088079452515,"(13, 27)"
15,0.9198311567306519,"(28, 17)"
16,0.911392331123352,"(15, 30)"
16,0.810126543045044,"(12, 38)"
16,0.8860759139060974,"(0, 25)"
16,0.9367088079452515,"(4, 3)"
16,0.9240505695343018,"(27, 14)"
17,0.911392331123352,"(0, 26)"
17,0.8143459558486938,"(9, 20)"
17,0.8860759139060974,"(9, 38)"
17,0.9367088079452515,"(0, 26)"
17,0.9240505695343018,"(9, 17)"
18,0.9071729779243469,"(6, 7)"
18,0.8143459558486938,"(20, 27)"
18,0.8860759139060974,"(26, 35)"
18,0.9409282207489014,"(3, 30)"
18,0.9240505695343018,"(24, 26)"
19,0.911392331123352,"(5, 30)"
