k_heads_ablated,accuracy,last_head_removed
0,0.9071729779243469,
1,0.911392331123352,"(19, 1)"
2,0.9071729779243469,"(25, 37)"
3,0.911392331123352,"(20, 21)"
4,0.902953565120697,"(18, 5)"
5,0.902953565120697,"(23, 18)"
6,0.8649788498878479,"(17, 6)"
7,0.8649788498878479,"(22, 39)"
8,0.8649788498878479,"(24, 4)"
9,0.8649788498878479,"(6, 23)"
10,0.860759437084198,"(8, 22)"
11,0.810126543045044,"(11, 2)"
12,0.8185653686523438,"(7, 6)"
13,0.8185653686523438,"(30, 38)"
14,0.8185653686523438,"(6, 17)"
15,0.8185653686523438,"(21, 24)"
16,0.8185653686523438,"(18, 33)"
17,0.8185653686523438,"(16, 26)"
18,0.8185653686523438,"(19, 6)"
19,0.8016877174377441,"(20, 25)"
20,0.7805906534194946,"(7, 36)"
21,0.7805906534194946,"(5, 11)"
22,0.7805906534194946,"(13, 12)"
23,0.7679324746131897,"(7, 0)"
24,0.7679324746131897,"(27, 9)"
25,0.7763712406158447,"(6, 13)"
26,0.7679324746131897,"(35, 32)"
27,0.7679324746131897,"(22, 23)"
28,0.7763712406158447,"(13, 11)"
29,0.7763712406158447,"(8, 18)"
30,0.7721518874168396,"(5, 3)"
31,0.7763712406158447,"(3, 1)"
32,0.7594936490058899,"(20, 20)"
33,0.6962025165557861,"(16, 29)"
34,0.6962025165557861,"(15, 34)"
35,0.6962025165557861,"(10, 4)"
36,0.6962025165557861,"(7, 4)"
37,0.6962025165557861,"(24, 3)"
38,0.6962025165557861,"(17, 37)"
39,0.6962025165557861,"(14, 8)"
40,0.7046413421630859,"(18, 22)"
41,0.7046413421630859,"(5, 32)"
42,0.7046413421630859,"(17, 2)"
43,0.6877636909484863,"(7, 13)"
44,0.6877636909484863,"(26, 2)"
45,0.6919831037521362,"(14, 22)"
46,0.6919831037521362,"(13, 33)"
47,0.6666666269302368,"(13, 22)"
48,0.6708860397338867,"(19, 20)"
49,0.6666666269302368,"(19, 18)"
50,0.6708860397338867,"(11, 18)"
51,0.6708860397338867,"(25, 7)"
52,0.6666666269302368,"(24, 22)"
53,0.5991560816764832,"(24, 17)"
54,0.5949366688728333,"(16, 1)"
55,0.5991560816764832,"(11, 3)"
56,0.5864978432655334,"(8, 29)"
57,0.5780590176582336,"(6, 4)"
58,0.5696202516555786,"(5, 35)"
59,0.5696202516555786,"(23, 5)"
60,0.5696202516555786,"(22, 2)"
61,0.552742600440979,"(11, 33)"
62,0.5485231876373291,"(9, 5)"
63,0.5443037748336792,"(4, 29)"
64,0.5443037748336792,"(35, 15)"
65,0.5485231876373291,"(33, 21)"
66,0.5485231876373291,"(31, 20)"
67,0.5485231876373291,"(30, 9)"
68,0.5485231876373291,"(24, 20)"
69,0.5485231876373291,"(23, 17)"
70,0.5443037748336792,"(21, 34)"
71,0.5358649492263794,"(20, 28)"
72,0.5358649492263794,"(19, 30)"
73,0.5147678852081299,"(18, 11)"
74,0.5063290596008301,"(17, 26)"
75,0.5189872980117798,"(14, 31)"
76,0.5189872980117798,"(14, 26)"
77,0.5189872980117798,"(13, 28)"
78,0.5147678852081299,"(12, 26)"
79,0.5147678852081299,"(10, 32)"
80,0.51054847240448,"(7, 31)"
81,0.51054847240448,"(7, 10)"
82,0.5147678852081299,"(6, 25)"
83,0.5147678852081299,"(3, 28)"
84,0.5147678852081299,"(1, 39)"
85,0.5232067108154297,"(1, 10)"
86,0.5232067108154297,"(33, 28)"
87,0.5232067108154297,"(31, 1)"
88,0.5189872980117798,"(23, 33)"
89,0.5189872980117798,"(23, 1)"
90,0.48945146799087524,"(21, 39)"
91,0.48945146799087524,"(21, 25)"
92,0.48945146799087524,"(21, 16)"
93,0.48523205518722534,"(20, 36)"
94,0.48101264238357544,"(20, 32)"
95,0.48523205518722534,"(20, 13)"
96,0.48523205518722534,"(19, 37)"
97,0.455696165561676,"(18, 26)"
98,0.4514767825603485,"(18, 2)"
99,0.4514767825603485,"(17, 17)"
100,0.4514767825603485,"(16, 35)"
101,0.4514767825603485,"(13, 16)"
102,0.455696165561676,"(13, 5)"
103,0.4514767825603485,"(12, 10)"
104,0.4388185441493988,"(10, 10)"
105,0.4219409227371216,"(9, 18)"
106,0.4345991313457489,"(8, 13)"
107,0.4261603057384491,"(7, 34)"
108,0.40084385871887207,"(7, 24)"
109,0.38818562030792236,"(7, 9)"
110,0.38818562030792236,"(6, 30)"
111,0.39662444591522217,"(6, 21)"
112,0.40084385871887207,"(6, 16)"
113,0.37552741169929504,"(6, 14)"
114,0.37974682450294495,"(5, 18)"
115,0.37974682450294495,"(5, 13)"
116,0.37552741169929504,"(4, 34)"
117,0.39240503311157227,"(4, 6)"
118,0.38396623730659485,"(3, 35)"
119,0.37974682450294495,"(3, 29)"
120,0.38818562030792236,"(1, 19)"
121,0.38818562030792236,"(35, 30)"
122,0.38818562030792236,"(35, 20)"
123,0.38818562030792236,"(35, 9)"
124,0.38818562030792236,"(34, 21)"
125,0.38818562030792236,"(34, 3)"
126,0.39240503311157227,"(33, 34)"
127,0.39240503311157227,"(33, 6)"
128,0.38818562030792236,"(32, 36)"
129,0.38818562030792236,"(32, 15)"
130,0.39240503311157227,"(31, 7)"
131,0.38818562030792236,"(30, 27)"
132,0.38818562030792236,"(30, 26)"
133,0.38818562030792236,"(30, 25)"
134,0.39662444591522217,"(30, 15)"
135,0.40084385871887207,"(30, 11)"
136,0.40084385871887207,"(29, 37)"
137,0.40084385871887207,"(29, 28)"
138,0.40084385871887207,"(29, 9)"
139,0.40084385871887207,"(28, 6)"
140,0.40084385871887207,"(27, 11)"
141,0.39662444591522217,"(27, 10)"
142,0.39662444591522217,"(25, 39)"
143,0.39662444591522217,"(25, 33)"
144,0.39662444591522217,"(25, 16)"
145,0.39662444591522217,"(22, 34)"
146,0.39240503311157227,"(21, 6)"
147,0.39240503311157227,"(20, 5)"
148,0.39240503311157227,"(19, 38)"
149,0.39240503311157227,"(18, 16)"
150,0.39240503311157227,"(17, 22)"
