k_heads_ablated,accuracy,last_head_removed
0,0.2232142984867096,
1,0.2232142984867096,"(24, 4)"
2,0.2142857313156128,"(19, 1)"
3,0.2410714328289032,"(6, 13)"
4,0.2589285969734192,"(12, 14)"
5,0.2589285969734192,"(23, 18)"
6,0.25,"(19, 6)"
7,0.25,"(22, 39)"
8,0.25,"(8, 22)"
9,0.25,"(6, 23)"
10,0.25,"(29, 9)"
11,0.25,"(27, 9)"
12,0.25,"(4, 29)"
13,0.25,"(21, 24)"
14,0.25,"(15, 34)"
15,0.25,"(20, 25)"
16,0.25,"(3, 1)"
17,0.2589285969734192,"(1, 3)"
18,0.2589285969734192,"(33, 22)"
19,0.2589285969734192,"(30, 38)"
20,0.2589285969734192,"(17, 26)"
21,0.2589285969734192,"(16, 26)"
22,0.2589285969734192,"(25, 37)"
23,0.2589285969734192,"(20, 20)"
24,0.2589285969734192,"(16, 21)"
25,0.2589285969734192,"(5, 32)"
26,0.267857164144516,"(18, 22)"
27,0.267857164144516,"(17, 17)"
28,0.267857164144516,"(17, 6)"
29,0.267857164144516,"(16, 14)"
30,0.2589285969734192,"(14, 22)"
31,0.2589285969734192,"(11, 34)"
32,0.2589285969734192,"(11, 18)"
33,0.2589285969734192,"(10, 4)"
34,0.2589285969734192,"(7, 9)"
35,0.267857164144516,"(5, 3)"
36,0.2589285969734192,"(35, 32)"
37,0.2589285969734192,"(32, 36)"
38,0.2589285969734192,"(30, 15)"
39,0.267857164144516,"(19, 37)"
40,0.267857164144516,"(13, 11)"
41,0.2589285969734192,"(5, 11)"
42,0.2589285969734192,"(3, 29)"
43,0.2589285969734192,"(30, 25)"
44,0.2589285969734192,"(30, 9)"
45,0.2857142984867096,"(26, 7)"
46,0.2857142984867096,"(25, 7)"
47,0.2946428656578064,"(20, 32)"
48,0.3125,"(19, 11)"
49,0.3035714328289032,"(18, 0)"
50,0.3035714328289032,"(16, 1)"
51,0.3035714328289032,"(15, 35)"
52,0.3035714328289032,"(13, 33)"
53,0.3035714328289032,"(13, 28)"
54,0.3035714328289032,"(8, 19)"
55,0.3035714328289032,"(8, 18)"
56,0.3035714328289032,"(7, 4)"
57,0.3125,"(6, 17)"
58,0.3035714328289032,"(6, 15)"
59,0.2767857313156128,"(6, 4)"
60,0.2589285969734192,"(5, 23)"
61,0.25,"(5, 18)"
62,0.267857164144516,"(0, 35)"
63,0.267857164144516,"(0, 6)"
64,0.267857164144516,"(33, 6)"
65,0.267857164144516,"(31, 34)"
66,0.267857164144516,"(31, 7)"
67,0.2589285969734192,"(26, 6)"
68,0.267857164144516,"(25, 32)"
69,0.267857164144516,"(24, 26)"
70,0.267857164144516,"(23, 5)"
71,0.267857164144516,"(22, 28)"
72,0.267857164144516,"(22, 2)"
73,0.267857164144516,"(21, 34)"
74,0.2767857313156128,"(20, 21)"
75,0.2767857313156128,"(19, 30)"
76,0.2767857313156128,"(19, 18)"
77,0.2767857313156128,"(18, 33)"
78,0.2767857313156128,"(17, 37)"
79,0.2767857313156128,"(17, 16)"
80,0.2767857313156128,"(17, 2)"
81,0.2767857313156128,"(14, 34)"
82,0.2857142984867096,"(13, 38)"
83,0.267857164144516,"(13, 22)"
84,0.267857164144516,"(13, 16)"
85,0.267857164144516,"(13, 12)"
86,0.2767857313156128,"(12, 26)"
87,0.2589285969734192,"(11, 2)"
88,0.2589285969734192,"(10, 32)"
89,0.2589285969734192,"(10, 11)"
90,0.2589285969734192,"(7, 32)"
91,0.2589285969734192,"(7, 6)"
92,0.2589285969734192,"(5, 5)"
93,0.25,"(4, 11)"
94,0.2321428656578064,"(4, 6)"
95,0.2321428656578064,"(2, 33)"
96,0.2410714328289032,"(2, 29)"
97,0.2321428656578064,"(2, 10)"
98,0.2410714328289032,"(35, 30)"
99,0.2410714328289032,"(35, 27)"
100,0.2410714328289032,"(34, 38)"
101,0.2410714328289032,"(34, 21)"
102,0.2321428656578064,"(33, 34)"
103,0.2321428656578064,"(33, 21)"
104,0.2321428656578064,"(32, 35)"
105,0.2321428656578064,"(32, 28)"
106,0.2321428656578064,"(32, 15)"
107,0.2321428656578064,"(31, 20)"
108,0.2321428656578064,"(31, 14)"
109,0.2321428656578064,"(31, 1)"
110,0.2589285969734192,"(31, 0)"
111,0.2589285969734192,"(30, 26)"
112,0.2589285969734192,"(26, 24)"
113,0.2589285969734192,"(25, 5)"
114,0.2589285969734192,"(24, 20)"
115,0.2589285969734192,"(24, 2)"
116,0.2589285969734192,"(22, 23)"
117,0.2589285969734192,"(21, 15)"
118,0.2589285969734192,"(21, 8)"
119,0.2589285969734192,"(19, 10)"
120,0.2589285969734192,"(18, 14)"
121,0.3392857313156128,"(18, 5)"
122,0.3392857313156128,"(18, 4)"
123,0.3392857313156128,"(17, 20)"
124,0.3392857313156128,"(16, 34)"
125,0.3392857313156128,"(16, 31)"
126,0.3392857313156128,"(16, 29)"
127,0.3392857313156128,"(16, 10)"
128,0.2767857313156128,"(16, 9)"
129,0.25,"(16, 8)"
130,0.25,"(15, 16)"
131,0.25,"(14, 20)"
132,0.2410714328289032,"(14, 19)"
133,0.25,"(14, 12)"
134,0.2321428656578064,"(14, 3)"
135,0.2589285969734192,"(13, 31)"
136,0.2053571492433548,"(13, 21)"
137,0.196428582072258,"(12, 36)"
138,0.196428582072258,"(12, 33)"
139,0.196428582072258,"(12, 19)"
140,0.196428582072258,"(12, 6)"
141,0.1875000149011612,"(12, 5)"
142,0.1875000149011612,"(12, 1)"
143,0.1875000149011612,"(11, 36)"
144,0.1875000149011612,"(10, 16)"
145,0.196428582072258,"(10, 10)"
146,0.196428582072258,"(10, 0)"
147,0.1428571492433548,"(9, 23)"
148,0.1428571492433548,"(9, 6)"
