k_heads_ablated,accuracy,last_head_removed
0,0.025316454470157623,
0,0.025316454470157623,
0,0.025316454470157623,
0,0.025316454470157623,
0,0.025316454470157623,
1,0.025316454470157623,"(27, 26)"
1,0.025316454470157623,"(22, 38)"
1,0.025316454470157623,"(33, 36)"
1,0.025316454470157623,"(35, 7)"
1,0.025316454470157623,"(12, 27)"
2,0.025316454470157623,"(17, 27)"
2,0.025316454470157623,"(29, 24)"
2,0.025316454470157623,"(23, 34)"
2,0.025316454470157623,"(33, 35)"
2,0.025316454470157623,"(25, 30)"
3,0.025316454470157623,"(33, 35)"
3,0.029535863548517227,"(15, 31)"
3,0.029535863548517227,"(1, 35)"
3,0.025316454470157623,"(15, 3)"
3,0.025316454470157623,"(13, 39)"
4,0.025316454470157623,"(4, 26)"
4,0.029535863548517227,"(8, 33)"
4,0.029535863548517227,"(30, 7)"
4,0.02109704539179802,"(20, 28)"
4,0.025316454470157623,"(14, 5)"
5,0.02109704539179802,"(12, 16)"
5,0.029535863548517227,"(10, 31)"
5,0.03375527262687683,"(8, 15)"
5,0.02109704539179802,"(7, 31)"
5,0.029535863548517227,"(20, 5)"
6,0.02109704539179802,"(9, 39)"
6,0.03375527262687683,"(15, 32)"
6,0.03375527262687683,"(12, 27)"
6,0.02109704539179802,"(15, 1)"
6,0.025316454470157623,"(7, 7)"
7,0.02109704539179802,"(20, 23)"
7,0.03375527262687683,"(29, 36)"
7,0.03375527262687683,"(30, 27)"
7,0.02109704539179802,"(30, 16)"
7,0.025316454470157623,"(2, 6)"
8,0.02109704539179802,"(35, 0)"
8,0.03375527262687683,"(30, 22)"
8,0.02109704539179802,"(17, 30)"
8,0.02109704539179802,"(2, 37)"
8,0.025316454470157623,"(1, 21)"
9,0.02109704539179802,"(10, 12)"
9,0.03375527262687683,"(25, 10)"
9,0.025316454470157623,"(11, 24)"
9,0.02109704539179802,"(27, 13)"
9,0.025316454470157623,"(33, 7)"
10,0.02109704539179802,"(15, 14)"
10,0.03375527262687683,"(21, 14)"
10,0.02109704539179802,"(21, 19)"
10,0.02109704539179802,"(0, 19)"
10,0.025316454470157623,"(4, 5)"
11,0.02109704539179802,"(7, 13)"
11,0.037974681705236435,"(15, 10)"
11,0.025316454470157623,"(20, 23)"
11,0.02109704539179802,"(33, 30)"
11,0.025316454470157623,"(32, 3)"
12,0.02109704539179802,"(5, 26)"
12,0.037974681705236435,"(30, 28)"
12,0.02109704539179802,"(31, 27)"
12,0.02109704539179802,"(10, 37)"
12,0.025316454470157623,"(31, 30)"
13,0.02109704539179802,"(28, 10)"
13,0.03375527262687683,"(14, 16)"
13,0.02109704539179802,"(6, 33)"
13,0.02109704539179802,"(17, 22)"
13,0.025316454470157623,"(33, 36)"
14,0.02109704539179802,"(22, 3)"
14,0.03375527262687683,"(30, 8)"
14,0.02109704539179802,"(24, 33)"
14,0.02109704539179802,"(12, 39)"
14,0.025316454470157623,"(31, 24)"
15,0.02109704539179802,"(9, 27)"
15,0.03375527262687683,"(31, 11)"
15,0.02109704539179802,"(11, 5)"
15,0.025316454470157623,"(13, 7)"
15,0.025316454470157623,"(7, 39)"
16,0.02109704539179802,"(20, 18)"
16,0.03375527262687683,"(10, 1)"
16,0.02109704539179802,"(28, 11)"
16,0.025316454470157623,"(27, 39)"
16,0.025316454470157623,"(15, 24)"
17,0.02109704539179802,"(16, 20)"
17,0.03375527262687683,"(23, 23)"
17,0.02109704539179802,"(35, 22)"
17,0.025316454470157623,"(9, 32)"
17,0.025316454470157623,"(31, 11)"
18,0.02109704539179802,"(1, 18)"
18,0.03375527262687683,"(12, 28)"
18,0.02109704539179802,"(15, 37)"
18,0.025316454470157623,"(28, 32)"
18,0.025316454470157623,"(33, 23)"
19,0.02109704539179802,"(26, 12)"
19,0.03375527262687683,"(32, 22)"
19,0.02109704539179802,"(34, 11)"
19,0.025316454470157623,"(28, 38)"
19,0.025316454470157623,"(29, 18)"
20,0.02109704539179802,"(30, 32)"
20,0.03375527262687683,"(8, 12)"
20,0.02109704539179802,"(5, 36)"
20,0.025316454470157623,"(27, 16)"
20,0.025316454470157623,"(14, 39)"
21,0.02109704539179802,"(17, 4)"
21,0.03375527262687683,"(32, 37)"
21,0.02109704539179802,"(14, 10)"
21,0.025316454470157623,"(27, 28)"
21,0.02109704539179802,"(2, 12)"
22,0.02109704539179802,"(33, 32)"
22,0.03375527262687683,"(22, 10)"
22,0.02109704539179802,"(17, 28)"
22,0.025316454470157623,"(22, 38)"
22,0.02109704539179802,"(6, 3)"
23,0.025316454470157623,"(17, 36)"
23,0.03375527262687683,"(11, 1)"
23,0.02109704539179802,"(16, 39)"
23,0.025316454470157623,"(1, 7)"
23,0.025316454470157623,"(8, 29)"
24,0.025316454470157623,"(31, 16)"
24,0.03375527262687683,"(10, 18)"
24,0.02109704539179802,"(10, 18)"
24,0.025316454470157623,"(32, 7)"
24,0.02109704539179802,"(31, 12)"
25,0.025316454470157623,"(22, 32)"
25,0.025316454470157623,"(3, 7)"
25,0.02109704539179802,"(27, 24)"
25,0.025316454470157623,"(26, 20)"
25,0.02109704539179802,"(32, 32)"
26,0.025316454470157623,"(0, 15)"
26,0.025316454470157623,"(25, 9)"
26,0.02109704539179802,"(9, 10)"
26,0.025316454470157623,"(10, 21)"
26,0.02109704539179802,"(21, 37)"
27,0.025316454470157623,"(15, 10)"
27,0.029535863548517227,"(34, 12)"
27,0.02109704539179802,"(15, 18)"
27,0.025316454470157623,"(12, 4)"
27,0.02109704539179802,"(10, 1)"
28,0.025316454470157623,"(2, 25)"
28,0.025316454470157623,"(27, 15)"
28,0.02109704539179802,"(26, 30)"
28,0.025316454470157623,"(11, 31)"
28,0.02109704539179802,"(8, 35)"
29,0.025316454470157623,"(16, 33)"
29,0.025316454470157623,"(7, 3)"
29,0.02109704539179802,"(6, 11)"
29,0.025316454470157623,"(31, 8)"
29,0.02109704539179802,"(19, 15)"
30,0.025316454470157623,"(4, 2)"
30,0.025316454470157623,"(11, 22)"
30,0.02109704539179802,"(3, 30)"
30,0.025316454470157623,"(24, 14)"
30,0.02109704539179802,"(5, 8)"
31,0.025316454470157623,"(10, 23)"
31,0.025316454470157623,"(22, 19)"
31,0.02109704539179802,"(35, 23)"
31,0.025316454470157623,"(11, 3)"
31,0.02109704539179802,"(8, 0)"
32,0.025316454470157623,"(18, 28)"
32,0.025316454470157623,"(28, 35)"
32,0.02109704539179802,"(9, 15)"
32,0.025316454470157623,"(28, 27)"
32,0.02109704539179802,"(0, 38)"
33,0.025316454470157623,"(12, 39)"
33,0.025316454470157623,"(10, 17)"
33,0.02109704539179802,"(34, 37)"
33,0.025316454470157623,"(11, 9)"
33,0.02109704539179802,"(16, 20)"
34,0.025316454470157623,"(5, 29)"
34,0.029535863548517227,"(12, 9)"
34,0.02109704539179802,"(32, 13)"
34,0.025316454470157623,"(31, 16)"
34,0.02109704539179802,"(35, 2)"
35,0.025316454470157623,"(4, 3)"
35,0.037974681705236435,"(6, 38)"
35,0.02109704539179802,"(7, 26)"
35,0.025316454470157623,"(32, 12)"
35,0.02109704539179802,"(21, 14)"
36,0.025316454470157623,"(3, 36)"
36,0.037974681705236435,"(35, 8)"
36,0.02109704539179802,"(8, 37)"
36,0.025316454470157623,"(6, 31)"
36,0.02109704539179802,"(3, 15)"
37,0.025316454470157623,"(23, 12)"
37,0.037974681705236435,"(24, 8)"
37,0.02109704539179802,"(7, 18)"
37,0.025316454470157623,"(3, 28)"
37,0.02109704539179802,"(29, 34)"
38,0.025316454470157623,"(31, 29)"
38,0.037974681705236435,"(17, 0)"
38,0.02109704539179802,"(6, 14)"
38,0.025316454470157623,"(12, 31)"
38,0.02109704539179802,"(9, 15)"
39,0.029535863548517227,"(12, 38)"
39,0.037974681705236435,"(1, 17)"
39,0.02109704539179802,"(31, 18)"
39,0.025316454470157623,"(33, 29)"
39,0.02109704539179802,"(7, 15)"
40,0.029535863548517227,"(24, 34)"
40,0.037974681705236435,"(25, 21)"
40,0.02109704539179802,"(18, 12)"
40,0.02109704539179802,"(14, 33)"
40,0.02109704539179802,"(18, 38)"
41,0.029535863548517227,"(22, 13)"
41,0.037974681705236435,"(34, 28)"
41,0.02109704539179802,"(21, 3)"
41,0.02109704539179802,"(23, 13)"
41,0.02109704539179802,"(31, 31)"
42,0.029535863548517227,"(21, 7)"
