k_heads_ablated,accuracy,last_head_removed
0,0.025316454470157623,
1,0.025316454470157623,"(24, 4)"
2,0.025316454470157623,"(19, 1)"
3,0.025316454470157623,"(6, 13)"
4,0.025316454470157623,"(12, 14)"
5,0.025316454470157623,"(23, 18)"
6,0.025316454470157623,"(19, 6)"
7,0.025316454470157623,"(22, 39)"
8,0.025316454470157623,"(8, 22)"
9,0.025316454470157623,"(6, 23)"
10,0.025316454470157623,"(29, 9)"
11,0.025316454470157623,"(27, 9)"
12,0.025316454470157623,"(4, 29)"
13,0.025316454470157623,"(21, 24)"
14,0.025316454470157623,"(15, 34)"
15,0.02109704539179802,"(20, 25)"
16,0.02109704539179802,"(3, 1)"
17,0.02109704539179802,"(1, 3)"
18,0.02109704539179802,"(33, 22)"
19,0.02109704539179802,"(30, 38)"
20,0.02109704539179802,"(17, 26)"
21,0.02109704539179802,"(16, 26)"
22,0.02109704539179802,"(25, 37)"
23,0.02109704539179802,"(20, 20)"
24,0.02109704539179802,"(16, 21)"
25,0.02109704539179802,"(5, 32)"
26,0.02109704539179802,"(18, 22)"
27,0.02109704539179802,"(17, 17)"
28,0.029535863548517227,"(17, 6)"
29,0.029535863548517227,"(16, 14)"
30,0.029535863548517227,"(14, 22)"
31,0.029535863548517227,"(11, 34)"
32,0.029535863548517227,"(11, 18)"
33,0.029535863548517227,"(10, 4)"
34,0.025316454470157623,"(7, 9)"
35,0.025316454470157623,"(5, 3)"
36,0.025316454470157623,"(35, 32)"
37,0.025316454470157623,"(32, 36)"
38,0.025316454470157623,"(30, 15)"
39,0.025316454470157623,"(19, 37)"
40,0.016877636313438416,"(13, 11)"
41,0.016877636313438416,"(5, 11)"
42,0.016877636313438416,"(3, 29)"
43,0.016877636313438416,"(30, 25)"
44,0.016877636313438416,"(30, 9)"
45,0.016877636313438416,"(26, 7)"
46,0.016877636313438416,"(25, 7)"
47,0.016877636313438416,"(20, 32)"
48,0.016877636313438416,"(19, 11)"
49,0.016877636313438416,"(18, 0)"
50,0.016877636313438416,"(16, 1)"
51,0.016877636313438416,"(15, 35)"
52,0.016877636313438416,"(13, 33)"
53,0.016877636313438416,"(13, 28)"
54,0.016877636313438416,"(8, 19)"
55,0.016877636313438416,"(8, 18)"
56,0.016877636313438416,"(7, 4)"
57,0.016877636313438416,"(6, 17)"
58,0.016877636313438416,"(6, 15)"
59,0.012658227235078812,"(6, 4)"
60,0.016877636313438416,"(5, 23)"
61,0.016877636313438416,"(5, 18)"
62,0.016877636313438416,"(0, 35)"
63,0.016877636313438416,"(0, 6)"
64,0.016877636313438416,"(33, 6)"
65,0.016877636313438416,"(31, 34)"
66,0.016877636313438416,"(31, 7)"
67,0.016877636313438416,"(26, 6)"
68,0.016877636313438416,"(25, 32)"
69,0.016877636313438416,"(24, 26)"
70,0.016877636313438416,"(23, 5)"
71,0.016877636313438416,"(22, 28)"
72,0.016877636313438416,"(22, 2)"
73,0.016877636313438416,"(21, 34)"
74,0.016877636313438416,"(20, 21)"
75,0.016877636313438416,"(19, 30)"
76,0.016877636313438416,"(19, 18)"
77,0.016877636313438416,"(18, 33)"
78,0.016877636313438416,"(17, 37)"
79,0.016877636313438416,"(17, 16)"
80,0.02109704539179802,"(17, 2)"
81,0.02109704539179802,"(14, 34)"
82,0.016877636313438416,"(13, 38)"
83,0.025316454470157623,"(13, 22)"
84,0.025316454470157623,"(13, 16)"
85,0.025316454470157623,"(13, 12)"
86,0.025316454470157623,"(12, 26)"
87,0.012658227235078812,"(11, 2)"
88,0.012658227235078812,"(10, 32)"
89,0.012658227235078812,"(10, 11)"
90,0.012658227235078812,"(7, 32)"
91,0.012658227235078812,"(7, 6)"
92,0.012658227235078812,"(5, 5)"
93,0.008438818156719208,"(4, 11)"
94,0.012658227235078812,"(4, 6)"
95,0.012658227235078812,"(2, 33)"
96,0.012658227235078812,"(2, 29)"
97,0.012658227235078812,"(2, 10)"
98,0.012658227235078812,"(35, 30)"
99,0.012658227235078812,"(35, 27)"
100,0.012658227235078812,"(34, 38)"
101,0.012658227235078812,"(34, 21)"
102,0.012658227235078812,"(33, 34)"
103,0.012658227235078812,"(33, 21)"
104,0.012658227235078812,"(32, 35)"
105,0.012658227235078812,"(32, 28)"
106,0.012658227235078812,"(32, 15)"
107,0.012658227235078812,"(31, 20)"
108,0.012658227235078812,"(31, 14)"
109,0.012658227235078812,"(31, 1)"
110,0.012658227235078812,"(31, 0)"
111,0.012658227235078812,"(30, 26)"
112,0.012658227235078812,"(26, 24)"
113,0.012658227235078812,"(25, 5)"
114,0.012658227235078812,"(24, 20)"
115,0.016877636313438416,"(24, 2)"
116,0.016877636313438416,"(22, 23)"
117,0.016877636313438416,"(21, 15)"
118,0.016877636313438416,"(21, 8)"
119,0.016877636313438416,"(19, 10)"
120,0.016877636313438416,"(18, 14)"
121,0.025316454470157623,"(18, 5)"
122,0.025316454470157623,"(18, 4)"
123,0.025316454470157623,"(17, 20)"
124,0.025316454470157623,"(16, 34)"
125,0.025316454470157623,"(16, 31)"
126,0.025316454470157623,"(16, 29)"
127,0.025316454470157623,"(16, 10)"
128,0.037974681705236435,"(16, 9)"
129,0.05063290894031525,"(16, 8)"
130,0.05063290894031525,"(15, 16)"
131,0.05063290894031525,"(14, 20)"
132,0.04641349986195564,"(14, 19)"
133,0.04641349986195564,"(14, 12)"
134,0.04641349986195564,"(14, 3)"
135,0.04641349986195564,"(13, 31)"
136,0.04641349986195564,"(13, 21)"
137,0.04219409078359604,"(12, 36)"
138,0.04641349986195564,"(12, 33)"
139,0.04219409078359604,"(12, 19)"
140,0.04219409078359604,"(12, 6)"
141,0.04641349986195564,"(12, 5)"
142,0.04641349986195564,"(12, 1)"
143,0.04641349986195564,"(11, 36)"
144,0.04641349986195564,"(10, 16)"
145,0.04641349986195564,"(10, 10)"
146,0.037974681705236435,"(10, 0)"
147,0.05063290894031525,"(9, 23)"
148,0.05063290894031525,"(9, 6)"
149,0.04641349986195564,"(9, 5)"
150,0.04219409078359604,"(9, 4)"
