k_heads_ablated,accuracy,last_head_removed
0,0.9090909361839294,
0,0.8781512975692749,
0,0.782608687877655,
1,0.9090909361839294,"(16, 27)"
1,0.8781512975692749,"(16, 27)"
1,0.782608687877655,"(16, 27)"
2,0.9090909361839294,"(13, 23)"
2,0.8781512975692749,"(13, 23)"
2,0.782608687877655,"(13, 23)"
3,0.9090909361839294,"(11, 33)"
3,0.8823530077934265,"(11, 33)"
3,0.782608687877655,"(11, 33)"
4,0.9090909361839294,"(24, 9)"
4,0.8823530077934265,"(24, 9)"
4,0.782608687877655,"(24, 9)"
5,0.9090909361839294,"(14, 0)"
5,0.8823530077934265,"(14, 0)"
5,0.782608687877655,"(14, 0)"
6,0.9090909361839294,"(25, 2)"
6,0.8823530077934265,"(25, 2)"
6,0.782608687877655,"(25, 2)"
7,0.9090909361839294,"(18, 26)"
7,0.9201681017875671,"(18, 26)"
7,0.782608687877655,"(18, 26)"
8,0.9090909361839294,"(8, 9)"
8,0.9201681017875671,"(8, 9)"
8,0.782608687877655,"(8, 9)"
9,0.9318181872367859,"(18, 21)"
9,0.9201681017875671,"(18, 21)"
9,0.782608687877655,"(18, 21)"
10,0.9318181872367859,"(12, 6)"
10,0.9201681017875671,"(12, 6)"
10,0.782608687877655,"(12, 6)"
11,0.9318181872367859,"(8, 24)"
11,0.9201681017875671,"(8, 24)"
11,0.782608687877655,"(8, 24)"
12,0.9090909361839294,"(9, 30)"
12,0.9159664511680603,"(9, 30)"
12,0.782608687877655,"(9, 30)"
13,0.9090909361839294,"(20, 2)"
13,0.9159664511680603,"(20, 2)"
13,0.782608687877655,"(20, 2)"
14,0.9090909361839294,"(26, 22)"
14,0.9159664511680603,"(26, 22)"
14,0.782608687877655,"(26, 22)"
15,0.886363685131073,"(11, 39)"
15,0.9201681017875671,"(11, 39)"
15,0.782608687877655,"(11, 39)"
16,0.9090909361839294,"(10, 10)"
16,0.9411765336990356,"(10, 10)"
16,0.782608687877655,"(10, 10)"
17,0.9090909361839294,"(13, 15)"
17,0.9453781843185425,"(13, 15)"
17,0.782608687877655,"(13, 15)"
18,0.9090909361839294,"(11, 20)"
18,0.9453781843185425,"(11, 20)"
18,0.782608687877655,"(11, 20)"
19,0.9318181872367859,"(7, 0)"
19,0.9117647409439087,"(7, 0)"
19,0.782608687877655,"(7, 0)"
20,0.9318181872367859,"(23, 31)"
20,0.9117647409439087,"(23, 31)"
20,0.782608687877655,"(23, 31)"
21,0.9318181872367859,"(23, 27)"
21,0.9117647409439087,"(23, 27)"
21,0.782608687877655,"(23, 27)"
22,0.9318181872367859,"(10, 6)"
22,0.9159664511680603,"(10, 6)"
22,0.782608687877655,"(10, 6)"
23,0.9318181872367859,"(19, 3)"
23,0.9159664511680603,"(19, 3)"
23,0.782608687877655,"(19, 3)"
24,0.9318181872367859,"(14, 1)"
24,0.9159664511680603,"(14, 1)"
24,0.782608687877655,"(14, 1)"
25,0.9318181872367859,"(6, 8)"
25,0.9117647409439087,"(6, 8)"
