k_heads_ablated,accuracy,last_head_removed
0,0.918367326259613,
0,0.918367326259613,
0,0.918367326259613,
0,0.918367326259613,
0,0.918367326259613,
1,0.918367326259613,"(21, 33)"
1,0.8911564350128174,"(23, 15)"
1,0.918367326259613,"(24, 25)"
1,0.918367326259613,"(17, 23)"
1,0.918367326259613,"(6, 31)"
2,0.9047619104385376,"(6, 21)"
2,0.8911564350128174,"(34, 37)"
2,0.918367326259613,"(22, 12)"
2,0.9251700639724731,"(29, 28)"
2,0.918367326259613,"(16, 4)"
3,0.9115645885467529,"(23, 12)"
3,0.8911564350128174,"(35, 15)"
3,0.918367326259613,"(29, 23)"
3,0.9251700639724731,"(22, 36)"
3,0.918367326259613,"(13, 14)"
4,0.9115645885467529,"(23, 24)"
4,0.8911564350128174,"(10, 29)"
4,0.918367326259613,"(31, 28)"
4,0.9251700639724731,"(35, 30)"
4,0.9115645885467529,"(10, 20)"
5,0.9115645885467529,"(34, 34)"
5,0.8911564350128174,"(13, 0)"
5,0.9251700639724731,"(22, 17)"
5,0.8911564350128174,"(9, 9)"
5,0.9115645885467529,"(27, 6)"
6,0.9115645885467529,"(34, 9)"
6,0.8911564350128174,"(33, 34)"
6,0.918367326259613,"(3, 2)"
6,0.8911564350128174,"(31, 33)"
6,0.9115645885467529,"(11, 6)"
7,0.9115645885467529,"(10, 4)"
7,0.8911564350128174,"(24, 36)"
7,0.918367326259613,"(17, 21)"
7,0.8911564350128174,"(13, 7)"
7,0.9115645885467529,"(24, 32)"
8,0.9115645885467529,"(4, 18)"
8,0.8911564350128174,"(29, 21)"
8,0.918367326259613,"(19, 28)"
8,0.8911564350128174,"(14, 37)"
8,0.9115645885467529,"(2, 16)"
9,0.9115645885467529,"(35, 37)"
9,0.8911564350128174,"(33, 29)"
9,0.9047619104385376,"(6, 38)"
9,0.8911564350128174,"(32, 32)"
9,0.9115645885467529,"(33, 36)"
10,0.918367326259613,"(19, 0)"
10,0.8911564350128174,"(21, 7)"
10,0.9047619104385376,"(13, 8)"
10,0.8911564350128174,"(21, 14)"
10,0.918367326259613,"(13, 19)"
11,0.918367326259613,"(28, 36)"
11,0.8911564350128174,"(21, 10)"
11,0.9047619104385376,"(5, 15)"
11,0.8911564350128174,"(33, 19)"
11,0.9115645885467529,"(4, 12)"
12,0.918367326259613,"(17, 13)"
12,0.8911564350128174,"(24, 20)"
12,0.9047619104385376,"(6, 19)"
12,0.8775510191917419,"(11, 21)"
12,0.9115645885467529,"(21, 9)"
13,0.9319727420806885,"(20, 9)"
13,0.8911564350128174,"(14, 21)"
13,0.9047619104385376,"(14, 10)"
13,0.8707482814788818,"(10, 39)"
13,0.9115645885467529,"(10, 36)"
14,0.9319727420806885,"(10, 21)"
14,0.8911564350128174,"(30, 27)"
14,0.9047619104385376,"(27, 29)"
14,0.8707482814788818,"(14, 8)"
14,0.9115645885467529,"(18, 37)"
15,0.9319727420806885,"(19, 20)"
15,0.8911564350128174,"(26, 39)"
15,0.9047619104385376,"(24, 14)"
15,0.8707482814788818,"(0, 36)"
15,0.9115645885467529,"(24, 25)"
16,0.9319727420806885,"(7, 29)"
16,0.8775510191917419,"(1, 15)"
16,0.9115645885467529,"(9, 5)"
16,0.8707482814788818,"(27, 8)"
16,0.9115645885467529,"(17, 27)"
17,0.9319727420806885,"(1, 21)"
17,0.8775510191917419,"(32, 39)"
17,0.9115645885467529,"(17, 34)"
17,0.8707482814788818,"(2, 0)"
17,0.9115645885467529,"(10, 12)"
18,0.9319727420806885,"(8, 35)"
18,0.8775510191917419,"(24, 0)"
18,0.9115645885467529,"(32, 19)"
18,0.8707482814788818,"(7, 37)"
18,0.9115645885467529,"(20, 6)"
19,0.9387754797935486,"(9, 18)"
19,0.8775510191917419,"(20, 5)"
19,0.9115645885467529,"(34, 0)"
19,0.8707482814788818,"(1, 11)"
19,0.9047619104385376,"(16, 8)"
20,0.9387754797935486,"(3, 35)"
20,0.8775510191917419,"(5, 33)"
20,0.9115645885467529,"(16, 17)"
20,0.8707482814788818,"(19, 21)"
20,0.9047619104385376,"(24, 27)"
21,0.9387754797935486,"(34, 24)"
21,0.8775510191917419,"(20, 28)"
21,0.9115645885467529,"(30, 5)"
21,0.8707482814788818,"(14, 29)"
21,0.9115645885467529,"(20, 37)"
22,0.9387754797935486,"(33, 17)"
22,0.8775510191917419,"(9, 34)"
22,0.9115645885467529,"(34, 33)"
22,0.8707482814788818,"(20, 39)"
22,0.9115645885467529,"(11, 37)"
23,0.9251700639724731,"(2, 7)"
23,0.8775510191917419,"(30, 17)"
23,0.9115645885467529,"(23, 17)"
23,0.8707482814788818,"(26, 30)"
23,0.8979591727256775,"(11, 21)"
24,0.918367326259613,"(4, 6)"
24,0.8775510191917419,"(24, 4)"
24,0.9115645885467529,"(19, 26)"
24,0.8639455437660217,"(10, 37)"
24,0.8979591727256775,"(11, 28)"
25,0.9047619104385376,"(10, 14)"
25,0.8775510191917419,"(33, 4)"
25,0.9115645885467529,"(11, 11)"
25,0.8639455437660217,"(23, 10)"
25,0.8979591727256775,"(14, 34)"
26,0.9047619104385376,"(30, 26)"
26,0.8775510191917419,"(32, 24)"
26,0.9115645885467529,"(28, 27)"
26,0.8707482814788818,"(34, 39)"
26,0.8979591727256775,"(18, 31)"
27,0.9319727420806885,"(3, 4)"
27,0.8707482814788818,"(3, 3)"
27,0.9115645885467529,"(17, 3)"
27,0.8707482814788818,"(35, 5)"
27,0.8979591727256775,"(33, 4)"
28,0.9319727420806885,"(26, 32)"
28,0.8707482814788818,"(1, 1)"
28,0.9047619104385376,"(0, 20)"
28,0.8639455437660217,"(0, 8)"
28,0.8979591727256775,"(26, 5)"
29,0.9251700639724731,"(20, 28)"
29,0.8707482814788818,"(19, 38)"
29,0.9115645885467529,"(5, 7)"
29,0.8639455437660217,"(30, 10)"
29,0.8979591727256775,"(2, 6)"
30,0.9251700639724731,"(31, 29)"
30,0.8775510191917419,"(28, 25)"
30,0.9047619104385376,"(20, 5)"
30,0.8639455437660217,"(27, 1)"
30,0.8979591727256775,"(28, 6)"
31,0.9251700639724731,"(29, 13)"
31,0.8775510191917419,"(24, 3)"
31,0.9115645885467529,"(0, 5)"
31,0.8639455437660217,"(27, 37)"
31,0.8979591727256775,"(30, 33)"
32,0.9251700639724731,"(13, 10)"
32,0.8775510191917419,"(16, 10)"
32,0.9115645885467529,"(33, 24)"
32,0.8707482814788818,"(18, 34)"
32,0.8979591727256775,"(33, 12)"
33,0.9251700639724731,"(20, 15)"
33,0.8503401279449463,"(5, 21)"
33,0.9115645885467529,"(4, 27)"
33,0.8707482814788818,"(1, 6)"
33,0.8979591727256775,"(30, 23)"
34,0.9251700639724731,"(35, 38)"
34,0.8707482814788818,"(18, 17)"
34,0.918367326259613,"(10, 17)"
34,0.9047619104385376,"(8, 17)"
34,0.8979591727256775,"(9, 8)"
35,0.9251700639724731,"(27, 1)"
35,0.8707482814788818,"(17, 20)"
35,0.918367326259613,"(28, 2)"
35,0.8979591727256775,"(28, 24)"
35,0.8979591727256775,"(11, 7)"
36,0.9251700639724731,"(19, 39)"
36,0.8843536972999573,"(8, 36)"
36,0.9115645885467529,"(0, 30)"
36,0.8979591727256775,"(25, 3)"
36,0.8979591727256775,"(21, 19)"
37,0.9251700639724731,"(28, 20)"
37,0.8843536972999573,"(12, 28)"
37,0.9115645885467529,"(26, 12)"
37,0.9047619104385376,"(18, 9)"
37,0.8979591727256775,"(28, 8)"
38,0.9115645885467529,"(11, 11)"
38,0.8843536972999573,"(15, 12)"
38,0.9115645885467529,"(33, 28)"
38,0.9047619104385376,"(11, 17)"
38,0.8979591727256775,"(31, 19)"
39,0.9115645885467529,"(20, 17)"
39,0.8843536972999573,"(24, 35)"
39,0.9115645885467529,"(26, 16)"
39,0.9047619104385376,"(4, 37)"
39,0.8843536972999573,"(6, 38)"
40,0.9115645885467529,"(25, 5)"
40,0.8843536972999573,"(34, 31)"
40,0.9115645885467529,"(8, 7)"
40,0.9047619104385376,"(30, 25)"
40,0.8775510191917419,"(2, 19)"
41,0.9115645885467529,"(31, 39)"
41,0.8775510191917419,"(20, 17)"
41,0.9115645885467529,"(35, 19)"
41,0.9047619104385376,"(12, 33)"
41,0.8707482814788818,"(1, 9)"
42,0.9115645885467529,"(27, 6)"
42,0.8911564350128174,"(17, 30)"
42,0.9115645885467529,"(14, 2)"
42,0.9047619104385376,"(28, 12)"
42,0.8707482814788818,"(23, 29)"
43,0.9115645885467529,"(29, 37)"
43,0.9047619104385376,"(18, 0)"
43,0.918367326259613,"(1, 2)"
43,0.9047619104385376,"(20, 28)"
43,0.8775510191917419,"(18, 34)"
44,0.9115645885467529,"(32, 2)"
44,0.9047619104385376,"(21, 15)"
44,0.918367326259613,"(24, 10)"
44,0.9047619104385376,"(16, 17)"
44,0.8775510191917419,"(7, 2)"
45,0.9115645885467529,"(10, 35)"
45,0.8979591727256775,"(2, 37)"
45,0.918367326259613,"(19, 16)"
45,0.9047619104385376,"(20, 24)"
45,0.8775510191917419,"(19, 32)"
46,0.9251700639724731,"(3, 32)"
46,0.9047619104385376,"(5, 14)"
46,0.9115645885467529,"(12, 30)"
46,0.9047619104385376,"(27, 29)"
46,0.8775510191917419,"(7, 20)"
47,0.918367326259613,"(7, 6)"
47,0.8911564350128174,"(10, 34)"
47,0.9115645885467529,"(23, 28)"
47,0.9047619104385376,"(6, 12)"
47,0.8775510191917419,"(8, 21)"
48,0.918367326259613,"(0, 17)"
48,0.8911564350128174,"(20, 16)"
48,0.9115645885467529,"(3, 10)"
48,0.9047619104385376,"(22, 3)"
48,0.8775510191917419,"(13, 35)"
49,0.918367326259613,"(25, 38)"
49,0.8843536972999573,"(0, 36)"
49,0.9115645885467529,"(25, 15)"
49,0.8979591727256775,"(35, 2)"
49,0.8775510191917419,"(12, 18)"
50,0.9319727420806885,"(0, 37)"
50,0.8843536972999573,"(20, 7)"
50,0.8571428656578064,"(16, 9)"
50,0.9047619104385376,"(8, 30)"
50,0.8775510191917419,"(31, 1)"
51,0.9319727420806885,"(21, 7)"
51,0.8843536972999573,"(27, 32)"
51,0.8571428656578064,"(28, 14)"
51,0.9047619104385376,"(20, 29)"
51,0.8775510191917419,"(17, 37)"
52,0.9319727420806885,"(34, 19)"
52,0.8843536972999573,"(24, 10)"
52,0.8571428656578064,"(29, 14)"
52,0.9047619104385376,"(30, 17)"
52,0.8775510191917419,"(15, 11)"
53,0.9319727420806885,"(19, 16)"
53,0.8843536972999573,"(25, 37)"
53,0.8163264989852905,"(17, 36)"
53,0.9047619104385376,"(33, 20)"
53,0.8775510191917419,"(1, 19)"
54,0.9251700639724731,"(34, 20)"
54,0.8843536972999573,"(17, 0)"
54,0.8231292366981506,"(13, 30)"
54,0.9047619104385376,"(26, 12)"
54,0.8775510191917419,"(8, 13)"
55,0.9251700639724731,"(31, 37)"
55,0.8843536972999573,"(28, 18)"
55,0.8231292366981506,"(20, 37)"
55,0.9319727420806885,"(0, 4)"
55,0.8775510191917419,"(15, 36)"
56,0.9319727420806885,"(0, 32)"
56,0.8843536972999573,"(30, 8)"
56,0.8299319744110107,"(35, 8)"
56,0.9319727420806885,"(2, 13)"
56,0.8775510191917419,"(9, 11)"
57,0.9251700639724731,"(4, 21)"
57,0.8843536972999573,"(10, 11)"
57,0.8231292366981506,"(34, 11)"
57,0.9319727420806885,"(26, 37)"
57,0.8775510191917419,"(18, 7)"
58,0.9251700639724731,"(25, 9)"
58,0.8843536972999573,"(25, 10)"
58,0.8299319744110107,"(1, 19)"
58,0.9319727420806885,"(23, 8)"
58,0.8775510191917419,"(33, 23)"
59,0.9319727420806885,"(18, 3)"
59,0.8843536972999573,"(33, 13)"
59,0.8367346525192261,"(0, 7)"
59,0.9319727420806885,"(22, 4)"
59,0.8775510191917419,"(28, 24)"
60,0.9251700639724731,"(16, 6)"
60,0.8911564350128174,"(18, 33)"
60,0.8231292366981506,"(9, 8)"
60,0.9387754797935486,"(17, 36)"
60,0.8775510191917419,"(16, 25)"
61,0.9319727420806885,"(20, 32)"
61,0.918367326259613,"(6, 0)"
61,0.8367346525192261,"(2, 38)"
61,0.9387754797935486,"(0, 19)"
61,0.8775510191917419,"(30, 1)"
62,0.9319727420806885,"(5, 18)"
62,0.918367326259613,"(27, 3)"
62,0.8367346525192261,"(35, 15)"
62,0.9387754797935486,"(17, 32)"
62,0.8435373902320862,"(14, 22)"
63,0.9319727420806885,"(20, 16)"
63,0.918367326259613,"(26, 12)"
63,0.8367346525192261,"(31, 8)"
63,0.9387754797935486,"(27, 27)"
63,0.8503401279449463,"(28, 13)"
64,0.9319727420806885,"(5, 8)"
64,0.918367326259613,"(29, 27)"
64,0.8027210831642151,"(27, 0)"
64,0.9387754797935486,"(25, 30)"
64,0.8503401279449463,"(27, 31)"
65,0.9319727420806885,"(9, 29)"
65,0.918367326259613,"(21, 38)"
65,0.8095238208770752,"(0, 12)"
65,0.9387754797935486,"(35, 19)"
65,0.8639455437660217,"(15, 0)"
66,0.9319727420806885,"(22, 28)"
66,0.9047619104385376,"(7, 35)"
66,0.795918345451355,"(5, 19)"
66,0.9387754797935486,"(28, 15)"
66,0.8775510191917419,"(2, 9)"
67,0.9319727420806885,"(27, 35)"
67,0.9047619104385376,"(22, 20)"
67,0.7891156077384949,"(33, 37)"
67,0.9387754797935486,"(31, 17)"
67,0.8775510191917419,"(19, 20)"
68,0.9319727420806885,"(16, 28)"
68,0.9047619104385376,"(6, 3)"
68,0.795918345451355,"(2, 31)"
68,0.9387754797935486,"(11, 30)"
68,0.8707482814788818,"(5, 26)"
