k_heads_ablated,accuracy,last_head_removed
0,0.918367326259613,
1,0.9319727420806885,"(16, 27)"
2,0.8707482814788818,"(13, 23)"
3,0.5034013390541077,"(11, 33)"
4,0.5034013390541077,"(24, 9)"
5,0.4897959232330322,"(14, 0)"
6,0.4897959232330322,"(25, 2)"
7,0.4829931855201721,"(18, 26)"
8,0.4829931855201721,"(8, 9)"
9,0.4285714328289032,"(18, 21)"
10,0.31292515993118286,"(12, 6)"
11,0.2448979616165161,"(8, 24)"
12,0.15646257996559143,"(9, 30)"
13,0.1428571343421936,"(20, 2)"
14,0.1428571343421936,"(26, 22)"
15,0.13605442643165588,"(11, 39)"
16,0.06802721321582794,"(10, 10)"
17,0.03401360660791397,"(13, 15)"
18,0.027210883796215057,"(11, 20)"
19,0.040816325694322586,"(7, 0)"
20,0.0476190447807312,"(23, 31)"
21,0.0476190447807312,"(23, 27)"
22,0.054421767592430115,"(10, 6)"
23,0.054421767592430115,"(19, 3)"
24,0.054421767592430115,"(14, 1)"
25,0.0476190447807312,"(6, 8)"
26,0.0476190447807312,"(19, 19)"
27,0.054421767592430115,"(15, 21)"
28,0.054421767592430115,"(15, 19)"
29,0.06122449040412903,"(8, 6)"
30,0.03401360660791397,"(7, 36)"
31,0.03401360660791397,"(5, 29)"
32,0.03401360660791397,"(23, 39)"
33,0.040816325694322586,"(21, 2)"
34,0.040816325694322586,"(6, 16)"
35,0.040816325694322586,"(17, 7)"
36,0.040816325694322586,"(7, 24)"
37,0.040816325694322586,"(5, 12)"
38,0.040816325694322586,"(21, 30)"
39,0.03401360660791397,"(19, 31)"
40,0.020408162847161293,"(19, 2)"
41,0.020408162847161293,"(7, 8)"
42,0.020408162847161293,"(24, 33)"
43,0.020408162847161293,"(17, 18)"
44,0.020408162847161293,"(14, 4)"
45,0.013605441898107529,"(7, 27)"
46,0.013605441898107529,"(16, 7)"
47,0.013605441898107529,"(11, 31)"
48,0.013605441898107529,"(21, 27)"
49,0.013605441898107529,"(21, 8)"
50,0.020408162847161293,"(10, 9)"
51,0.020408162847161293,"(26, 3)"
52,0.013605441898107529,"(14, 26)"
53,0.013605441898107529,"(8, 16)"
54,0.013605441898107529,"(4, 3)"
55,0.013605441898107529,"(3, 28)"
56,0.006802720949053764,"(6, 13)"
57,0.0,"(6, 4)"
58,0.0,"(5, 11)"
59,0.0,"(3, 16)"
60,0.0,"(23, 21)"
61,0.0,"(20, 22)"
62,0.0,"(14, 30)"
63,0.0,"(12, 12)"
64,0.0,"(9, 19)"
65,0.0,"(24, 38)"
66,0.0,"(18, 25)"
67,0.0,"(13, 22)"
68,0.0,"(11, 24)"
69,0.0,"(7, 17)"
70,0.0,"(6, 35)"
71,0.0,"(4, 24)"
72,0.0,"(2, 33)"
73,0.0,"(25, 18)"
74,0.0,"(19, 34)"
75,0.0,"(19, 10)"
76,0.0,"(16, 11)"
77,0.0,"(9, 16)"
78,0.0,"(8, 18)"
79,0.0,"(4, 9)"
80,0.0,"(33, 3)"
81,0.0,"(31, 2)"
82,0.0,"(25, 21)"
83,0.0,"(18, 2)"
84,0.0,"(15, 26)"
85,0.0,"(14, 20)"
86,0.0,"(13, 33)"
87,0.0,"(10, 26)"
88,0.0,"(8, 28)"
89,0.0,"(8, 22)"
90,0.0,"(5, 3)"
91,0.0,"(5, 0)"
92,0.0,"(4, 5)"
93,0.0,"(3, 1)"
