,\makecell{Relation name},\makecell{\#\\Heads\\removed},\makecell{Base},\makecell{-TR},\makecell{-RND},\makecell{\# tasks},\makecell{Base (CTR)},\makecell{-TR (CTR)}
3,Adj to comparative,150,0.91,\tcbox{$\downarrow$83\%}0.16,\tcbox{$\downarrow$7\%}0.85 $\pm$ 0.16,2,0.92 $\pm$ 0.05,\tcbox{$\downarrow$43\%}0.53 $\pm$ 0.21
7,Copying,150,1.00,\tcbox{$\downarrow$36\%}0.64,\tcbox{$\downarrow$0\%}1.00 $\pm$ 0.00,3,0.95 $\pm$ 0.05,\tcbox{$\downarrow$9\%}0.86 $\pm$ 0.09
0,Country to capital,84,0.97,\tcbox{$\downarrow$100\%}0.00,\tcbox{$\downarrow$2\%}0.95 $\pm$ 0.02,2,0.89 $\pm$ 0.02,\tcbox{$\uparrow$5\%}0.94 $\pm$ 0.01
1,Country to language,94,1.00,\tcbox{$\downarrow$92\%}0.08,\tcbox{$\downarrow$3\%}0.97 $\pm$ 0.02,2,0.89 $\pm$ 0.01,\tcbox{$\downarrow$0\%}0.89 $\pm$ 0.01
8,Name copying,150,1.00,\tcbox{$\downarrow$77\%}0.23,\tcbox{$\downarrow$0\%}1.00 $\pm$ 0.00,2,0.90 $\pm$ 0.02,\tcbox{$\uparrow$2\%}0.92 $\pm$ 0.05
9,Noun to pronoun,105,0.88,\tcbox{$\downarrow$48\%}0.46,\tcbox{$\uparrow$0\%}0.88 $\pm$ 0.03,5,0.92 $\pm$ 0.08,\tcbox{$\downarrow$1\%}0.91 $\pm$ 0.09
2,Object to superclass,75,0.78,\tcbox{$\downarrow$50\%}0.39,\tcbox{$\downarrow$4\%}0.75 $\pm$ 0.03,2,0.90 $\pm$ 0.02,\tcbox{$\downarrow$3\%}0.87 $\pm$ 0.09
4,Verb to past tense,150,0.22,\tcbox{$\downarrow$80\%}0.04,\tcbox{$\uparrow$8\%}0.24 $\pm$ 0.12,1,0.03 $\pm$ 0.00,\tcbox{$\downarrow$33\%}0.02 $\pm$ 0.00
5,Word to first letter,150,0.91,\tcbox{$\downarrow$57\%}0.39,\tcbox{$\downarrow$16\%}0.76 $\pm$ 0.10,5,0.91 $\pm$ 0.08,\tcbox{$\downarrow$18\%}0.75 $\pm$ 0.27
6,Year to following,57,0.92,\tcbox{$\downarrow$100\%}0.00,\tcbox{$\downarrow$3\%}0.89 $\pm$ 0.04,3,0.86 $\pm$ 0.05,\tcbox{$\downarrow$12\%}0.76 $\pm$ 0.02
