relation,corr_wo_context,corr_w_context,supp_corr_wo_context,supp_corr_w_context,pval_wo_context,pval_w_context,supp_pval_wo_context,supp_pval_w_context
country_to_capital_wikidata,0.92933085150001,0.8733747813844692,0.7608511617100987,0.27442152730986974,0.0,0.0,2.3907847009993e-272,2.7110231956490506e-26
country_to_official_language_wikidata,0.9046107481252603,0.8265390532652884,0.7672568387103014,0.343294797195911,0.0,0.0,1.0735175949564859e-279,4.2622188268417143e-41
entity_to_pronoun,0.8548394426033409,0.7898484248094506,0.7144232048141785,0.37861369935115413,0.0,1.2621800140420279e-307,2.913299166940915e-225,2.687018755025719e-50
general_copying_english_500,0.8499498772950393,0.4392715247839429,0.8979002359853214,0.8386871369801845,0.0,5.454467136476629e-69,0.0,0.0
name_copying,0.7610953961381345,0.3309927972613811,0.9914675103916115,0.7453054673581052,1.2666259257584235e-272,3.6967625774635315e-38,0.0,1.92349124113293e-255
object_superclass,0.8913675263008496,0.8648402327853791,0.7898777036508455,0.7662071968594849,0.0,0.0,1.1553289002181101e-307,1.7822216961241973e-278
word_first_letter,0.7330868037766805,0.643515359564,0.34341343817965997,0.21213223787428254,5.363401309762791e-243,3.738440793451836e-169,3.9870087593600985e-41,4.098206648592728e-16
word_last_letter,0.49984330433481106,0.0871229982387359,0.5536744452500875,0.2023260443187256,7.203125018589269e-92,0.0009345983392931853,1.8472174080775058e-116,9.090890326816839e-15
word_to_synonym,0.8613302944543344,0.5806431353246837,0.7883344733164519,0.392723509427391,0.0,1.4379020956271079e-130,1.2000126060127122e-305,2.636322957615299e-54
work_location,0.7228215327455927,0.7040950166055977,0.6207764686652454,0.6661743733025731,4.618709697009448e-233,4.759739893085502e-216,3.5172265078195226e-154,2.1216258374699778e-185
year_to_following,0.8443749241207019,0.5973476169018022,0.16193372186203467,-0.0033030481474323357,0.0,5.435993804894186e-140,6.391920556953023e-10,0.9003388086008438
