k_heads_ablated,accuracy,last_head_removed
0,0.680672287940979,
1,0.6764706373214722,"(19, 1)"
2,0.6764706373214722,"(17, 4)"
3,0.7268908023834229,"(17, 8)"
4,0.7310924530029297,"(28, 13)"
5,0.7310924530029297,"(29, 23)"
6,0.7310924530029297,"(23, 10)"
7,0.7268908023834229,"(28, 21)"
8,0.7268908023834229,"(22, 1)"
9,0.7521008849143982,"(9, 1)"
10,0.7521008849143982,"(8, 18)"
11,0.7394958138465881,"(20, 13)"
12,0.756302535533905,"(14, 18)"
13,0.7478991746902466,"(14, 14)"
14,0.7941176891326904,"(12, 23)"
15,0.7983193397521973,"(21, 20)"
16,0.8025210499763489,"(21, 5)"
17,0.7983193397521973,"(17, 21)"
18,0.7899159789085388,"(16, 3)"
19,0.8025210499763489,"(10, 4)"
20,0.8109244108200073,"(12, 22)"
21,0.8109244108200073,"(29, 1)"
22,0.8193277716636658,"(17, 26)"
23,0.8193277716636658,"(23, 20)"
24,0.8151261210441589,"(9, 30)"
25,0.8067227602005005,"(23, 29)"
26,0.8445378541946411,"(12, 29)"
27,0.8949580192565918,"(8, 12)"
28,0.8949580192565918,"(27, 19)"
29,0.890756368637085,"(26, 11)"
30,0.890756368637085,"(22, 28)"
31,0.8949580192565918,"(20, 23)"
32,0.890756368637085,"(16, 1)"
33,0.890756368637085,"(10, 13)"
34,0.890756368637085,"(31, 19)"
35,0.890756368637085,"(17, 12)"
36,0.890756368637085,"(15, 4)"
37,0.890756368637085,"(10, 29)"
38,0.890756368637085,"(9, 25)"
39,0.890756368637085,"(20, 31)"
40,0.890756368637085,"(20, 21)"
41,0.890756368637085,"(20, 10)"
42,0.890756368637085,"(16, 22)"
43,0.890756368637085,"(26, 30)"
44,0.890756368637085,"(23, 5)"
45,0.890756368637085,"(22, 18)"
46,0.890756368637085,"(22, 11)"
47,0.890756368637085,"(21, 10)"
48,0.8865546584129333,"(21, 7)"
49,0.8865546584129333,"(19, 31)"
50,0.8865546584129333,"(19, 29)"
51,0.8865546584129333,"(18, 27)"
52,0.8781512975692749,"(17, 3)"
53,0.8781512975692749,"(16, 9)"
54,0.8445378541946411,"(12, 27)"
55,0.8445378541946411,"(9, 7)"
56,0.8361344933509827,"(8, 24)"
57,0.8319328427314758,"(7, 18)"
58,0.8361344933509827,"(4, 0)"
59,0.8361344933509827,"(28, 23)"
60,0.8361344933509827,"(25, 14)"
61,0.8361344933509827,"(25, 13)"
62,0.8361344933509827,"(25, 11)"
63,0.8403362035751343,"(20, 24)"
64,0.8361344933509827,"(18, 2)"
65,0.8403362035751343,"(17, 13)"
66,0.8361344933509827,"(16, 5)"
67,0.8445378541946411,"(15, 15)"
68,0.8319328427314758,"(14, 31)"
69,0.8277311325073242,"(14, 23)"
70,0.8235294818878174,"(14, 21)"
71,0.8235294818878174,"(13, 25)"
72,0.8403362035751343,"(13, 8)"
73,0.8277311325073242,"(10, 11)"
74,0.8361344933509827,"(8, 8)"
75,0.8445378541946411,"(7, 5)"
76,0.8361344933509827,"(4, 28)"
77,0.8445378541946411,"(3, 26)"
78,0.8445378541946411,"(1, 22)"
79,0.8361344933509827,"(31, 8)"
80,0.8403362035751343,"(29, 2)"
81,0.8403362035751343,"(27, 6)"
82,0.8403362035751343,"(26, 17)"
83,0.8361344933509827,"(26, 6)"
84,0.8361344933509827,"(25, 31)"
85,0.8361344933509827,"(25, 3)"
86,0.8529412150382996,"(24, 9)"
87,0.8529412150382996,"(24, 4)"
88,0.8571429252624512,"(24, 3)"
89,0.8571429252624512,"(24, 1)"
90,0.8571429252624512,"(23, 11)"
91,0.8571429252624512,"(23, 8)"
92,0.8529412150382996,"(23, 7)"
93,0.8529412150382996,"(22, 15)"
94,0.8529412150382996,"(21, 29)"
95,0.861344575881958,"(21, 26)"
96,0.861344575881958,"(21, 16)"
97,0.861344575881958,"(21, 11)"
98,0.861344575881958,"(20, 22)"
99,0.861344575881958,"(20, 9)"
100,0.8151261210441589,"(19, 15)"
101,0.8067227602005005,"(19, 7)"
102,0.8067227602005005,"(17, 6)"
103,0.8067227602005005,"(16, 31)"
104,0.7941176891326904,"(16, 26)"
105,0.8025210499763489,"(16, 16)"
106,0.7983193397521973,"(16, 0)"
107,0.7983193397521973,"(15, 27)"
108,0.605042040348053,"(15, 17)"
109,0.6092437505722046,"(15, 8)"
110,0.605042040348053,"(15, 2)"
111,0.6008403897285461,"(13, 29)"
112,0.5924370288848877,"(13, 28)"
113,0.5966386795043945,"(13, 18)"
114,0.5966386795043945,"(12, 28)"
115,0.5966386795043945,"(12, 10)"
116,0.5924370288848877,"(11, 25)"
117,0.6092437505722046,"(10, 31)"
118,0.6092437505722046,"(10, 17)"
119,0.6092437505722046,"(9, 13)"
120,0.6134454011917114,"(9, 12)"
121,0.6092437505722046,"(9, 8)"
122,0.5840336680412292,"(8, 29)"
123,0.5798319578170776,"(8, 27)"
124,0.5756303071975708,"(8, 21)"
125,0.4453781843185425,"(8, 15)"
126,0.39915966987609863,"(8, 11)"
127,0.3949579894542694,"(7, 1)"
128,0.3613445460796356,"(6, 28)"
129,0.3571428656578064,"(6, 21)"
130,0.3613445460796356,"(6, 18)"
131,0.28151261806488037,"(5, 21)"
132,0.2689075767993927,"(3, 3)"
