k_heads_ablated,accuracy,last_head_removed
0,0.5227273106575012,
0,0.5227273106575012,
0,0.5227273106575012,
0,0.5227273106575012,
0,0.5227273106575012,
1,0.5227273106575012,"(31, 12)"
1,0.5227273106575012,"(20, 2)"
1,0.5227273106575012,"(0, 18)"
1,0.5454545617103577,"(8, 2)"
1,0.5227273106575012,"(10, 24)"
2,0.5227273106575012,"(19, 10)"
2,0.5227273106575012,"(5, 31)"
2,0.5227273106575012,"(3, 1)"
2,0.5454545617103577,"(9, 20)"
2,0.5227273106575012,"(27, 22)"
3,0.5227273106575012,"(0, 2)"
3,0.5454545617103577,"(15, 12)"
3,0.4545454680919647,"(4, 14)"
3,0.5454545617103577,"(0, 6)"
3,0.5454545617103577,"(14, 16)"
4,0.5227273106575012,"(4, 25)"
4,0.5227273106575012,"(18, 6)"
4,0.4545454680919647,"(29, 21)"
4,0.5454545617103577,"(12, 25)"
4,0.5227273106575012,"(3, 21)"
5,0.5227273106575012,"(1, 23)"
5,0.5227273106575012,"(27, 27)"
5,0.4545454680919647,"(11, 2)"
5,0.5227273106575012,"(5, 28)"
5,0.5227273106575012,"(20, 11)"
6,0.5227273106575012,"(30, 0)"
6,0.5227273106575012,"(24, 16)"
6,0.4545454680919647,"(28, 31)"
6,0.5227273106575012,"(7, 28)"
6,0.5227273106575012,"(18, 9)"
7,0.5227273106575012,"(12, 5)"
7,0.5227273106575012,"(4, 24)"
7,0.4545454680919647,"(29, 9)"
7,0.5227273106575012,"(13, 20)"
7,0.5909091234207153,"(6, 29)"
8,0.5227273106575012,"(28, 22)"
8,0.5227273106575012,"(0, 16)"
8,0.3863636553287506,"(11, 10)"
8,0.5454545617103577,"(8, 19)"
8,0.5909091234207153,"(19, 4)"
9,0.5227273106575012,"(13, 0)"
9,0.5227273106575012,"(5, 3)"
9,0.3863636553287506,"(18, 22)"
9,0.5454545617103577,"(10, 2)"
9,0.5909091234207153,"(21, 0)"
10,0.5,"(10, 3)"
10,0.5454545617103577,"(7, 2)"
10,0.3863636553287506,"(23, 14)"
10,0.5454545617103577,"(9, 26)"
10,0.5909091234207153,"(25, 27)"
11,0.5,"(20, 3)"
11,0.5227273106575012,"(11, 30)"
11,0.3863636553287506,"(27, 31)"
11,0.5454545617103577,"(28, 10)"
11,0.5909091234207153,"(23, 19)"
12,0.5,"(24, 20)"
12,0.5227273106575012,"(0, 31)"
12,0.40909093618392944,"(16, 15)"
12,0.5454545617103577,"(18, 29)"
12,0.27272728085517883,"(9, 29)"
13,0.5227273106575012,"(14, 17)"
13,0.5227273106575012,"(2, 31)"
13,0.40909093618392944,"(18, 5)"
13,0.5454545617103577,"(24, 25)"
13,0.29545456171035767,"(3, 14)"
14,0.5227273106575012,"(21, 0)"
14,0.5227273106575012,"(22, 31)"
14,0.40909093618392944,"(29, 19)"
14,0.5454545617103577,"(20, 1)"
14,0.5,"(11, 23)"
15,0.5,"(27, 2)"
15,0.5227273106575012,"(22, 23)"
15,0.3636363744735718,"(8, 26)"
15,0.5454545617103577,"(20, 3)"
15,0.5227273106575012,"(10, 10)"
16,0.47727274894714355,"(22, 4)"
16,0.5454545617103577,"(16, 20)"
16,0.3636363744735718,"(26, 26)"
16,0.5227273106575012,"(21, 14)"
