k_heads_ablated,accuracy,last_head_removed
0,0.5227273106575012,
1,0.6136363744735718,"(19, 1)"
2,0.5909091234207153,"(17, 4)"
3,0.6136363744735718,"(17, 8)"
4,0.6136363744735718,"(28, 13)"
5,0.5909091234207153,"(29, 23)"
6,0.5909091234207153,"(23, 10)"
7,0.5909091234207153,"(28, 21)"
8,0.5909091234207153,"(22, 1)"
9,0.5454545617103577,"(9, 1)"
10,0.5454545617103577,"(8, 18)"
11,0.5681818127632141,"(20, 13)"
12,0.5681818127632141,"(14, 18)"
13,0.5681818127632141,"(14, 14)"
14,0.6136363744735718,"(12, 23)"
15,0.6363636255264282,"(21, 20)"
16,0.6136363744735718,"(21, 5)"
17,0.6136363744735718,"(17, 21)"
18,0.5681818127632141,"(16, 3)"
19,0.5681818127632141,"(10, 4)"
20,0.5681818127632141,"(12, 22)"
21,0.5681818127632141,"(29, 1)"
22,0.5681818127632141,"(17, 26)"
23,0.5454545617103577,"(23, 20)"
24,0.5454545617103577,"(9, 30)"
25,0.5681818127632141,"(23, 29)"
26,0.47727274894714355,"(12, 29)"
27,0.40909093618392944,"(8, 12)"
28,0.40909093618392944,"(27, 19)"
29,0.40909093618392944,"(26, 11)"
30,0.3863636553287506,"(22, 28)"
31,0.34090909361839294,"(20, 23)"
32,0.34090909361839294,"(16, 1)"
33,0.34090909361839294,"(10, 13)"
34,0.34090909361839294,"(31, 19)"
35,0.34090909361839294,"(17, 12)"
36,0.34090909361839294,"(15, 4)"
37,0.34090909361839294,"(10, 29)"
38,0.34090909361839294,"(9, 25)"
39,0.34090909361839294,"(20, 31)"
40,0.34090909361839294,"(20, 21)"
41,0.3181818127632141,"(20, 10)"
42,0.29545456171035767,"(16, 22)"
43,0.29545456171035767,"(26, 30)"
44,0.29545456171035767,"(23, 5)"
45,0.29545456171035767,"(22, 18)"
46,0.29545456171035767,"(22, 11)"
47,0.29545456171035767,"(21, 10)"
48,0.29545456171035767,"(21, 7)"
49,0.29545456171035767,"(19, 31)"
50,0.29545456171035767,"(19, 29)"
51,0.29545456171035767,"(18, 27)"
52,0.27272728085517883,"(17, 3)"
53,0.27272728085517883,"(16, 9)"
54,0.27272728085517883,"(12, 27)"
55,0.27272728085517883,"(9, 7)"
56,0.27272728085517883,"(8, 24)"
57,0.27272728085517883,"(7, 18)"
58,0.25,"(4, 0)"
59,0.25,"(28, 23)"
60,0.25,"(25, 14)"
61,0.25,"(25, 13)"
62,0.25,"(25, 11)"
63,0.22727273404598236,"(20, 24)"
64,0.15909090638160706,"(18, 2)"
65,0.15909090638160706,"(17, 13)"
66,0.11363636702299118,"(16, 5)"
67,0.11363636702299118,"(15, 15)"
68,0.11363636702299118,"(14, 31)"
69,0.11363636702299118,"(14, 23)"
70,0.11363636702299118,"(14, 21)"
71,0.11363636702299118,"(13, 25)"
72,0.11363636702299118,"(13, 8)"
73,0.15909090638160706,"(10, 11)"
74,0.13636364042758942,"(8, 8)"
75,0.1818181872367859,"(7, 5)"
76,0.22727273404598236,"(4, 28)"
77,0.22727273404598236,"(3, 26)"
78,0.22727273404598236,"(1, 22)"
79,0.22727273404598236,"(31, 8)"
80,0.22727273404598236,"(29, 2)"
81,0.22727273404598236,"(27, 6)"
82,0.22727273404598236,"(26, 17)"
83,0.22727273404598236,"(26, 6)"
84,0.22727273404598236,"(25, 31)"
85,0.22727273404598236,"(25, 3)"
86,0.22727273404598236,"(24, 9)"
87,0.22727273404598236,"(24, 4)"
88,0.22727273404598236,"(24, 3)"
89,0.22727273404598236,"(24, 1)"
90,0.22727273404598236,"(23, 11)"
91,0.22727273404598236,"(23, 8)"
92,0.22727273404598236,"(23, 7)"
93,0.22727273404598236,"(22, 15)"
94,0.22727273404598236,"(21, 29)"
95,0.20454546809196472,"(21, 26)"
96,0.20454546809196472,"(21, 16)"
97,0.20454546809196472,"(21, 11)"
98,0.20454546809196472,"(20, 22)"
99,0.20454546809196472,"(20, 9)"
100,0.20454546809196472,"(19, 15)"
101,0.20454546809196472,"(19, 7)"
102,0.20454546809196472,"(17, 6)"
103,0.1818181872367859,"(16, 31)"
104,0.04545454680919647,"(16, 26)"
105,0.022727273404598236,"(16, 16)"
106,0.022727273404598236,"(16, 0)"
107,0.022727273404598236,"(15, 27)"
108,0.0,"(15, 17)"
109,0.0,"(15, 8)"
110,0.0,"(15, 2)"
111,0.0,"(13, 29)"
112,0.0,"(13, 28)"
113,0.0,"(13, 18)"
114,0.0,"(12, 28)"
115,0.0,"(12, 10)"
116,0.0,"(11, 25)"
117,0.0,"(10, 31)"
118,0.0,"(10, 17)"
119,0.0,"(9, 13)"
120,0.0,"(9, 12)"
121,0.0,"(9, 8)"
122,0.0,"(8, 29)"
123,0.0,"(8, 27)"
124,0.0,"(8, 21)"
125,0.0,"(8, 15)"
126,0.0,"(8, 11)"
127,0.0,"(7, 1)"
128,0.0,"(6, 28)"
129,0.0,"(6, 21)"
130,0.0,"(6, 18)"
131,0.0,"(5, 21)"
132,0.0,"(3, 3)"
