k_heads_ablated,accuracy,last_head_removed
0,0.9999999403953552,
1,0.9999999403953552,"(19, 28)"
2,0.9999999403953552,"(20, 18)"
3,0.9999999403953552,"(24, 5)"
4,0.9999999403953552,"(27, 22)"
5,0.9999999403953552,"(14, 6)"
6,0.9999999403953552,"(20, 2)"
7,0.9999999403953552,"(20, 11)"
8,0.9999999403953552,"(18, 7)"
9,0.9999999403953552,"(14, 28)"
10,0.9999999403953552,"(13, 22)"
11,0.9999999403953552,"(29, 22)"
12,0.9999999403953552,"(19, 21)"
13,0.9999999403953552,"(25, 13)"
14,0.9999999403953552,"(23, 25)"
15,0.9999999403953552,"(21, 22)"
16,0.9999999403953552,"(20, 26)"
17,0.9999999403953552,"(19, 31)"
18,0.9999999403953552,"(19, 11)"
19,0.9999999403953552,"(11, 14)"
20,0.9999999403953552,"(20, 8)"
21,0.9999999403953552,"(13, 16)"
22,0.9999999403953552,"(13, 12)"
23,0.9999999403953552,"(28, 4)"
24,0.9999999403953552,"(22, 8)"
25,0.9999999403953552,"(9, 25)"
26,0.9999999403953552,"(16, 16)"
27,0.9999999403953552,"(17, 29)"
28,0.9999999403953552,"(14, 23)"
29,0.9999999403953552,"(14, 5)"
30,0.9999999403953552,"(24, 24)"
31,0.9999999403953552,"(24, 22)"
32,0.9999999403953552,"(16, 2)"
33,0.9999999403953552,"(13, 18)"
34,0.9999999403953552,"(10, 30)"
35,0.9999999403953552,"(10, 4)"
36,0.9999999403953552,"(28, 23)"
37,0.9999999403953552,"(24, 19)"
38,0.9999999403953552,"(24, 9)"
39,0.9999999403953552,"(23, 17)"
40,0.9999999403953552,"(17, 14)"
41,0.9999999403953552,"(16, 4)"
42,0.9999999403953552,"(15, 29)"
43,0.9999999403953552,"(12, 17)"
44,0.9999999403953552,"(11, 31)"
45,0.9999999403953552,"(11, 22)"
46,0.9999999403953552,"(7, 1)"
47,0.9999999403953552,"(26, 26)"
48,0.9999999403953552,"(26, 7)"
49,0.9999999403953552,"(25, 31)"
50,0.9999999403953552,"(25, 29)"
51,0.9999999403953552,"(24, 15)"
52,0.9999999403953552,"(24, 14)"
53,0.9999999403953552,"(24, 7)"
54,0.9999999403953552,"(23, 27)"
55,0.9999999403953552,"(20, 23)"
56,0.9999999403953552,"(19, 20)"
57,0.9999999403953552,"(19, 9)"
58,0.9999999403953552,"(16, 28)"
59,0.9999999403953552,"(16, 18)"
60,0.9999999403953552,"(15, 31)"
61,0.9999999403953552,"(15, 17)"
62,0.9999999403953552,"(15, 3)"
63,0.9999999403953552,"(13, 14)"
64,0.9999999403953552,"(11, 13)"
65,0.9999999403953552,"(11, 2)"
66,0.9999999403953552,"(10, 22)"
67,0.9999999403953552,"(9, 8)"
68,0.9999999403953552,"(9, 1)"
69,0.9999999403953552,"(8, 24)"
70,0.9957805275917053,"(8, 11)"
71,0.9957805275917053,"(8, 4)"
