k_heads_ablated,accuracy,last_head_removed
0,0.96875,
0,0.96875,
0,0.96875,
0,0.96875,
0,0.96875,
1,0.96875,"(11, 11)"
1,0.96875,"(4, 21)"
1,0.96875,"(6, 12)"
1,0.96875,"(8, 3)"
1,0.96875,"(19, 17)"
2,0.96875,"(2, 8)"
2,0.96875,"(2, 17)"
2,0.96875,"(31, 8)"
2,0.96875,"(8, 15)"
2,0.96875,"(31, 16)"
3,0.96875,"(22, 4)"
3,0.96875,"(11, 16)"
3,0.96875,"(31, 23)"
3,0.96875,"(15, 14)"
3,0.96875,"(19, 29)"
4,0.96875,"(14, 26)"
4,0.96875,"(30, 8)"
4,0.96875,"(7, 14)"
4,0.96875,"(1, 7)"
4,0.96875,"(17, 17)"
5,0.96875,"(30, 11)"
5,0.96875,"(25, 15)"
5,0.96875,"(15, 27)"
5,0.96875,"(18, 17)"
5,0.96875,"(2, 13)"
6,0.96875,"(31, 26)"
6,0.96875,"(18, 4)"
6,0.96875,"(29, 2)"
6,0.96875,"(6, 10)"
6,0.96875,"(4, 22)"
7,0.96875,"(18, 11)"
7,0.96875,"(13, 10)"
7,0.96875,"(9, 22)"
7,0.96875,"(7, 12)"
7,0.96875,"(0, 17)"
8,0.96875,"(8, 28)"
8,0.96875,"(6, 6)"
8,0.96875,"(26, 4)"
8,0.96875,"(0, 25)"
8,0.96875,"(26, 10)"
9,0.96875,"(16, 25)"
9,0.96875,"(25, 1)"
9,0.96875,"(28, 3)"
9,0.96875,"(0, 15)"
9,0.96875,"(0, 11)"
10,0.96875,"(1, 18)"
10,0.96875,"(7, 8)"
10,0.96875,"(18, 0)"
10,0.96875,"(17, 0)"
10,0.96875,"(27, 21)"
11,0.96875,"(15, 11)"
11,0.96875,"(30, 24)"
11,0.96875,"(19, 14)"
11,0.96875,"(1, 24)"
11,0.96875,"(6, 11)"
12,0.96875,"(5, 27)"
12,0.96875,"(5, 17)"
12,0.96875,"(8, 6)"
12,0.96875,"(19, 4)"
12,0.96875,"(15, 10)"
13,0.96875,"(9, 24)"
13,0.96875,"(28, 8)"
13,0.96875,"(31, 22)"
13,0.96875,"(0, 27)"
13,0.96875,"(8, 2)"
14,0.96875,"(18, 22)"
14,0.96875,"(1, 30)"
14,0.96875,"(30, 22)"
14,0.96875,"(3, 20)"
14,0.96875,"(24, 10)"
15,0.96875,"(10, 11)"
15,0.96875,"(17, 19)"
15,0.96875,"(24, 20)"
15,0.96875,"(23, 31)"
15,0.96875,"(17, 25)"
16,0.96875,"(21, 1)"
16,0.96875,"(22, 15)"
16,0.96875,"(27, 18)"
16,0.96875,"(21, 1)"
16,0.96875,"(3, 5)"
17,0.96875,"(20, 28)"
17,0.96875,"(3, 2)"
17,0.96875,"(29, 8)"
17,0.96875,"(22, 21)"
17,0.96875,"(22, 6)"
18,0.96875,"(6, 31)"
18,0.96875,"(8, 1)"
18,0.96875,"(7, 20)"
18,0.96875,"(22, 17)"
18,0.96875,"(4, 12)"
19,0.96875,"(14, 31)"
19,0.96875,"(31, 2)"
19,0.96875,"(29, 16)"
19,0.96875,"(27, 15)"
19,0.96875,"(0, 28)"
20,0.96875,"(2, 7)"
20,0.96875,"(3, 22)"
20,0.96875,"(29, 13)"
20,0.96875,"(20, 19)"
20,0.96875,"(21, 0)"
21,0.96875,"(2, 16)"
21,0.96875,"(25, 17)"
21,0.96875,"(5, 23)"
21,0.96875,"(7, 30)"
21,0.96875,"(31, 6)"
22,0.96875,"(13, 19)"
22,0.96875,"(19, 27)"
22,0.96875,"(24, 3)"
22,0.96875,"(10, 20)"
22,0.96875,"(3, 29)"
23,0.96875,"(0, 2)"
23,0.96875,"(22, 3)"
23,0.96875,"(29, 5)"
