k_heads_ablated,accuracy,last_head_removed
0,0.96875,
1,0.96875,"(19, 28)"
2,0.96875,"(20, 18)"
3,0.96875,"(24, 5)"
4,0.96875,"(27, 22)"
5,0.96875,"(14, 6)"
6,0.96875,"(20, 2)"
7,0.90625,"(20, 11)"
8,0.90625,"(18, 7)"
9,0.84375,"(14, 28)"
10,0.75,"(13, 22)"
11,0.71875,"(29, 22)"
12,0.65625,"(19, 21)"
13,0.59375,"(25, 13)"
14,0.59375,"(23, 25)"
15,0.5625,"(21, 22)"
16,0.5625,"(20, 26)"
17,0.53125,"(19, 31)"
18,0.46875,"(19, 11)"
19,0.46875,"(11, 14)"
20,0.375,"(20, 8)"
21,0.375,"(13, 16)"
22,0.34375,"(13, 12)"
23,0.34375,"(28, 4)"
24,0.25,"(22, 8)"
25,0.25,"(9, 25)"
26,0.21875,"(16, 16)"
27,0.09375,"(17, 29)"
28,0.09375,"(14, 23)"
29,0.09375,"(14, 5)"
30,0.09375,"(24, 24)"
31,0.09375,"(24, 22)"
32,0.0625,"(16, 2)"
33,0.0625,"(13, 18)"
34,0.0625,"(10, 30)"
35,0.0625,"(10, 4)"
36,0.0625,"(28, 23)"
37,0.03125,"(24, 19)"
38,0.03125,"(24, 9)"
39,0.03125,"(23, 17)"
40,0.03125,"(17, 14)"
41,0.03125,"(16, 4)"
42,0.0,"(15, 29)"
43,0.0,"(12, 17)"
44,0.0,"(11, 31)"
45,0.03125,"(11, 22)"
46,0.03125,"(7, 1)"
47,0.03125,"(26, 26)"
48,0.03125,"(26, 7)"
49,0.03125,"(25, 31)"
50,0.03125,"(25, 29)"
51,0.03125,"(24, 15)"
52,0.03125,"(24, 14)"
53,0.03125,"(24, 7)"
54,0.03125,"(23, 27)"
55,0.03125,"(20, 23)"
56,0.03125,"(19, 20)"
57,0.03125,"(19, 9)"
58,0.0,"(16, 28)"
59,0.0,"(16, 18)"
60,0.0,"(15, 31)"
61,0.0,"(15, 17)"
62,0.0,"(15, 3)"
63,0.0,"(13, 14)"
64,0.0,"(11, 13)"
65,0.0,"(11, 2)"
66,0.0,"(10, 22)"
67,0.0,"(9, 8)"
68,0.0,"(9, 1)"
69,0.0,"(8, 24)"
70,0.0,"(8, 11)"
71,0.0,"(8, 4)"
