k_heads_ablated,accuracy,last_head_removed
0,0.9729729890823364,
0,0.9729729890823364,
0,0.9729729890823364,
0,0.9729729890823364,
0,0.9729729890823364,
1,0.9729729890823364,"(17, 4)"
1,0.9729729890823364,"(9, 29)"
1,0.9729729890823364,"(9, 19)"
1,0.9729729890823364,"(24, 4)"
1,0.9729729890823364,"(31, 21)"
2,0.9729729890823364,"(29, 15)"
2,0.9729729890823364,"(8, 9)"
2,0.9729729890823364,"(19, 20)"
2,0.9729729890823364,"(2, 27)"
2,0.9729729890823364,"(21, 28)"
3,0.9729729890823364,"(21, 16)"
3,0.9729729890823364,"(3, 7)"
3,0.9729729890823364,"(31, 20)"
3,0.9729729890823364,"(2, 17)"
3,0.9729729890823364,"(0, 10)"
4,0.9729729890823364,"(1, 16)"
4,0.9729729890823364,"(2, 31)"
4,0.9729729890823364,"(16, 18)"
4,0.9729729890823364,"(13, 23)"
4,0.9729729890823364,"(1, 6)"
5,0.9729729890823364,"(3, 25)"
5,0.9729729890823364,"(1, 5)"
5,0.9729729890823364,"(20, 10)"
5,0.9729729890823364,"(20, 22)"
5,0.9729729890823364,"(23, 21)"
6,0.9729729890823364,"(26, 1)"
6,0.9729729890823364,"(10, 16)"
6,0.9729729890823364,"(19, 2)"
6,0.9729729890823364,"(22, 15)"
6,0.9729729890823364,"(29, 17)"
7,0.9729729890823364,"(29, 6)"
7,0.9729729890823364,"(2, 29)"
7,0.9729729890823364,"(17, 24)"
7,0.9729729890823364,"(24, 15)"
7,0.9729729890823364,"(26, 18)"
8,0.9729729890823364,"(5, 1)"
8,0.9729729890823364,"(17, 31)"
8,0.9729729890823364,"(24, 30)"
8,0.9729729890823364,"(7, 6)"
8,0.9729729890823364,"(25, 12)"
9,0.9729729890823364,"(26, 13)"
9,0.9729729890823364,"(1, 2)"
9,0.9729729890823364,"(1, 6)"
9,0.9729729890823364,"(1, 24)"
9,0.9729729890823364,"(7, 3)"
10,0.9729729890823364,"(20, 10)"
10,0.9729729890823364,"(4, 8)"
10,0.9729729890823364,"(17, 5)"
10,0.9729729890823364,"(17, 31)"
10,0.9729729890823364,"(3, 5)"
11,0.9729729890823364,"(28, 12)"
11,0.9729729890823364,"(0, 30)"
11,0.9729729890823364,"(9, 6)"
11,0.9729729890823364,"(10, 18)"
11,0.9729729890823364,"(1, 28)"
12,0.9729729890823364,"(2, 24)"
12,0.9729729890823364,"(5, 14)"
12,0.9729729890823364,"(12, 25)"
12,0.9729729890823364,"(20, 31)"
12,0.9729729890823364,"(2, 15)"
13,0.9729729890823364,"(22, 15)"
13,0.9729729890823364,"(6, 31)"
13,0.9729729890823364,"(7, 7)"
13,0.9729729890823364,"(15, 1)"
13,0.9729729890823364,"(13, 6)"
14,0.9729729890823364,"(11, 27)"
14,0.9729729890823364,"(23, 29)"
14,0.9729729890823364,"(10, 7)"
14,0.9729729890823364,"(18, 11)"
14,0.9729729890823364,"(27, 28)"
15,0.9729729890823364,"(18, 25)"
15,0.9729729890823364,"(13, 29)"
15,0.9729729890823364,"(22, 15)"
15,0.9729729890823364,"(24, 13)"
15,0.9729729890823364,"(20, 15)"
16,0.9729729890823364,"(6, 28)"
16,0.9729729890823364,"(21, 30)"
16,0.9729729890823364,"(0, 2)"
16,0.9729729890823364,"(6, 20)"
16,0.9729729890823364,"(4, 1)"
17,0.9729729890823364,"(25, 18)"
17,0.9729729890823364,"(7, 26)"
17,0.9729729890823364,"(25, 22)"
17,0.9729729890823364,"(11, 25)"
17,0.9729729890823364,"(1, 14)"
18,0.9729729890823364,"(29, 29)"
18,0.9729729890823364,"(24, 14)"
18,0.9729729890823364,"(3, 9)"
18,0.9729729890823364,"(13, 3)"
18,0.9729729890823364,"(9, 26)"
19,0.9729729890823364,"(26, 3)"
19,0.9729729890823364,"(7, 4)"
19,0.9729729890823364,"(30, 29)"
19,0.9729729890823364,"(14, 27)"
19,0.9729729890823364,"(10, 11)"
20,0.9729729890823364,"(8, 13)"
20,0.9729729890823364,"(6, 11)"
20,0.9729729890823364,"(19, 7)"
20,0.9729729890823364,"(2, 30)"
20,0.9729729890823364,"(11, 25)"
21,0.9729729890823364,"(31, 18)"
21,0.9729729890823364,"(3, 10)"
21,0.9729729890823364,"(22, 18)"
21,0.9729729890823364,"(6, 26)"
21,0.9729729890823364,"(6, 13)"
22,0.9729729890823364,"(28, 31)"
22,0.9729729890823364,"(8, 20)"
22,0.9729729890823364,"(5, 29)"
22,0.9729729890823364,"(4, 11)"
22,0.9729729890823364,"(4, 0)"
23,0.9729729890823364,"(25, 27)"
23,0.9729729890823364,"(7, 1)"
23,0.9729729890823364,"(17, 21)"
23,0.9729729890823364,"(17, 21)"
23,0.9729729890823364,"(24, 11)"
24,0.9729729890823364,"(23, 27)"
24,0.9729729890823364,"(0, 9)"
24,0.9729729890823364,"(11, 28)"
24,0.9729729890823364,"(17, 28)"
24,0.9729729890823364,"(26, 29)"
25,0.9729729890823364,"(11, 25)"
25,0.9729729890823364,"(15, 27)"
25,0.9729729890823364,"(21, 28)"
25,0.9729729890823364,"(0, 15)"
25,0.9729729890823364,"(27, 30)"
26,0.9729729890823364,"(18, 11)"
26,0.9729729890823364,"(2, 27)"
26,0.9729729890823364,"(2, 11)"
26,0.9729729890823364,"(31, 29)"
26,0.9729729890823364,"(18, 30)"
27,0.9729729890823364,"(24, 10)"
27,0.9729729890823364,"(5, 5)"
27,0.9729729890823364,"(12, 19)"
27,0.9729729890823364,"(6, 30)"
27,0.9729729890823364,"(6, 30)"
28,0.9729729890823364,"(26, 19)"
28,0.9729729890823364,"(13, 21)"
28,0.9729729890823364,"(11, 16)"
28,0.9729729890823364,"(28, 10)"
28,0.9729729890823364,"(4, 2)"
29,0.9729729890823364,"(7, 26)"
29,0.9729729890823364,"(3, 4)"
29,0.9729729890823364,"(13, 7)"
29,0.9729729890823364,"(2, 21)"
29,0.9729729890823364,"(25, 28)"
30,0.9729729890823364,"(31, 11)"
30,0.9729729890823364,"(28, 23)"
30,0.9729729890823364,"(3, 16)"
30,0.9729729890823364,"(20, 30)"
30,0.9729729890823364,"(21, 30)"
31,0.9729729890823364,"(4, 27)"
31,0.9729729890823364,"(3, 22)"
31,0.9729729890823364,"(11, 7)"
31,0.9729729890823364,"(19, 22)"
31,0.9729729890823364,"(15, 9)"
32,0.9729729890823364,"(29, 18)"
32,0.9729729890823364,"(29, 17)"
32,0.9729729890823364,"(13, 23)"
32,0.9729729890823364,"(9, 6)"
32,0.9729729890823364,"(24, 2)"
33,0.9729729890823364,"(4, 18)"
33,0.9729729890823364,"(27, 23)"
33,0.9729729890823364,"(4, 26)"
33,0.9729729890823364,"(3, 28)"
33,0.9729729890823364,"(21, 26)"
34,0.9729729890823364,"(23, 7)"
34,0.9729729890823364,"(5, 29)"
34,0.9729729890823364,"(11, 12)"
34,0.9729729890823364,"(6, 31)"
34,0.9729729890823364,"(2, 0)"
35,0.9729729890823364,"(31, 19)"
35,0.9729729890823364,"(20, 30)"
35,0.9729729890823364,"(0, 19)"
35,0.9729729890823364,"(23, 6)"
35,0.9729729890823364,"(30, 31)"
36,0.9729729890823364,"(20, 12)"
36,0.9729729890823364,"(21, 9)"
36,0.9729729890823364,"(24, 20)"
36,0.9729729890823364,"(29, 6)"
36,0.9729729890823364,"(18, 31)"
37,0.9729729890823364,"(20, 15)"
37,0.9729729890823364,"(0, 18)"
37,0.9729729890823364,"(28, 14)"
37,0.9729729890823364,"(25, 10)"
37,0.9729729890823364,"(27, 23)"
38,0.9729729890823364,"(20, 28)"
