k_heads_ablated,accuracy,last_head_removed
0,0.782608687877655,
0,0.5227273106575012,
0,0.7346938848495483,
1,0.782608687877655,"(13, 17)"
1,0.5227273106575012,"(13, 17)"
1,0.7278911471366882,"(13, 17)"
2,0.760869562625885,"(22, 4)"
2,0.5227273106575012,"(22, 4)"
2,0.7346938848495483,"(22, 4)"
3,0.760869562625885,"(3, 18)"
3,0.5227273106575012,"(3, 18)"
3,0.7346938848495483,"(3, 18)"
4,0.760869562625885,"(12, 27)"
4,0.5227273106575012,"(12, 27)"
4,0.7414965629577637,"(12, 27)"
5,0.760869562625885,"(15, 26)"
5,0.5454545617103577,"(15, 26)"
5,0.7414965629577637,"(15, 26)"
6,0.760869562625885,"(18, 23)"
6,0.5454545617103577,"(18, 23)"
6,0.7482993006706238,"(18, 23)"
7,0.760869562625885,"(27, 0)"
7,0.5454545617103577,"(27, 0)"
7,0.7482993006706238,"(27, 0)"
8,0.760869562625885,"(28, 27)"
8,0.5454545617103577,"(28, 27)"
8,0.7482993006706238,"(28, 27)"
9,0.760869562625885,"(18, 26)"
9,0.5454545617103577,"(18, 26)"
9,0.7482993006706238,"(18, 26)"
10,0.782608687877655,"(17, 2)"
10,0.5454545617103577,"(17, 2)"
10,0.7482993006706238,"(17, 2)"
11,0.739130437374115,"(12, 8)"
11,0.5227273106575012,"(12, 8)"
11,0.7551020383834839,"(12, 8)"
12,0.760869562625885,"(18, 11)"
12,0.5227273106575012,"(18, 11)"
12,0.7551020383834839,"(18, 11)"
13,0.760869562625885,"(5, 7)"
13,0.5227273106575012,"(5, 7)"
13,0.7823129296302795,"(5, 7)"
14,0.760869562625885,"(6, 28)"
14,0.5454545617103577,"(6, 28)"
14,0.7755101919174194,"(6, 28)"
15,0.760869562625885,"(5, 29)"
15,0.5227273106575012,"(5, 29)"
15,0.7755101919174194,"(5, 29)"
16,0.760869562625885,"(19, 9)"
16,0.5227273106575012,"(19, 9)"
16,0.7755101919174194,"(19, 9)"
17,0.782608687877655,"(14, 10)"
17,0.5227273106575012,"(14, 10)"
17,0.7891156077384949,"(14, 10)"
18,0.782608687877655,"(3, 12)"
18,0.5227273106575012,"(3, 12)"
18,0.7823129296302795,"(3, 12)"
19,0.782608687877655,"(15, 5)"
19,0.5227273106575012,"(15, 5)"
19,0.7755101919174194,"(15, 5)"
20,0.782608687877655,"(27, 1)"
20,0.5227273106575012,"(27, 1)"
20,0.7755101919174194,"(27, 1)"
21,0.782608687877655,"(20, 4)"
21,0.5227273106575012,"(20, 4)"
21,0.7687074542045593,"(20, 4)"
22,0.782608687877655,"(16, 4)"
22,0.5227273106575012,"(16, 4)"
