k_heads_ablated,accuracy,last_head_removed
0,0.680672287940979,
0,0.680672287940979,
0,0.680672287940979,
0,0.680672287940979,
0,0.680672287940979,
1,0.6680672764778137,"(6, 22)"
1,0.6638655662536621,"(12, 5)"
1,0.6764706373214722,"(0, 24)"
1,0.6722689270973206,"(9, 13)"
1,0.680672287940979,"(20, 10)"
2,0.6848739981651306,"(11, 29)"
2,0.6638655662536621,"(24, 22)"
2,0.6722689270973206,"(15, 28)"
2,0.7058823704719543,"(9, 0)"
2,0.680672287940979,"(23, 0)"
3,0.6890756487846375,"(26, 7)"
3,0.6722689270973206,"(25, 17)"
3,0.6722689270973206,"(28, 5)"
3,0.7352941632270813,"(10, 4)"
3,0.6848739981651306,"(4, 0)"
4,0.6890756487846375,"(22, 24)"
4,0.6722689270973206,"(23, 9)"
4,0.6722689270973206,"(26, 1)"
4,0.7394958138465881,"(6, 23)"
4,0.6848739981651306,"(23, 21)"
5,0.680672287940979,"(18, 21)"
5,0.680672287940979,"(6, 13)"
5,0.6596639156341553,"(0, 15)"
5,0.7394958138465881,"(24, 10)"
5,0.6848739981651306,"(28, 6)"
6,0.6554622054100037,"(13, 1)"
6,0.6764706373214722,"(12, 25)"
6,0.6638655662536621,"(7, 17)"
6,0.6638655662536621,"(10, 26)"
6,0.6764706373214722,"(10, 14)"
7,0.6512605547904968,"(31, 17)"
7,0.6890756487846375,"(27, 15)"
7,0.7605042457580566,"(8, 9)"
7,0.5882353186607361,"(17, 28)"
7,0.6764706373214722,"(17, 16)"
8,0.6554622054100037,"(21, 13)"
8,0.680672287940979,"(23, 29)"
8,0.7605042457580566,"(25, 18)"
8,0.5966386795043945,"(3, 0)"
8,0.7647058963775635,"(10, 12)"
9,0.7058823704719543,"(9, 9)"
9,0.6848739981651306,"(17, 26)"
9,0.7647058963775635,"(9, 30)"
9,0.5504202246665955,"(8, 10)"
9,0.8067227602005005,"(31, 7)"
10,0.710084080696106,"(1, 14)"
10,0.6848739981651306,"(29, 28)"
10,0.7689076066017151,"(9, 31)"
10,0.5588235855102539,"(5, 14)"
10,0.8067227602005005,"(28, 28)"
11,0.710084080696106,"(25, 23)"
11,0.6848739981651306,"(15, 1)"
11,0.7689076066017151,"(13, 23)"
11,0.5630252361297607,"(3, 23)"
11,0.7605042457580566,"(12, 13)"
12,0.710084080696106,"(19, 19)"
12,0.6848739981651306,"(8, 17)"
12,0.7647058963775635,"(13, 7)"
12,0.5672269463539124,"(4, 22)"
12,0.785714328289032,"(10, 19)"
13,0.710084080696106,"(28, 17)"
13,0.6890756487846375,"(18, 13)"
13,0.7647058963775635,"(23, 21)"
13,0.45798322558403015,"(13, 2)"
13,0.785714328289032,"(26, 4)"
14,0.7058823704719543,"(11, 9)"
14,0.6890756487846375,"(22, 7)"
14,0.7731092572212219,"(27, 18)"
14,0.4705882668495178,"(6, 27)"
14,0.7941176891326904,"(7, 17)"
15,0.6890756487846375,"(17, 0)"
15,0.6848739981651306,"(14, 26)"
15,0.785714328289032,"(1, 7)"
15,0.4705882668495178,"(12, 1)"
15,0.7689076066017151,"(13, 1)"
16,0.6974790096282959,"(0, 9)"
16,0.6848739981651306,"(21, 11)"
16,0.7773109674453735,"(11, 8)"
16,0.4663865864276886,"(26, 14)"
16,0.756302535533905,"(15, 14)"
17,0.6596639156341553,"(11, 4)"
17,0.6890756487846375,"(22, 1)"
17,0.7689076066017151,"(5, 13)"
17,0.4663865864276886,"(29, 25)"
17,0.7521008849143982,"(30, 26)"
18,0.6554622054100037,"(10, 24)"
18,0.7983193397521973,"(16, 6)"
18,0.7689076066017151,"(11, 13)"
18,0.45798322558403015,"(7, 18)"
18,0.756302535533905,"(26, 9)"
19,0.6554622054100037,"(22, 6)"
19,0.7899159789085388,"(11, 0)"
19,0.7647058963775635,"(11, 29)"
19,0.4663865864276886,"(0, 9)"
19,0.7647058963775635,"(4, 24)"
20,0.6386554837226868,"(11, 21)"
20,0.7941176891326904,"(28, 10)"
20,0.7605042457580566,"(19, 8)"
20,0.4495798647403717,"(1, 4)"
20,0.7815126180648804,"(3, 3)"
21,0.6470588445663452,"(14, 13)"
21,0.7899159789085388,"(7, 6)"
21,0.7731092572212219,"(23, 29)"
21,0.5168067216873169,"(6, 29)"
21,0.7815126180648804,"(30, 16)"
22,0.6512605547904968,"(13, 0)"
22,0.8277311325073242,"(12, 11)"
22,0.7689076066017151,"(7, 5)"
22,0.5168067216873169,"(15, 2)"
22,0.7605042457580566,"(1, 21)"
23,0.6512605547904968,"(30, 0)"
23,0.8277311325073242,"(14, 7)"
23,0.7689076066017151,"(27, 9)"
23,0.5126050710678101,"(17, 20)"
23,0.7605042457580566,"(22, 3)"
24,0.6554622054100037,"(13, 4)"
24,0.8319328427314758,"(4, 23)"
24,0.7731092572212219,"(16, 0)"
24,0.5126050710678101,"(7, 14)"
24,0.7605042457580566,"(22, 8)"
25,0.6596639156341553,"(30, 8)"
25,0.8319328427314758,"(29, 3)"
25,0.7689076066017151,"(0, 16)"
25,0.5210084319114685,"(19, 31)"
25,0.7521008849143982,"(14, 2)"
26,0.6596639156341553,"(31, 23)"
26,0.8319328427314758,"(20, 27)"
26,0.7773109674453735,"(8, 8)"
26,0.5210084319114685,"(31, 16)"
26,0.7521008849143982,"(30, 10)"
27,0.6596639156341553,"(29, 30)"
27,0.8319328427314758,"(19, 27)"
27,0.7983193397521973,"(4, 0)"
27,0.5084033608436584,"(3, 13)"
27,0.756302535533905,"(7, 25)"
28,0.6596639156341553,"(29, 4)"
28,0.8361344933509827,"(7, 0)"
28,0.8361344933509827,"(13, 20)"
28,0.5084033608436584,"(25, 4)"
28,0.785714328289032,"(13, 20)"
29,0.6596639156341553,"(14, 26)"
29,0.8361344933509827,"(29, 2)"
29,0.8361344933509827,"(18, 2)"
29,0.5210084319114685,"(3, 10)"
29,0.7731092572212219,"(1, 1)"
30,0.6638655662536621,"(8, 27)"
30,0.8361344933509827,"(27, 11)"
30,0.8193277716636658,"(9, 14)"
30,0.5168067216873169,"(29, 8)"
30,0.7731092572212219,"(24, 22)"
31,0.6680672764778137,"(10, 13)"
31,0.8403362035751343,"(30, 30)"
31,0.8487395644187927,"(6, 20)"
31,0.5126050710678101,"(29, 21)"
31,0.7731092572212219,"(24, 3)"
32,0.6638655662536621,"(2, 30)"
32,0.8361344933509827,"(17, 14)"
32,0.8487395644187927,"(28, 24)"
32,0.5,"(9, 26)"
32,0.7731092572212219,"(16, 22)"
33,0.6638655662536621,"(5, 0)"
33,0.8403362035751343,"(18, 31)"
33,0.8487395644187927,"(24, 3)"
33,0.49579834938049316,"(3, 3)"
33,0.7731092572212219,"(26, 25)"
34,0.6638655662536621,"(27, 14)"
34,0.8445378541946411,"(24, 8)"
34,0.8487395644187927,"(23, 14)"
34,0.5084033608436584,"(3, 28)"
34,0.7689076066017151,"(15, 20)"
35,0.6344538331031799,"(19, 7)"
35,0.8445378541946411,"(3, 4)"
35,0.8151261210441589,"(15, 21)"
35,0.5084033608436584,"(14, 30)"
35,0.7605042457580566,"(0, 15)"
36,0.6344538331031799,"(25, 11)"
36,0.8235294818878174,"(2, 11)"
36,0.8151261210441589,"(31, 23)"
36,0.5084033608436584,"(31, 24)"
36,0.7605042457580566,"(15, 13)"
37,0.6344538331031799,"(28, 11)"
37,0.8151261210441589,"(0, 10)"
37,0.8151261210441589,"(23, 7)"
37,0.5462185144424438,"(14, 20)"
37,0.7605042457580566,"(0, 17)"
38,0.6302521228790283,"(10, 7)"
38,0.8151261210441589,"(1, 9)"
38,0.8151261210441589,"(23, 22)"
38,0.5546218752861023,"(0, 19)"
38,0.7605042457580566,"(8, 5)"
39,0.6428571939468384,"(25, 24)"
39,0.8025210499763489,"(17, 6)"
39,0.8151261210441589,"(30, 19)"
39,0.5588235855102539,"(1, 23)"
39,0.7647058963775635,"(2, 21)"
40,0.6302521228790283,"(15, 20)"
40,0.8235294818878174,"(3, 11)"
40,0.8235294818878174,"(9, 19)"
40,0.5588235855102539,"(12, 18)"
40,0.7605042457580566,"(16, 3)"
41,0.710084080696106,"(16, 6)"
41,0.8151261210441589,"(7, 15)"
41,0.8235294818878174,"(15, 27)"
41,0.5714285969734192,"(27, 26)"
41,0.7647058963775635,"(8, 31)"
42,0.710084080696106,"(16, 23)"
42,0.8151261210441589,"(28, 29)"
42,0.7941176891326904,"(6, 19)"
