k_heads_ablated,accuracy,last_head_removed
0,0.680672287940979,
1,0.680672287940979,"(13, 17)"
2,0.5756303071975708,"(22, 4)"
3,0.5798319578170776,"(3, 18)"
4,0.529411792755127,"(12, 27)"
5,0.5126050710678101,"(15, 26)"
6,0.5168067216873169,"(18, 23)"
7,0.4621849060058594,"(27, 0)"
8,0.45798322558403015,"(28, 27)"
9,0.42016810178756714,"(18, 26)"
10,0.40336138010025024,"(17, 2)"
11,0.4663865864276886,"(12, 8)"
12,0.45798322558403015,"(18, 11)"
13,0.4663865864276886,"(5, 7)"
14,0.4621849060058594,"(6, 28)"
15,0.39915966987609863,"(5, 29)"
16,0.39915966987609863,"(19, 9)"
17,0.40336138010025024,"(14, 10)"
18,0.40756306052207947,"(3, 12)"
19,0.40336138010025024,"(15, 5)"
20,0.40756306052207947,"(27, 1)"
21,0.3949579894542694,"(20, 4)"
22,0.3949579894542694,"(16, 4)"
23,0.40336138010025024,"(10, 22)"
24,0.39915966987609863,"(4, 28)"
25,0.36554622650146484,"(25, 8)"
26,0.36554622650146484,"(10, 11)"
27,0.36974790692329407,"(12, 2)"
28,0.3613445460796356,"(24, 11)"
29,0.3529411852359772,"(13, 31)"
30,0.3529411852359772,"(13, 22)"
31,0.3571428656578064,"(5, 22)"
32,0.3571428656578064,"(9, 28)"
33,0.31092438101768494,"(8, 15)"
34,0.36554622650146484,"(30, 17)"
35,0.36974790692329407,"(13, 30)"
36,0.36554622650146484,"(13, 3)"
37,0.3739495873451233,"(5, 6)"
38,0.38235294818878174,"(3, 26)"
39,0.38235294818878174,"(29, 27)"
40,0.3781512677669525,"(29, 20)"
41,0.3739495873451233,"(19, 6)"
42,0.3739495873451233,"(16, 8)"
43,0.3739495873451233,"(15, 23)"
44,0.38235294818878174,"(15, 9)"
45,0.42016810178756714,"(14, 25)"
46,0.40756306052207947,"(12, 12)"
47,0.39915966987609863,"(12, 0)"
48,0.3907563090324402,"(0, 27)"
49,0.3907563090324402,"(26, 2)"
50,0.38655462861061096,"(25, 20)"
51,0.38655462861061096,"(23, 19)"
52,0.49159666895866394,"(19, 14)"
53,0.49159666895866394,"(14, 11)"
54,0.49159666895866394,"(11, 10)"
55,0.4705882668495178,"(10, 18)"
56,0.47478994727134705,"(9, 21)"
57,0.47899162769317627,"(8, 2)"
58,0.4873949885368347,"(4, 25)"
59,0.49159666895866394,"(0, 1)"
60,0.47899162769317627,"(31, 8)"
61,0.47899162769317627,"(31, 6)"
62,0.47899162769317627,"(26, 22)"
63,0.47899162769317627,"(25, 16)"
64,0.4831933081150055,"(23, 26)"
65,0.4831933081150055,"(21, 3)"
66,0.4831933081150055,"(21, 0)"
67,0.4831933081150055,"(20, 20)"
68,0.4831933081150055,"(19, 3)"
69,0.4831933081150055,"(18, 20)"
70,0.4705882668495178,"(14, 3)"
71,0.4621849060058594,"(12, 15)"
72,0.47478994727134705,"(12, 9)"
73,0.4705882668495178,"(12, 4)"
74,0.4621849060058594,"(11, 26)"
75,0.44117650389671326,"(10, 25)"
76,0.43697482347488403,"(10, 2)"
77,0.44117650389671326,"(9, 20)"
78,0.44117650389671326,"(9, 7)"
79,0.4285714626312256,"(9, 2)"
80,0.42436978220939636,"(8, 25)"
81,0.42436978220939636,"(8, 18)"
82,0.4117647409439087,"(8, 13)"
83,0.40336138010025024,"(8, 1)"
84,0.42016810178756714,"(7, 8)"
85,0.42436978220939636,"(6, 17)"
86,0.4285714626312256,"(6, 15)"
87,0.3907563090324402,"(6, 9)"
88,0.38235294818878174,"(6, 5)"
89,0.38655462861061096,"(5, 16)"
90,0.38235294818878174,"(5, 2)"
91,0.38235294818878174,"(4, 19)"
92,0.38235294818878174,"(4, 18)"
93,0.36974790692329407,"(3, 29)"
94,0.3781512677669525,"(3, 22)"
95,0.3739495873451233,"(3, 8)"
96,0.3781512677669525,"(2, 16)"
97,0.36974790692329407,"(2, 5)"
98,0.36974790692329407,"(1, 26)"
99,0.38655462861061096,"(1, 3)"
100,0.3613445460796356,"(0, 22)"
101,0.3739495873451233,"(0, 21)"
102,0.36554622650146484,"(0, 14)"
