k_heads_ablated,accuracy,last_head_removed
0,0.9953703880310059,
0,0.9953703880310059,
0,0.9953703880310059,
0,0.9953703880310059,
0,0.9953703880310059,
1,0.9953703880310059,"(24, 19)"
1,0.9953703880310059,"(15, 5)"
1,0.9953703880310059,"(29, 6)"
1,0.9953703880310059,"(20, 19)"
1,0.9953703880310059,"(3, 24)"
2,0.9953703880310059,"(3, 2)"
2,0.9953703880310059,"(20, 7)"
2,0.9953703880310059,"(5, 9)"
2,0.9953703880310059,"(13, 10)"
2,0.9930555820465088,"(12, 11)"
3,0.9953703880310059,"(12, 24)"
3,0.9953703880310059,"(7, 0)"
3,0.9953703880310059,"(17, 15)"
3,0.9953703880310059,"(17, 10)"
3,0.9930555820465088,"(18, 31)"
4,0.9953703880310059,"(5, 17)"
4,0.9953703880310059,"(4, 25)"
4,0.9976851940155029,"(1, 31)"
4,0.9953703880310059,"(10, 21)"
4,0.9930555820465088,"(5, 22)"
5,0.9953703880310059,"(27, 14)"
5,0.9953703880310059,"(11, 5)"
5,0.9976851940155029,"(15, 11)"
5,0.9953703880310059,"(4, 1)"
5,0.9930555820465088,"(0, 12)"
6,0.9953703880310059,"(26, 9)"
6,0.9953703880310059,"(17, 27)"
6,0.9953703880310059,"(2, 4)"
6,0.9930555820465088,"(0, 22)"
6,0.9907407760620117,"(19, 20)"
7,0.9953703880310059,"(19, 4)"
7,0.9953703880310059,"(4, 0)"
7,0.9976851940155029,"(10, 26)"
7,0.9930555820465088,"(25, 20)"
7,0.9907407760620117,"(13, 13)"
8,0.9953703880310059,"(14, 7)"
8,0.9953703880310059,"(15, 25)"
8,0.9976851940155029,"(22, 20)"
8,0.9930555820465088,"(5, 7)"
8,0.9953703880310059,"(3, 7)"
9,0.9953703880310059,"(31, 14)"
9,0.9953703880310059,"(12, 18)"
9,0.9976851940155029,"(23, 26)"
9,0.9930555820465088,"(5, 21)"
9,0.9953703880310059,"(5, 20)"
10,0.9953703880310059,"(19, 10)"
10,0.9976851940155029,"(10, 20)"
10,0.9976851940155029,"(7, 0)"
10,0.9930555820465088,"(9, 31)"
10,0.9953703880310059,"(11, 1)"
11,0.9953703880310059,"(19, 17)"
11,1.0,"(3, 8)"
11,1.0,"(14, 3)"
11,0.9930555820465088,"(27, 20)"
11,0.9953703880310059,"(10, 18)"
12,0.9953703880310059,"(29, 6)"
12,0.9976851940155029,"(9, 17)"
12,1.0,"(7, 10)"
12,0.9930555820465088,"(24, 14)"
12,0.9953703880310059,"(30, 10)"
13,0.9953703880310059,"(28, 14)"
13,0.9976851940155029,"(17, 13)"
13,1.0,"(22, 19)"
13,0.9930555820465088,"(16, 0)"
13,0.9953703880310059,"(11, 24)"
14,0.9953703880310059,"(9, 18)"
14,0.9976851940155029,"(30, 26)"
14,1.0,"(17, 24)"
14,0.9930555820465088,"(9, 5)"
14,0.9953703880310059,"(31, 1)"
15,0.9953703880310059,"(20, 16)"
15,0.9976851940155029,"(18, 25)"
15,1.0,"(2, 8)"
15,0.9930555820465088,"(24, 11)"
15,0.9930555820465088,"(28, 19)"
16,0.9953703880310059,"(2, 8)"
16,0.9976851940155029,"(15, 31)"
16,1.0,"(18, 18)"
16,0.9930555820465088,"(30, 24)"
16,0.9930555820465088,"(20, 15)"
17,1.0,"(16, 5)"
17,0.9976851940155029,"(8, 6)"
17,1.0,"(28, 24)"
17,0.9930555820465088,"(19, 28)"
17,0.9953703880310059,"(1, 3)"
18,1.0,"(2, 17)"
18,0.9976851940155029,"(5, 13)"
18,1.0,"(5, 15)"
18,0.9930555820465088,"(11, 13)"
18,0.9953703880310059,"(2, 14)"
19,1.0,"(5, 10)"
19,0.9976851940155029,"(24, 2)"
19,0.9976851940155029,"(11, 3)"
19,0.9930555820465088,"(30, 15)"
19,0.9953703880310059,"(31, 6)"
20,1.0,"(2, 28)"
20,0.9976851940155029,"(0, 30)"
20,0.9976851940155029,"(11, 9)"
20,0.9930555820465088,"(2, 0)"
20,0.9953703880310059,"(21, 30)"
21,0.9976851940155029,"(11, 25)"
21,0.9976851940155029,"(1, 28)"
21,0.9976851940155029,"(6, 6)"
21,0.9930555820465088,"(5, 4)"
21,0.9953703880310059,"(16, 9)"
22,0.9976851940155029,"(5, 31)"
22,0.9976851940155029,"(10, 27)"
22,1.0,"(16, 5)"
22,0.9930555820465088,"(25, 16)"
22,0.9953703880310059,"(7, 6)"
23,0.9976851940155029,"(7, 19)"
23,0.9976851940155029,"(16, 8)"
23,1.0,"(23, 31)"
23,0.9861111044883728,"(14, 24)"
23,0.9953703880310059,"(23, 23)"
24,0.9976851940155029,"(24, 12)"
24,0.9976851940155029,"(1, 3)"
24,0.9976851940155029,"(6, 9)"
24,0.9861111044883728,"(8, 3)"
24,0.9953703880310059,"(5, 27)"
25,0.9976851940155029,"(13, 14)"
25,0.9976851940155029,"(0, 2)"
25,0.9976851940155029,"(1, 25)"
25,0.9884259104728699,"(3, 30)"
25,0.9953703880310059,"(17, 17)"
26,0.9976851940155029,"(31, 23)"
26,0.9976851940155029,"(12, 26)"
