k_heads_ablated,accuracy,last_head_removed
0,0.9953703880310059,
1,0.9953703880310059,"(19, 1)"
2,0.9953703880310059,"(9, 30)"
3,0.9953703880310059,"(15, 17)"
4,0.9953703880310059,"(8, 18)"
5,0.9953703880310059,"(23, 20)"
6,0.9953703880310059,"(12, 13)"
7,0.9953703880310059,"(9, 25)"
8,0.9884259104728699,"(10, 4)"
9,0.9884259104728699,"(17, 26)"
10,0.9884259104728699,"(16, 1)"
11,0.9861111044883728,"(14, 23)"
12,0.9745370149612427,"(15, 22)"
13,0.9745370149612427,"(8, 4)"
14,0.9745370149612427,"(10, 30)"
15,0.9745370149612427,"(28, 31)"
16,0.9745370149612427,"(22, 5)"
17,0.9745370149612427,"(8, 24)"
18,0.9745370149612427,"(7, 1)"
19,0.9722222089767456,"(8, 11)"
20,0.9722222089767456,"(10, 28)"
21,0.9722222089767456,"(29, 5)"
22,0.9675925970077515,"(17, 12)"
23,0.9652777910232544,"(20, 13)"
24,0.9652777910232544,"(27, 19)"
25,0.9652777910232544,"(24, 31)"
26,0.9652777910232544,"(11, 14)"
27,0.9629629850387573,"(20, 23)"
28,0.9629629850387573,"(10, 29)"
29,0.9513888955116272,"(8, 12)"
30,0.9513888955116272,"(10, 11)"
31,0.9537037014961243,"(21, 26)"
32,0.9490740895271301,"(17, 14)"
33,0.9490740895271301,"(29, 23)"
34,0.944444477558136,"(8, 15)"
35,0.9467592835426331,"(20, 12)"
36,0.944444477558136,"(11, 22)"
37,0.9467592835426331,"(17, 8)"
38,0.9467592835426331,"(14, 31)"
39,0.944444477558136,"(28, 13)"
40,0.9421296119689941,"(21, 11)"
41,0.9398148059844971,"(24, 1)"
42,0.9375,"(10, 13)"
43,0.9351851940155029,"(28, 21)"
44,0.9375,"(15, 19)"
45,0.9328703880310059,"(12, 29)"
46,0.9305555820465088,"(12, 6)"
47,0.9305555820465088,"(14, 14)"
48,0.9305555820465088,"(27, 4)"
49,0.9282407760620117,"(22, 22)"
50,0.9305555820465088,"(20, 24)"
51,0.9027777910232544,"(17, 3)"
52,0.9097222089767456,"(16, 22)"
53,0.9097222089767456,"(15, 20)"
54,0.9027777910232544,"(12, 23)"
55,0.9027777910232544,"(12, 22)"
56,0.8912037014961243,"(9, 1)"
57,0.8680555820465088,"(26, 24)"
58,0.8634259104728699,"(25, 26)"
59,0.8518518805503845,"(22, 30)"
60,0.8495370149612427,"(21, 5)"
61,0.8518518805503845,"(21, 20)"
62,0.8495370149612427,"(19, 22)"
63,0.8472222089767456,"(17, 22)"
64,0.8472222089767456,"(25, 1)"
65,0.8402777910232544,"(24, 22)"
66,0.8240740895271301,"(22, 12)"
67,0.8217592835426331,"(21, 7)"
68,0.694444477558136,"(13, 24)"
69,0.6782407164573669,"(22, 15)"
70,0.6666666865348816,"(22, 1)"
71,0.6458333134651184,"(20, 31)"
72,0.6504629850387573,"(20, 29)"
73,0.6388888955116272,"(19, 26)"
74,0.6388888955116272,"(19, 11)"
75,0.6203703880310059,"(18, 4)"
76,0.6064814925193787,"(23, 10)"
77,0.6111111044883728,"(11, 20)"
78,0.6064814925193787,"(28, 23)"
79,0.569444477558136,"(26, 11)"
80,0.5625,"(23, 21)"
81,0.5509259104728699,"(22, 2)"
82,0.5462962985038757,"(21, 4)"
83,0.5439814925193787,"(14, 19)"
84,0.5370370149612427,"(28, 18)"
85,0.5300925970077515,"(16, 18)"
86,0.5324074029922485,"(15, 1)"
87,0.5277777910232544,"(13, 23)"
88,0.5254629850387573,"(9, 7)"
89,0.5231481790542603,"(28, 4)"
90,0.5208333134651184,"(25, 19)"
91,0.5162037014961243,"(25, 18)"
92,0.49768519401550293,"(24, 3)"
93,0.47685185074806213,"(23, 27)"
94,0.4513888955116272,"(22, 28)"
95,0.43518519401550293,"(19, 29)"
96,0.4236111044883728,"(19, 7)"
97,0.38425925374031067,"(17, 4)"
98,0.37731480598449707,"(13, 29)"
99,0.375,"(13, 18)"
100,0.375,"(28, 28)"
101,0.37037038803100586,"(27, 22)"
102,0.36342594027519226,"(25, 30)"
103,0.3541666567325592,"(25, 11)"
104,0.34490740299224854,"(22, 11)"
