k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,1.0,
0,1.0,
0,1.0,
0,1.0,
1,1.0,"(11, 16)"
1,1.0,"(2, 1)"
1,1.0,"(10, 29)"
1,1.0,"(14, 10)"
1,1.0,"(13, 30)"
2,1.0,"(7, 20)"
2,1.0,"(10, 19)"
2,1.0,"(12, 2)"
2,1.0,"(2, 4)"
2,1.0,"(28, 25)"
3,1.0,"(12, 31)"
3,1.0,"(7, 25)"
3,1.0,"(7, 18)"
3,1.0,"(10, 14)"
3,1.0,"(26, 16)"
4,1.0,"(21, 2)"
4,1.0,"(3, 8)"
4,1.0,"(15, 26)"
4,1.0,"(27, 24)"
4,1.0,"(12, 26)"
5,1.0,"(14, 14)"
5,1.0,"(14, 13)"
5,1.0,"(4, 0)"
5,1.0,"(14, 27)"
5,1.0,"(18, 30)"
6,1.0,"(27, 1)"
6,1.0,"(6, 15)"
6,1.0,"(23, 26)"
6,1.0,"(27, 25)"
6,1.0,"(29, 11)"
7,1.0,"(10, 16)"
7,1.0,"(29, 11)"
7,1.0,"(29, 9)"
7,1.0,"(15, 20)"
7,1.0,"(12, 30)"
8,1.0,"(0, 1)"
8,1.0,"(7, 14)"
8,1.0,"(30, 29)"
8,1.0,"(29, 17)"
8,1.0,"(12, 23)"
9,1.0,"(7, 21)"
9,1.0,"(14, 5)"
9,1.0,"(3, 2)"
9,1.0,"(17, 0)"
9,1.0,"(2, 25)"
10,1.0,"(6, 3)"
10,1.0,"(2, 8)"
10,1.0,"(12, 4)"
10,1.0,"(1, 13)"
10,1.0,"(29, 9)"
11,1.0,"(7, 11)"
11,1.0,"(15, 30)"
11,1.0,"(31, 23)"
11,1.0,"(2, 26)"
11,1.0,"(13, 16)"
12,1.0,"(19, 8)"
12,1.0,"(10, 31)"
12,1.0,"(30, 16)"
12,1.0,"(19, 3)"
12,1.0,"(29, 12)"
13,1.0,"(4, 28)"
13,1.0,"(1, 10)"
13,1.0,"(31, 18)"
13,1.0,"(12, 6)"
13,1.0,"(5, 10)"
14,1.0,"(4, 6)"
14,1.0,"(15, 25)"
14,1.0,"(30, 5)"
14,1.0,"(29, 5)"
14,1.0,"(1, 4)"
15,1.0,"(14, 15)"
15,1.0,"(26, 11)"
15,1.0,"(13, 31)"
15,1.0,"(22, 14)"
15,1.0,"(18, 16)"
16,1.0,"(7, 24)"
16,1.0,"(5, 24)"
16,1.0,"(8, 26)"
16,1.0,"(8, 9)"
16,1.0,"(3, 27)"
17,1.0,"(3, 6)"
17,1.0,"(31, 22)"
17,1.0,"(10, 15)"
17,1.0,"(15, 25)"
17,1.0,"(17, 24)"
18,1.0,"(22, 31)"
18,1.0,"(1, 26)"
18,1.0,"(2, 1)"
18,1.0,"(30, 10)"
18,1.0,"(17, 31)"
19,1.0,"(28, 22)"
19,1.0,"(27, 24)"
19,1.0,"(20, 0)"
19,1.0,"(6, 16)"
19,1.0,"(6, 1)"
20,1.0,"(12, 1)"
20,1.0,"(22, 28)"
