k_heads_ablated,accuracy,last_head_removed
0,1.0,
1,1.0,"(20, 26)"
2,1.0,"(14, 23)"
3,1.0,"(26, 0)"
4,1.0,"(10, 4)"
5,1.0,"(15, 17)"
6,1.0,"(9, 25)"
7,1.0,"(8, 24)"
8,1.0,"(8, 18)"
9,0.991150438785553,"(20, 2)"
10,0.991150438785553,"(10, 30)"
11,0.991150438785553,"(18, 5)"
12,0.991150438785553,"(21, 30)"
13,0.991150438785553,"(23, 25)"
14,0.991150438785553,"(11, 14)"
15,0.991150438785553,"(19, 31)"
16,0.982300877571106,"(17, 14)"
17,0.9734513163566589,"(25, 29)"
18,0.9734513163566589,"(7, 1)"
19,0.9734513163566589,"(28, 4)"
20,0.9557521939277649,"(21, 11)"
21,0.9557521939277649,"(11, 22)"
22,0.9557521939277649,"(24, 9)"
23,0.9557521939277649,"(23, 3)"
24,0.9557521939277649,"(19, 20)"
25,0.9557521939277649,"(26, 28)"
26,0.9557521939277649,"(9, 1)"
27,0.9557521939277649,"(8, 11)"
28,0.9469026327133179,"(8, 4)"
29,0.9469026327133179,"(21, 25)"
30,0.9203540086746216,"(25, 13)"
31,0.8849557638168335,"(22, 22)"
32,0.8761062026023865,"(22, 2)"
33,0.8584070801734924,"(19, 21)"
34,0.8584070801734924,"(27, 22)"
35,0.8053097128868103,"(24, 14)"
36,0.8053097128868103,"(17, 15)"
37,0.7876105904579163,"(16, 2)"
38,0.752212405204773,"(26, 23)"
39,0.7433628439903259,"(25, 17)"
40,0.7433628439903259,"(9, 30)"
41,0.7345132827758789,"(28, 23)"
42,0.7168141603469849,"(27, 29)"
43,0.6548672318458557,"(24, 5)"
44,0.6637167930603027,"(22, 8)"
45,0.6194690465927124,"(17, 22)"
46,0.6194690465927124,"(25, 30)"
47,0.6194690465927124,"(24, 23)"
48,0.6106194853782654,"(24, 22)"
49,0.5929203629493713,"(21, 17)"
50,0.5752212405204773,"(20, 27)"
51,0.5575221180915833,"(20, 23)"
52,0.5486725568771362,"(13, 12)"
53,0.4955752193927765,"(12, 13)"
54,0.4955752193927765,"(25, 14)"
55,0.47787609696388245,"(24, 24)"
56,0.4690265357494354,"(20, 25)"
57,0.44247788190841675,"(20, 8)"
58,0.4159291982650757,"(26, 26)"
59,0.3893805146217346,"(26, 1)"
