k_heads_ablated,accuracy,last_head_removed
0,0.680672287940979,
1,0.6722689270973206,"(14, 2)"
2,0.6764706373214722,"(19, 11)"
3,0.6764706373214722,"(25, 30)"
4,0.6764706373214722,"(21, 7)"
5,0.6848739981651306,"(23, 20)"
6,0.6848739981651306,"(28, 31)"
7,0.6890756487846375,"(26, 11)"
8,0.6848739981651306,"(20, 12)"
9,0.6848739981651306,"(23, 7)"
10,0.680672287940979,"(18, 9)"
11,0.680672287940979,"(27, 19)"
12,0.680672287940979,"(22, 1)"
13,0.7016807198524475,"(13, 19)"
14,0.7016807198524475,"(26, 1)"
15,0.7016807198524475,"(23, 5)"
16,0.710084080696106,"(22, 2)"
17,0.710084080696106,"(18, 4)"
18,0.7478991746902466,"(12, 23)"
19,0.7352941632270813,"(10, 11)"
20,0.7352941632270813,"(27, 22)"
21,0.7184874415397644,"(19, 15)"
22,0.7184874415397644,"(19, 1)"
23,0.7184874415397644,"(16, 28)"
24,0.5,"(15, 17)"
25,0.5,"(28, 23)"
26,0.5,"(25, 13)"
27,0.5,"(23, 10)"
28,0.5,"(22, 22)"
29,0.5462185144424438,"(21, 26)"
30,0.529411792755127,"(20, 13)"
31,0.529411792755127,"(19, 29)"
32,0.5336134433746338,"(17, 5)"
33,0.5504202246665955,"(13, 24)"
34,0.5168067216873169,"(12, 27)"
35,0.5168067216873169,"(12, 6)"
36,0.5210084319114685,"(11, 22)"
37,0.542016863822937,"(10, 30)"
38,0.5462185144424438,"(28, 4)"
39,0.5462185144424438,"(27, 6)"
40,0.5462185144424438,"(25, 31)"
41,0.529411792755127,"(24, 11)"
42,0.5210084319114685,"(21, 20)"
43,0.5252100825309753,"(21, 10)"
44,0.5252100825309753,"(20, 9)"
45,0.5210084319114685,"(19, 24)"
46,0.5210084319114685,"(18, 5)"
47,0.529411792755127,"(17, 26)"
48,0.542016863822937,"(17, 12)"
49,0.542016863822937,"(17, 6)"
50,0.5336134433746338,"(16, 13)"
51,0.5546218752861023,"(15, 6)"
52,0.5672269463539124,"(14, 23)"
53,0.5672269463539124,"(14, 15)"
54,0.5462185144424438,"(13, 28)"
55,0.5378151535987854,"(13, 22)"
56,0.5672269463539124,"(13, 18)"
57,0.5714285969734192,"(13, 14)"
58,0.6092437505722046,"(12, 22)"
59,0.5336134433746338,"(12, 13)"
60,0.542016863822937,"(10, 17)"
61,0.5714285969734192,"(10, 4)"
62,0.5588235855102539,"(9, 25)"
63,0.5504202246665955,"(8, 24)"
64,0.5546218752861023,"(8, 18)"
65,0.5336134433746338,"(8, 11)"
66,0.542016863822937,"(8, 4)"
67,0.5378151535987854,"(7, 1)"
