k_heads_ablated,accuracy,last_head_removed
0,0.782608687877655,
0,0.782608687877655,
0,0.782608687877655,
0,0.782608687877655,
0,0.782608687877655,
1,0.760869562625885,"(20, 20)"
1,0.782608687877655,"(20, 0)"
1,0.760869562625885,"(2, 31)"
1,0.760869562625885,"(1, 15)"
1,0.782608687877655,"(2, 5)"
2,0.760869562625885,"(26, 6)"
2,0.782608687877655,"(3, 20)"
2,0.760869562625885,"(31, 8)"
2,0.760869562625885,"(4, 13)"
2,0.760869562625885,"(11, 3)"
3,0.760869562625885,"(26, 0)"
3,0.782608687877655,"(30, 31)"
3,0.760869562625885,"(0, 26)"
3,0.760869562625885,"(9, 2)"
3,0.760869562625885,"(28, 12)"
4,0.760869562625885,"(31, 16)"
4,0.782608687877655,"(7, 28)"
4,0.760869562625885,"(31, 0)"
4,0.760869562625885,"(12, 0)"
4,0.739130437374115,"(12, 7)"
5,0.760869562625885,"(17, 18)"
5,0.760869562625885,"(3, 17)"
5,0.760869562625885,"(20, 22)"
5,0.760869562625885,"(20, 8)"
5,0.739130437374115,"(12, 16)"
6,0.760869562625885,"(21, 23)"
6,0.782608687877655,"(30, 17)"
6,0.760869562625885,"(16, 15)"
6,0.760869562625885,"(28, 8)"
6,0.739130437374115,"(29, 12)"
7,0.760869562625885,"(17, 10)"
7,0.782608687877655,"(24, 16)"
7,0.760869562625885,"(17, 23)"
7,0.760869562625885,"(17, 17)"
7,0.739130437374115,"(6, 30)"
8,0.760869562625885,"(29, 2)"
8,0.782608687877655,"(9, 19)"
8,0.760869562625885,"(2, 11)"
8,0.760869562625885,"(24, 6)"
8,0.739130437374115,"(20, 6)"
9,0.760869562625885,"(2, 3)"
9,0.782608687877655,"(23, 14)"
9,0.760869562625885,"(16, 20)"
9,0.760869562625885,"(5, 12)"
9,0.739130437374115,"(21, 5)"
10,0.760869562625885,"(31, 24)"
10,0.782608687877655,"(16, 14)"
10,0.760869562625885,"(27, 8)"
10,0.760869562625885,"(3, 31)"
10,0.760869562625885,"(8, 26)"
11,0.760869562625885,"(19, 13)"
11,0.760869562625885,"(15, 29)"
11,0.717391312122345,"(31, 7)"
11,0.760869562625885,"(25, 28)"
11,0.739130437374115,"(4, 7)"
12,0.760869562625885,"(16, 18)"
12,0.760869562625885,"(29, 3)"
12,0.717391312122345,"(12, 0)"
12,0.760869562625885,"(19, 22)"
12,0.739130437374115,"(31, 0)"
13,0.760869562625885,"(30, 3)"
13,0.782608687877655,"(9, 18)"
13,0.717391312122345,"(15, 13)"
13,0.760869562625885,"(6, 31)"
13,0.782608687877655,"(11, 17)"
14,0.760869562625885,"(13, 20)"
14,0.782608687877655,"(14, 26)"
14,0.717391312122345,"(5, 27)"
14,0.739130437374115,"(0, 8)"
14,0.782608687877655,"(14, 4)"
15,0.760869562625885,"(16, 26)"
15,0.760869562625885,"(3, 7)"
15,0.739130437374115,"(6, 3)"
15,0.739130437374115,"(10, 13)"
15,0.782608687877655,"(30, 4)"
16,0.760869562625885,"(26, 20)"
16,0.782608687877655,"(11, 16)"
16,0.739130437374115,"(28, 26)"
16,0.739130437374115,"(7, 23)"
16,0.782608687877655,"(29, 23)"
17,0.782608687877655,"(27, 27)"
17,0.760869562625885,"(3, 10)"
17,0.739130437374115,"(24, 19)"
17,0.739130437374115,"(16, 30)"
17,0.782608687877655,"(27, 15)"
18,0.782608687877655,"(15, 28)"
18,0.760869562625885,"(6, 22)"
18,0.739130437374115,"(9, 10)"
18,0.739130437374115,"(16, 10)"
18,0.782608687877655,"(18, 1)"
19,0.782608687877655,"(14, 11)"
19,0.760869562625885,"(24, 31)"
19,0.739130437374115,"(0, 9)"
19,0.739130437374115,"(25, 2)"
19,0.760869562625885,"(10, 8)"
20,0.782608687877655,"(11, 11)"
20,0.739130437374115,"(1, 24)"
20,0.739130437374115,"(29, 2)"
20,0.739130437374115,"(2, 1)"
20,0.739130437374115,"(9, 12)"
21,0.782608687877655,"(29, 19)"
21,0.739130437374115,"(6, 19)"
21,0.739130437374115,"(0, 29)"
21,0.739130437374115,"(15, 31)"
21,0.782608687877655,"(11, 29)"
22,0.760869562625885,"(0, 4)"
22,0.739130437374115,"(18, 13)"
22,0.739130437374115,"(17, 9)"
22,0.739130437374115,"(9, 15)"
22,0.782608687877655,"(29, 5)"
23,0.760869562625885,"(29, 22)"
23,0.739130437374115,"(15, 2)"
23,0.739130437374115,"(26, 22)"
23,0.739130437374115,"(28, 29)"
23,0.782608687877655,"(9, 30)"
24,0.782608687877655,"(9, 9)"
24,0.739130437374115,"(5, 19)"
24,0.739130437374115,"(11, 14)"
24,0.739130437374115,"(10, 24)"
24,0.782608687877655,"(1, 31)"
25,0.782608687877655,"(25, 6)"
25,0.739130437374115,"(7, 18)"
25,0.739130437374115,"(13, 31)"
25,0.739130437374115,"(0, 17)"
25,0.782608687877655,"(17, 17)"
26,0.782608687877655,"(12, 11)"
26,0.739130437374115,"(26, 26)"
26,0.739130437374115,"(24, 0)"
26,0.739130437374115,"(15, 26)"
26,0.782608687877655,"(10, 10)"
27,0.782608687877655,"(27, 2)"
27,0.739130437374115,"(7, 12)"
27,0.739130437374115,"(23, 25)"
27,0.739130437374115,"(17, 24)"
27,0.782608687877655,"(27, 20)"
28,0.782608687877655,"(4, 12)"
28,0.739130437374115,"(25, 18)"
28,0.739130437374115,"(31, 11)"
28,0.739130437374115,"(25, 16)"
28,0.782608687877655,"(14, 21)"
29,0.782608687877655,"(15, 4)"
29,0.739130437374115,"(28, 28)"
29,0.739130437374115,"(19, 10)"
29,0.739130437374115,"(6, 13)"
29,0.782608687877655,"(1, 20)"
30,0.782608687877655,"(21, 2)"
30,0.739130437374115,"(11, 23)"
30,0.717391312122345,"(2, 22)"
30,0.739130437374115,"(0, 20)"
30,0.782608687877655,"(6, 2)"
31,0.782608687877655,"(3, 2)"
31,0.739130437374115,"(28, 1)"
31,0.717391312122345,"(28, 12)"
31,0.739130437374115,"(5, 2)"
31,0.782608687877655,"(22, 31)"
32,0.782608687877655,"(6, 29)"
32,0.739130437374115,"(1, 2)"
32,0.717391312122345,"(26, 23)"
32,0.739130437374115,"(11, 28)"
32,0.782608687877655,"(6, 20)"
33,0.782608687877655,"(4, 2)"
33,0.739130437374115,"(13, 31)"
33,0.717391312122345,"(5, 22)"
33,0.739130437374115,"(17, 13)"
33,0.760869562625885,"(18, 15)"
34,0.782608687877655,"(18, 22)"
34,0.739130437374115,"(2, 12)"
34,0.760869562625885,"(16, 12)"
34,0.739130437374115,"(3, 22)"
34,0.760869562625885,"(26, 19)"
35,0.782608687877655,"(10, 19)"
35,0.739130437374115,"(2, 31)"
35,0.760869562625885,"(10, 28)"
35,0.739130437374115,"(19, 26)"
35,0.760869562625885,"(15, 13)"
36,0.782608687877655,"(16, 2)"
36,0.695652186870575,"(16, 5)"
36,0.760869562625885,"(10, 26)"
36,0.739130437374115,"(16, 16)"
36,0.760869562625885,"(11, 10)"
37,0.782608687877655,"(20, 3)"
37,0.695652186870575,"(26, 7)"
37,0.760869562625885,"(21, 24)"
37,0.739130437374115,"(17, 15)"
37,0.760869562625885,"(8, 27)"
38,0.782608687877655,"(1, 23)"
38,0.695652186870575,"(27, 0)"
38,0.760869562625885,"(14, 0)"
38,0.739130437374115,"(24, 17)"
38,0.760869562625885,"(9, 28)"
39,0.760869562625885,"(15, 5)"
39,0.695652186870575,"(0, 19)"
39,0.760869562625885,"(17, 21)"
39,0.739130437374115,"(13, 20)"
39,0.760869562625885,"(12, 30)"
40,0.760869562625885,"(22, 10)"
40,0.695652186870575,"(4, 23)"
40,0.760869562625885,"(25, 0)"
40,0.739130437374115,"(11, 16)"
40,0.760869562625885,"(7, 4)"
41,0.782608687877655,"(6, 16)"
41,0.695652186870575,"(8, 7)"
41,0.760869562625885,"(23, 11)"
41,0.739130437374115,"(1, 23)"
41,0.760869562625885,"(1, 28)"
42,0.782608687877655,"(23, 12)"
42,0.695652186870575,"(0, 28)"
42,0.739130437374115,"(21, 18)"
42,0.739130437374115,"(8, 29)"
42,0.760869562625885,"(13, 5)"
43,0.782608687877655,"(4, 8)"
43,0.695652186870575,"(31, 9)"
43,0.760869562625885,"(8, 17)"
43,0.739130437374115,"(26, 21)"
43,0.760869562625885,"(21, 30)"
44,0.782608687877655,"(18, 6)"
44,0.695652186870575,"(10, 24)"
44,0.760869562625885,"(9, 9)"
44,0.717391312122345,"(27, 30)"
44,0.760869562625885,"(29, 14)"
45,0.782608687877655,"(30, 30)"
45,0.695652186870575,"(8, 23)"
45,0.760869562625885,"(28, 18)"
45,0.717391312122345,"(31, 18)"
45,0.760869562625885,"(21, 24)"
46,0.782608687877655,"(16, 14)"
46,0.695652186870575,"(18, 27)"
46,0.760869562625885,"(23, 27)"
46,0.717391312122345,"(28, 19)"
46,0.760869562625885,"(24, 9)"
47,0.782608687877655,"(15, 8)"
47,0.717391312122345,"(27, 20)"
47,0.760869562625885,"(24, 9)"
47,0.717391312122345,"(29, 17)"
47,0.760869562625885,"(2, 26)"
48,0.782608687877655,"(31, 29)"
48,0.717391312122345,"(29, 23)"
48,0.760869562625885,"(9, 24)"
48,0.717391312122345,"(18, 24)"
48,0.760869562625885,"(27, 23)"
49,0.782608687877655,"(29, 5)"
49,0.739130437374115,"(1, 5)"
49,0.760869562625885,"(27, 16)"
49,0.717391312122345,"(1, 5)"
49,0.760869562625885,"(21, 29)"
50,0.782608687877655,"(17, 17)"
50,0.739130437374115,"(3, 6)"
50,0.760869562625885,"(27, 15)"
50,0.717391312122345,"(8, 0)"
50,0.760869562625885,"(28, 28)"
