k_heads_ablated,accuracy,last_head_removed
0,0.782608687877655,
1,0.739130437374115,"(14, 2)"
2,0.717391312122345,"(19, 11)"
3,0.695652186870575,"(25, 30)"
4,0.695652186870575,"(21, 7)"
5,0.695652186870575,"(23, 20)"
6,0.695652186870575,"(28, 31)"
7,0.717391312122345,"(26, 11)"
8,0.6521739363670349,"(20, 12)"
9,0.6304348111152649,"(23, 7)"
10,0.6086956858634949,"(18, 9)"
11,0.6086956858634949,"(27, 19)"
12,0.6086956858634949,"(22, 1)"
13,0.5869565606117249,"(13, 19)"
14,0.5869565606117249,"(26, 1)"
15,0.5869565606117249,"(23, 5)"
16,0.5869565606117249,"(22, 2)"
17,0.5869565606117249,"(18, 4)"
18,0.5869565606117249,"(12, 23)"
19,0.5869565606117249,"(10, 11)"
20,0.5869565606117249,"(27, 22)"
21,0.5869565606117249,"(19, 15)"
22,0.5869565606117249,"(19, 1)"
23,0.5869565606117249,"(16, 28)"
24,0.5869565606117249,"(15, 17)"
25,0.5869565606117249,"(28, 23)"
26,0.5869565606117249,"(25, 13)"
27,0.5869565606117249,"(23, 10)"
28,0.5869565606117249,"(22, 22)"
29,0.5869565606117249,"(21, 26)"
30,0.5652173757553101,"(20, 13)"
31,0.54347825050354,"(19, 29)"
32,0.54347825050354,"(17, 5)"
33,0.52173912525177,"(13, 24)"
34,0.5,"(12, 27)"
35,0.5,"(12, 6)"
36,0.5,"(11, 22)"
37,0.5,"(10, 30)"
38,0.5,"(28, 4)"
39,0.5,"(27, 6)"
40,0.5,"(25, 31)"
41,0.5,"(24, 11)"
42,0.54347825050354,"(21, 20)"
43,0.54347825050354,"(21, 10)"
44,0.54347825050354,"(20, 9)"
45,0.54347825050354,"(19, 24)"
46,0.54347825050354,"(18, 5)"
47,0.45652174949645996,"(17, 26)"
48,0.45652174949645996,"(17, 12)"
49,0.45652174949645996,"(17, 6)"
50,0.45652174949645996,"(16, 13)"
51,0.45652174949645996,"(15, 6)"
52,0.45652174949645996,"(14, 23)"
53,0.45652174949645996,"(14, 15)"
54,0.3913043439388275,"(13, 28)"
55,0.3913043439388275,"(13, 22)"
56,0.3695652186870575,"(13, 18)"
57,0.3695652186870575,"(13, 14)"
58,0.3695652186870575,"(12, 22)"
59,0.3695652186870575,"(12, 13)"
60,0.3478260934352875,"(10, 17)"
61,0.3695652186870575,"(10, 4)"
62,0.3695652186870575,"(9, 25)"
63,0.3695652186870575,"(8, 24)"
64,0.3695652186870575,"(8, 18)"
65,0.3695652186870575,"(8, 11)"
66,0.3695652186870575,"(8, 4)"
67,0.3695652186870575,"(7, 1)"
