k_heads_ablated,accuracy,last_head_removed
0,0.4285714626312256,
0,0.4285714626312256,
0,0.4285714626312256,
0,0.4285714626312256,
0,0.4285714626312256,
1,0.4285714626312256,"(1, 10)"
1,0.4285714626312256,"(26, 23)"
1,0.4285714626312256,"(23, 5)"
1,0.4285714626312256,"(24, 15)"
1,0.4285714626312256,"(7, 19)"
2,0.4285714626312256,"(12, 18)"
2,0.4285714626312256,"(16, 17)"
2,0.4285714626312256,"(12, 27)"
2,0.4285714626312256,"(0, 3)"
2,0.4285714626312256,"(14, 1)"
3,0.4285714626312256,"(9, 9)"
3,0.4285714626312256,"(29, 17)"
3,0.4285714626312256,"(0, 20)"
3,0.4285714626312256,"(22, 10)"
3,0.4285714626312256,"(28, 10)"
4,0.4285714626312256,"(3, 24)"
4,0.4196428656578064,"(26, 2)"
4,0.4196428656578064,"(10, 18)"
4,0.4285714626312256,"(28, 16)"
4,0.4464285969734192,"(1, 26)"
5,0.4285714626312256,"(31, 23)"
5,0.4107142984867096,"(12, 0)"
5,0.4017857313156128,"(7, 16)"
5,0.4285714626312256,"(26, 4)"
5,0.4375000298023224,"(6, 18)"
6,0.4285714626312256,"(17, 30)"
6,0.4107142984867096,"(24, 8)"
6,0.392857164144516,"(2, 24)"
6,0.4285714626312256,"(3, 1)"
6,0.4285714626312256,"(27, 8)"
7,0.4285714626312256,"(22, 8)"
7,0.4107142984867096,"(14, 30)"
7,0.392857164144516,"(26, 10)"
7,0.4285714626312256,"(30, 15)"
7,0.4107142984867096,"(8, 1)"
8,0.4285714626312256,"(24, 26)"
8,0.4107142984867096,"(3, 14)"
8,0.392857164144516,"(13, 26)"
8,0.4375000298023224,"(4, 20)"
8,0.4107142984867096,"(10, 22)"
9,0.4285714626312256,"(18, 22)"
9,0.4107142984867096,"(16, 2)"
9,0.4732142984867096,"(29, 10)"
9,0.4375000298023224,"(8, 7)"
9,0.4107142984867096,"(12, 16)"
10,0.4285714626312256,"(21, 8)"
10,0.4107142984867096,"(5, 28)"
10,0.4732142984867096,"(25, 7)"
10,0.4464285969734192,"(3, 30)"
10,0.4196428656578064,"(0, 23)"
11,0.4285714626312256,"(12, 15)"
11,0.4107142984867096,"(13, 7)"
11,0.4642857313156128,"(14, 27)"
11,0.4464285969734192,"(5, 2)"
11,0.4196428656578064,"(14, 20)"
12,0.4285714626312256,"(11, 18)"
12,0.4017857313156128,"(10, 21)"
12,0.4642857313156128,"(17, 18)"
12,0.4464285969734192,"(29, 20)"
12,0.4196428656578064,"(20, 2)"
13,0.4285714626312256,"(3, 15)"
13,0.4017857313156128,"(22, 7)"
13,0.4642857313156128,"(23, 24)"
13,0.4821428656578064,"(10, 27)"
13,0.4196428656578064,"(18, 29)"
14,0.4285714626312256,"(29, 18)"
14,0.4017857313156128,"(7, 22)"
14,0.3660714328289032,"(4, 5)"
14,0.4821428656578064,"(30, 12)"
14,0.4285714626312256,"(2, 1)"
15,0.4464285969734192,"(15, 6)"
15,0.3750000298023224,"(2, 19)"
15,0.3660714328289032,"(3, 17)"
15,0.4910714626312256,"(5, 5)"
15,0.3392857313156128,"(13, 24)"
16,0.455357164144516,"(20, 1)"
16,0.3839285969734192,"(15, 18)"
16,0.392857164144516,"(21, 19)"
16,0.4910714626312256,"(19, 5)"
16,0.3392857313156128,"(9, 20)"
17,0.455357164144516,"(23, 12)"
17,0.3571428656578064,"(7, 16)"
17,0.3839285969734192,"(18, 13)"
17,0.4910714626312256,"(17, 5)"
17,0.3392857313156128,"(29, 5)"
18,0.455357164144516,"(23, 8)"
18,0.3571428656578064,"(27, 30)"
18,0.4107142984867096,"(8, 12)"
18,0.4910714626312256,"(29, 21)"
