k_heads_ablated,accuracy,last_head_removed
0,0.4285714626312256,
1,0.4285714626312256,"(9, 30)"
2,0.4285714626312256,"(24, 31)"
3,0.4285714626312256,"(22, 5)"
4,0.4196428656578064,"(17, 12)"
5,0.4196428656578064,"(19, 1)"
6,0.4196428656578064,"(8, 18)"
7,0.4285714626312256,"(17, 3)"
8,0.4196428656578064,"(23, 21)"
9,0.4196428656578064,"(12, 13)"
10,0.4107142984867096,"(16, 1)"
11,0.4017857313156128,"(24, 3)"
12,0.4107142984867096,"(11, 20)"
13,0.4017857313156128,"(22, 30)"
14,0.4017857313156128,"(20, 24)"
15,0.3839285969734192,"(19, 7)"
16,0.3750000298023224,"(15, 20)"
17,0.3750000298023224,"(23, 20)"
18,0.3750000298023224,"(27, 19)"
19,0.3839285969734192,"(25, 19)"
20,0.3839285969734192,"(17, 22)"
21,0.3750000298023224,"(15, 17)"
22,0.3839285969734192,"(10, 13)"
23,0.3750000298023224,"(9, 22)"
24,0.3839285969734192,"(26, 24)"
25,0.392857164144516,"(14, 18)"
26,0.3839285969734192,"(15, 19)"
27,0.3839285969734192,"(23, 27)"
28,0.3839285969734192,"(20, 9)"
29,0.3839285969734192,"(10, 29)"
30,0.3392857313156128,"(10, 4)"
31,0.3571428656578064,"(22, 1)"
32,0.3750000298023224,"(12, 22)"
33,0.3660714328289032,"(11, 14)"
34,0.3660714328289032,"(29, 2)"
35,0.3660714328289032,"(26, 16)"
36,0.3392857313156128,"(20, 12)"
37,0.3392857313156128,"(19, 22)"
38,0.3125,"(14, 31)"
39,0.3125,"(11, 22)"
40,0.3214285969734192,"(22, 28)"
41,0.3214285969734192,"(19, 29)"
42,0.3214285969734192,"(28, 21)"
43,0.3125,"(21, 26)"
44,0.3214285969734192,"(20, 23)"
45,0.3035714328289032,"(17, 4)"
46,0.2946428656578064,"(12, 26)"
47,0.3035714328289032,"(29, 25)"
48,0.3035714328289032,"(22, 12)"
49,0.3035714328289032,"(22, 2)"
50,0.3125,"(21, 20)"
51,0.3125,"(9, 12)"
52,0.3125,"(5, 29)"
53,0.3125,"(28, 28)"
54,0.3125,"(26, 11)"
55,0.3125,"(25, 26)"
56,0.3125,"(25, 14)"
57,0.3035714328289032,"(24, 4)"
58,0.3125,"(21, 7)"
59,0.3035714328289032,"(20, 31)"
60,0.3035714328289032,"(19, 26)"
61,0.3035714328289032,"(8, 24)"
62,0.3035714328289032,"(29, 27)"
63,0.3035714328289032,"(28, 13)"
64,0.3035714328289032,"(25, 11)"
65,0.3035714328289032,"(20, 29)"
66,0.2946428656578064,"(13, 18)"
67,0.2410714328289032,"(11, 4)"
68,0.2410714328289032,"(31, 1)"
69,0.25,"(29, 23)"
70,0.25,"(28, 19)"
71,0.25,"(26, 1)"
72,0.25,"(25, 27)"
73,0.2410714328289032,"(22, 11)"
74,0.2321428656578064,"(18, 2)"
75,0.2232142984867096,"(17, 26)"
76,0.2053571492433548,"(14, 23)"
77,0.2053571492433548,"(13, 25)"
78,0.2053571492433548,"(13, 0)"
79,0.1875000149011612,"(10, 8)"
80,0.1875000149011612,"(9, 13)"
81,0.1875000149011612,"(8, 11)"
82,0.1875000149011612,"(26, 27)"
83,0.1875000149011612,"(21, 16)"
84,0.196428582072258,"(21, 11)"
85,0.1875000149011612,"(21, 4)"
86,0.1785714328289032,"(20, 13)"
87,0.1607142984867096,"(18, 1)"
88,0.1607142984867096,"(16, 13)"
89,0.1696428656578064,"(15, 1)"
90,0.1696428656578064,"(14, 14)"
91,0.1696428656578064,"(12, 29)"
92,0.1696428656578064,"(11, 7)"
93,0.1696428656578064,"(10, 28)"
94,0.1696428656578064,"(10, 23)"
95,0.1696428656578064,"(8, 21)"
96,0.1160714328289032,"(8, 13)"
97,0.1428571492433548,"(8, 4)"
98,0.1517857164144516,"(7, 1)"
99,0.1517857164144516,"(28, 29)"
100,0.1517857164144516,"(26, 22)"
101,0.1428571492433548,"(26, 6)"
102,0.1428571492433548,"(25, 28)"
103,0.1428571492433548,"(25, 21)"
104,0.1428571492433548,"(23, 15)"
105,0.1517857164144516,"(22, 21)"
106,0.1517857164144516,"(19, 31)"
107,0.1517857164144516,"(18, 26)"
108,0.1517857164144516,"(18, 7)"
109,0.1517857164144516,"(18, 5)"
110,0.1517857164144516,"(17, 14)"
111,0.1071428656578064,"(17, 8)"
112,0.1071428656578064,"(16, 18)"
113,0.098214291036129,"(16, 3)"
114,0.098214291036129,"(15, 30)"
115,0.098214291036129,"(13, 23)"
116,0.098214291036129,"(13, 8)"
117,0.0892857164144516,"(12, 23)"
118,0.0892857164144516,"(9, 25)"
119,0.0892857164144516,"(9, 7)"
120,0.0714285746216774,"(8, 17)"
121,0.0535714328289032,"(8, 15)"
