k_heads_ablated,accuracy,last_head_removed
0,0.9729729890823364,
0,0.96875,
1,0.9729729890823364,"(18, 23)"
1,0.96875,"(18, 23)"
2,0.9729729890823364,"(18, 10)"
2,0.96875,"(18, 10)"
3,0.9729729890823364,"(16, 30)"
3,0.96875,"(16, 30)"
4,0.9729729890823364,"(12, 5)"
4,0.96875,"(12, 5)"
5,0.9729729890823364,"(24, 17)"
5,0.96875,"(24, 17)"
6,0.9729729890823364,"(10, 1)"
6,0.96875,"(10, 1)"
7,0.9729729890823364,"(14, 0)"
7,0.96875,"(14, 0)"
8,0.9729729890823364,"(16, 17)"
8,0.96875,"(16, 17)"
9,0.9729729890823364,"(21, 23)"
9,0.96875,"(21, 23)"
10,0.9729729890823364,"(12, 6)"
10,0.96875,"(12, 6)"
11,0.9729729890823364,"(14, 18)"
11,0.96875,"(14, 18)"
12,0.9729729890823364,"(9, 1)"
12,0.96875,"(9, 1)"
13,0.9729729890823364,"(8, 24)"
13,0.96875,"(8, 24)"
14,0.9729729890823364,"(7, 1)"
14,0.96875,"(7, 1)"
15,0.9729729890823364,"(25, 21)"
15,0.96875,"(25, 21)"
16,0.9729729890823364,"(18, 13)"
16,0.96875,"(18, 13)"
17,0.9729729890823364,"(17, 22)"
17,0.96875,"(17, 22)"
18,0.9729729890823364,"(23, 1)"
18,0.96875,"(23, 1)"
19,0.9729729890823364,"(22, 29)"
19,0.96875,"(22, 29)"
20,0.9729729890823364,"(20, 24)"
20,0.96875,"(20, 24)"
21,0.9729729890823364,"(14, 2)"
21,0.96875,"(14, 2)"
22,0.9729729890823364,"(21, 16)"
22,0.96875,"(21, 16)"
23,0.9729729890823364,"(19, 15)"
23,0.96875,"(19, 15)"
24,0.9729729890823364,"(8, 11)"
24,0.96875,"(8, 11)"
25,0.9729729890823364,"(26, 15)"
25,0.96875,"(26, 15)"
26,0.9729729890823364,"(22, 18)"
26,0.96875,"(22, 18)"
27,0.9729729890823364,"(9, 9)"
27,0.96875,"(9, 9)"
28,0.9729729890823364,"(8, 29)"
28,0.96875,"(8, 29)"
29,0.9729729890823364,"(20, 19)"
29,0.96875,"(20, 19)"
30,0.9729729890823364,"(14, 25)"
30,0.96875,"(14, 25)"
31,0.9729729890823364,"(12, 30)"
31,0.96875,"(12, 30)"
