k_heads_ablated,accuracy,last_head_removed
0,0.9999999403953552,
0,0.9999999403953552,
0,0.9999999403953552,
0,0.9999999403953552,
0,0.9999999403953552,
1,0.9999999403953552,"(29, 28)"
1,0.9999999403953552,"(0, 9)"
1,0.9999999403953552,"(24, 8)"
1,0.9999999403953552,"(17, 27)"
1,0.9999999403953552,"(15, 31)"
2,0.9999999403953552,"(14, 4)"
2,0.9999999403953552,"(29, 0)"
2,0.9999999403953552,"(1, 25)"
2,0.9999999403953552,"(30, 11)"
2,0.9999999403953552,"(3, 17)"
3,0.9999999403953552,"(11, 2)"
3,0.9999999403953552,"(9, 6)"
3,0.9999999403953552,"(19, 30)"
3,0.9999999403953552,"(3, 30)"
3,0.9999999403953552,"(27, 2)"
4,0.9999999403953552,"(24, 26)"
4,0.9999999403953552,"(7, 9)"
4,0.9999999403953552,"(28, 21)"
4,0.9999999403953552,"(27, 7)"
4,0.9999999403953552,"(14, 28)"
5,0.9999999403953552,"(9, 20)"
5,0.9999999403953552,"(30, 13)"
5,0.9999999403953552,"(5, 18)"
5,0.9999999403953552,"(25, 16)"
5,0.9999999403953552,"(8, 14)"
6,0.9999999403953552,"(27, 6)"
6,0.9999999403953552,"(30, 8)"
6,0.9999999403953552,"(29, 26)"
6,0.9999999403953552,"(28, 2)"
6,0.9999999403953552,"(29, 4)"
7,0.9999999403953552,"(0, 21)"
7,0.9999999403953552,"(29, 18)"
7,0.9999999403953552,"(18, 21)"
7,0.9999999403953552,"(3, 19)"
7,0.9999999403953552,"(3, 1)"
8,0.9999999403953552,"(28, 12)"
8,0.9999999403953552,"(18, 29)"
8,0.9999999403953552,"(4, 23)"
8,0.9999999403953552,"(16, 11)"
8,0.9999999403953552,"(23, 26)"
9,0.9999999403953552,"(1, 10)"
9,0.9999999403953552,"(11, 21)"
9,0.9999999403953552,"(5, 27)"
9,0.9999999403953552,"(11, 4)"
9,0.9999999403953552,"(10, 28)"
10,0.9957805275917053,"(10, 17)"
10,0.9999999403953552,"(5, 29)"
10,0.9999999403953552,"(19, 31)"
10,0.9999999403953552,"(28, 5)"
10,0.9999999403953552,"(6, 14)"
11,0.9999999403953552,"(24, 30)"
11,0.9999999403953552,"(31, 2)"
11,0.9999999403953552,"(11, 2)"
11,0.9999999403953552,"(14, 4)"
11,0.9999999403953552,"(7, 12)"
12,0.9999999403953552,"(9, 10)"
12,0.9999999403953552,"(6, 16)"
12,0.9999999403953552,"(30, 14)"
12,0.9999999403953552,"(28, 28)"
12,0.9999999403953552,"(24, 19)"
13,0.9999999403953552,"(30, 23)"
13,0.9999999403953552,"(26, 13)"
13,0.9999999403953552,"(15, 0)"
13,0.9999999403953552,"(5, 27)"
13,0.9999999403953552,"(29, 15)"
14,0.9999999403953552,"(13, 22)"
14,0.9999999403953552,"(1, 13)"
14,0.9999999403953552,"(31, 13)"
14,0.9999999403953552,"(13, 19)"
14,0.9999999403953552,"(4, 28)"
15,0.9999999403953552,"(5, 5)"
15,0.9999999403953552,"(10, 22)"
15,0.9999999403953552,"(4, 18)"
15,0.9999999403953552,"(1, 4)"
15,0.9999999403953552,"(23, 23)"
16,0.9999999403953552,"(10, 27)"
16,0.9999999403953552,"(6, 4)"
16,0.9999999403953552,"(27, 29)"
16,0.9999999403953552,"(8, 23)"
16,0.9999999403953552,"(31, 13)"
17,0.9999999403953552,"(23, 24)"
17,0.9999999403953552,"(24, 9)"
17,0.9999999403953552,"(22, 11)"
17,0.9999999403953552,"(22, 6)"
17,0.9999999403953552,"(29, 22)"
18,0.9999999403953552,"(29, 17)"
18,0.9999999403953552,"(29, 6)"
18,0.9999999403953552,"(14, 21)"
18,0.9999999403953552,"(21, 18)"
18,0.9999999403953552,"(14, 24)"
19,0.9999999403953552,"(10, 24)"
19,0.9999999403953552,"(1, 9)"
19,0.9999999403953552,"(7, 12)"
19,0.9999999403953552,"(23, 21)"
19,0.9999999403953552,"(4, 7)"
20,0.9999999403953552,"(18, 16)"
20,0.9957805275917053,"(19, 31)"
20,0.9999999403953552,"(7, 22)"
20,0.9999999403953552,"(14, 29)"
20,0.9999999403953552,"(15, 28)"
21,0.9999999403953552,"(28, 2)"
21,0.9957805275917053,"(25, 18)"
21,0.9999999403953552,"(6, 28)"
21,0.9999999403953552,"(23, 18)"
21,0.9999999403953552,"(7, 10)"
22,0.9999999403953552,"(4, 22)"
22,0.9957805275917053,"(27, 7)"
22,0.9999999403953552,"(27, 3)"
22,0.9999999403953552,"(20, 15)"
22,0.9999999403953552,"(4, 11)"
23,0.9999999403953552,"(1, 8)"
23,0.9957805275917053,"(30, 7)"
23,0.9999999403953552,"(15, 7)"
23,0.9999999403953552,"(26, 2)"
23,0.9999999403953552,"(16, 25)"
24,0.9999999403953552,"(28, 8)"
24,0.9957805275917053,"(30, 25)"
24,0.9999999403953552,"(0, 24)"
24,0.9999999403953552,"(3, 13)"
24,0.9999999403953552,"(19, 16)"
25,0.9999999403953552,"(0, 4)"
25,0.9957805275917053,"(14, 22)"
25,0.9999999403953552,"(22, 16)"
25,0.9999999403953552,"(7, 18)"
25,0.9999999403953552,"(4, 29)"
26,0.9999999403953552,"(25, 22)"
26,0.9957805275917053,"(28, 29)"
26,0.9999999403953552,"(13, 31)"
26,0.9999999403953552,"(25, 23)"
26,0.9999999403953552,"(10, 15)"
27,0.9999999403953552,"(14, 5)"
27,0.9957805275917053,"(13, 16)"
27,0.9999999403953552,"(21, 5)"
27,0.9999999403953552,"(27, 19)"
27,0.9999999403953552,"(24, 29)"
28,0.9999999403953552,"(6, 19)"
28,0.9999999403953552,"(18, 12)"
28,0.9999999403953552,"(3, 13)"
28,0.9999999403953552,"(0, 19)"
28,0.9999999403953552,"(5, 26)"
29,0.9999999403953552,"(6, 2)"
29,0.9999999403953552,"(23, 13)"
29,0.9999999403953552,"(2, 26)"
29,0.9999999403953552,"(6, 20)"
29,0.9999999403953552,"(22, 4)"
30,0.9999999403953552,"(24, 22)"
30,0.9999999403953552,"(10, 29)"
30,0.9999999403953552,"(31, 16)"
30,0.9999999403953552,"(15, 1)"
30,0.9999999403953552,"(1, 8)"
31,0.9999999403953552,"(22, 17)"
31,0.9999999403953552,"(22, 16)"
31,0.9999999403953552,"(14, 31)"
31,0.9999999403953552,"(11, 12)"
31,0.9999999403953552,"(0, 10)"
32,0.9999999403953552,"(0, 12)"
32,0.9999999403953552,"(4, 29)"
32,0.9999999403953552,"(29, 23)"
32,0.9999999403953552,"(25, 0)"
32,0.9999999403953552,"(3, 11)"
33,0.9999999403953552,"(18, 30)"
33,0.9999999403953552,"(30, 16)"
33,0.9999999403953552,"(24, 14)"
33,0.9999999403953552,"(2, 10)"
33,0.9999999403953552,"(12, 21)"
34,0.9999999403953552,"(28, 19)"
34,0.9999999403953552,"(6, 28)"
34,0.9999999403953552,"(1, 11)"
34,0.9957805275917053,"(0, 7)"
34,0.9957805275917053,"(20, 20)"
35,0.9999999403953552,"(20, 15)"
35,0.9957805275917053,"(9, 27)"
35,0.9999999403953552,"(12, 17)"
35,0.9957805275917053,"(1, 11)"
35,0.9957805275917053,"(11, 1)"
36,0.9999999403953552,"(25, 30)"
36,0.9957805275917053,"(31, 14)"
36,0.9999999403953552,"(22, 1)"
36,0.9957805275917053,"(22, 3)"
36,0.9957805275917053,"(15, 8)"
37,0.9999999403953552,"(6, 25)"
37,0.9957805275917053,"(8, 2)"
37,0.9999999403953552,"(9, 31)"
37,0.9957805275917053,"(9, 14)"
37,0.9957805275917053,"(31, 15)"
38,0.9999999403953552,"(0, 10)"
38,0.9957805275917053,"(13, 2)"
38,0.9999999403953552,"(25, 8)"
38,0.9957805275917053,"(6, 5)"
38,0.9957805275917053,"(31, 17)"
39,0.9999999403953552,"(31, 16)"
39,0.9957805275917053,"(21, 2)"
39,0.9999999403953552,"(13, 15)"
39,0.9999999403953552,"(14, 17)"
39,0.9957805275917053,"(4, 25)"
40,0.9999999403953552,"(24, 6)"
40,0.9957805275917053,"(22, 10)"
40,0.9999999403953552,"(8, 12)"
40,0.9999999403953552,"(21, 9)"
40,0.9957805275917053,"(19, 6)"
41,0.9999999403953552,"(31, 23)"
41,0.9957805275917053,"(11, 15)"
41,0.9999999403953552,"(23, 27)"
41,0.9957805275917053,"(24, 14)"
41,0.9999999403953552,"(9, 24)"
42,0.9999999403953552,"(24, 25)"
42,0.9957805275917053,"(23, 24)"
42,0.9999999403953552,"(8, 8)"
42,0.9957805275917053,"(22, 16)"
42,0.9999999403953552,"(8, 4)"
43,0.9999999403953552,"(29, 9)"
43,0.9957805275917053,"(24, 14)"
43,0.9999999403953552,"(10, 16)"
43,0.9957805275917053,"(31, 20)"
43,0.9957805275917053,"(25, 19)"
44,0.9999999403953552,"(10, 15)"
44,0.9957805275917053,"(6, 14)"
44,0.9999999403953552,"(10, 10)"
44,0.9957805275917053,"(19, 23)"
44,0.9999999403953552,"(5, 31)"
45,0.9999999403953552,"(29, 6)"
45,0.9957805275917053,"(26, 30)"
45,0.9999999403953552,"(28, 13)"
45,0.9957805275917053,"(2, 15)"
45,0.9999999403953552,"(19, 17)"
46,0.9999999403953552,"(22, 2)"
46,0.9957805275917053,"(1, 31)"
46,0.9999999403953552,"(31, 28)"
46,0.9957805275917053,"(16, 18)"
46,0.9999999403953552,"(30, 24)"
47,0.9999999403953552,"(25, 29)"
