k_heads_ablated,accuracy,last_head_removed
0,0.9999999403953552,
1,0.9999999403953552,"(18, 23)"
2,0.9957805275917053,"(18, 10)"
3,0.9957805275917053,"(16, 30)"
4,0.9957805275917053,"(12, 5)"
5,0.9957805275917053,"(24, 17)"
6,0.9957805275917053,"(10, 1)"
7,0.9915611147880554,"(14, 0)"
8,0.9915611147880554,"(16, 17)"
9,0.9915611147880554,"(21, 23)"
10,0.9915611147880554,"(12, 6)"
11,0.9831222891807556,"(14, 18)"
12,0.9831222891807556,"(9, 1)"
13,0.9831222891807556,"(8, 24)"
14,0.9831222891807556,"(7, 1)"
15,0.9831222891807556,"(25, 21)"
16,0.9831222891807556,"(18, 13)"
17,0.9831222891807556,"(17, 22)"
18,0.9831222891807556,"(23, 1)"
19,0.9831222891807556,"(22, 29)"
20,0.9789029359817505,"(20, 24)"
21,0.9789029359817505,"(14, 2)"
22,0.9789029359817505,"(21, 16)"
23,0.9746835231781006,"(19, 15)"
24,0.9746835231781006,"(8, 11)"
25,0.9746835231781006,"(26, 15)"
26,0.9746835231781006,"(22, 18)"
27,0.9746835231781006,"(9, 9)"
28,0.9493670463562012,"(8, 29)"
29,0.9493670463562012,"(20, 19)"
30,0.9367088079452515,"(14, 25)"
31,0.7046413421630859,"(12, 30)"
32,0.7088607549667358,"(8, 18)"
33,0.6244725584983826,"(20, 26)"
34,0.46413499116897583,"(9, 29)"
35,0.19831222295761108,"(10, 4)"
36,0.18987341225147247,"(15, 2)"
37,0.17299577593803406,"(12, 11)"
38,0.16455695033073425,"(11, 25)"
39,0.15611813962459564,"(10, 25)"
40,0.15189872682094574,"(19, 24)"
41,0.15189872682094574,"(17, 17)"
42,0.1012658178806305,"(11, 24)"
43,0.08860759437084198,"(6, 29)"
44,0.08438818156719208,"(4, 0)"
45,0.08860759437084198,"(23, 16)"
46,0.08860759437084198,"(19, 3)"
47,0.09282699972391129,"(18, 27)"
48,0.08860759437084198,"(18, 18)"
49,0.04641349986195564,"(15, 17)"
50,0.05063290894031525,"(13, 4)"
51,0.04641349986195564,"(10, 18)"
52,0.04219409078359604,"(7, 7)"
53,0.04219409078359604,"(29, 20)"
54,0.04219409078359604,"(16, 7)"
55,0.04641349986195564,"(10, 30)"
56,0.05063290894031525,"(10, 2)"
57,0.03375527262687683,"(9, 0)"
58,0.03375527262687683,"(7, 25)"
59,0.03375527262687683,"(5, 3)"
60,0.03375527262687683,"(24, 2)"
61,0.03375527262687683,"(22, 7)"
62,0.03375527262687683,"(15, 14)"
63,0.03375527262687683,"(13, 27)"
64,0.037974681705236435,"(9, 17)"
65,0.03375527262687683,"(8, 17)"
66,0.004219409078359604,"(8, 13)"
67,0.0,"(1, 12)"
68,0.0,"(30, 6)"
69,0.0,"(24, 28)"
70,0.0,"(19, 22)"
71,0.0,"(18, 3)"
72,0.0,"(15, 29)"
73,0.0,"(14, 27)"
74,0.0,"(14, 15)"
75,0.0,"(11, 20)"
76,0.0,"(10, 6)"
77,0.0,"(9, 8)"
78,0.0,"(9, 3)"
79,0.0,"(8, 1)"
80,0.0,"(6, 13)"
81,0.0,"(4, 13)"
82,0.0,"(31, 1)"
83,0.0,"(30, 19)"
84,0.0,"(26, 25)"
85,0.004219409078359604,"(26, 4)"
86,0.004219409078359604,"(23, 2)"
87,0.004219409078359604,"(17, 16)"
88,0.004219409078359604,"(17, 7)"
89,0.0,"(16, 23)"
90,0.004219409078359604,"(16, 6)"
91,0.004219409078359604,"(15, 23)"
92,0.004219409078359604,"(15, 21)"
93,0.008438818156719208,"(15, 16)"
94,0.008438818156719208,"(15, 5)"
95,0.008438818156719208,"(14, 7)"
96,0.0,"(12, 9)"
97,0.0,"(11, 9)"
98,0.004219409078359604,"(7, 19)"
99,0.0,"(7, 13)"
100,0.004219409078359604,"(5, 16)"
101,0.004219409078359604,"(1, 29)"
102,0.004219409078359604,"(31, 30)"
103,0.004219409078359604,"(31, 22)"
104,0.004219409078359604,"(30, 28)"
105,0.004219409078359604,"(29, 24)"
106,0.004219409078359604,"(29, 3)"
107,0.004219409078359604,"(28, 25)"
108,0.004219409078359604,"(26, 31)"
109,0.004219409078359604,"(26, 21)"
110,0.004219409078359604,"(24, 21)"
111,0.004219409078359604,"(23, 31)"
112,0.004219409078359604,"(23, 28)"
113,0.004219409078359604,"(23, 19)"
114,0.0,"(23, 17)"
115,0.004219409078359604,"(22, 27)"
116,0.004219409078359604,"(21, 3)"
117,0.004219409078359604,"(20, 30)"
118,0.004219409078359604,"(20, 16)"
119,0.004219409078359604,"(20, 11)"
120,0.004219409078359604,"(19, 10)"
121,0.008438818156719208,"(19, 9)"
122,0.0,"(17, 31)"
123,0.0,"(17, 30)"
124,0.004219409078359604,"(17, 25)"
125,0.004219409078359604,"(17, 21)"
126,0.004219409078359604,"(17, 2)"
127,0.004219409078359604,"(16, 16)"
128,0.004219409078359604,"(16, 5)"
129,0.0,"(15, 12)"
130,0.0,"(15, 11)"
131,0.0,"(15, 9)"
132,0.0,"(14, 20)"
133,0.0,"(14, 9)"
134,0.004219409078359604,"(13, 28)"
135,0.0,"(13, 14)"
136,0.0,"(13, 5)"
137,0.0,"(12, 25)"
138,0.0,"(12, 20)"
139,0.0,"(12, 16)"
140,0.0,"(12, 7)"
141,0.0,"(11, 31)"
142,0.0,"(11, 29)"
143,0.0,"(11, 19)"
144,0.004219409078359604,"(10, 26)"
145,0.0,"(10, 20)"
146,0.0,"(9, 21)"
147,0.0,"(9, 16)"
148,0.0,"(9, 15)"
149,0.0,"(9, 2)"
150,0.0,"(8, 10)"
