k_heads_ablated,accuracy,last_head_removed
0,0.025316454470157623,
1,0.025316454470157623,"(12, 5)"
2,0.025316454470157623,"(12, 6)"
3,0.025316454470157623,"(24, 17)"
4,0.029535863548517227,"(18, 23)"
5,0.04641349986195564,"(14, 0)"
6,0.03375527262687683,"(14, 2)"
7,0.03375527262687683,"(8, 29)"
8,0.037974681705236435,"(14, 25)"
9,0.04219409078359604,"(9, 9)"
10,0.03375527262687683,"(22, 18)"
11,0.03375527262687683,"(21, 16)"
12,0.029535863548517227,"(16, 30)"
13,0.05063290894031525,"(9, 29)"
14,0.025316454470157623,"(17, 22)"
15,0.025316454470157623,"(15, 14)"
16,0.02109704539179802,"(13, 4)"
17,0.025316454470157623,"(10, 25)"
18,0.016877636313438416,"(6, 29)"
19,0.016877636313438416,"(26, 25)"
20,0.025316454470157623,"(12, 11)"
21,0.025316454470157623,"(9, 0)"
22,0.012658227235078812,"(8, 1)"
23,0.012658227235078812,"(26, 31)"
24,0.012658227235078812,"(25, 21)"
25,0.012658227235078812,"(20, 11)"
26,0.0,"(13, 27)"
27,0.0,"(12, 9)"
28,0.0,"(11, 25)"
29,0.0,"(10, 6)"
30,0.0,"(9, 3)"
31,0.0,"(18, 27)"
32,0.0,"(9, 1)"
33,0.0,"(2, 16)"
34,0.0,"(25, 15)"
35,0.0,"(23, 31)"
36,0.0,"(23, 1)"
37,0.0,"(20, 26)"
38,0.0,"(19, 24)"
39,0.004219409078359604,"(18, 10)"
40,0.004219409078359604,"(16, 23)"
41,0.004219409078359604,"(15, 29)"
42,0.004219409078359604,"(15, 21)"
43,0.004219409078359604,"(15, 2)"
44,0.004219409078359604,"(11, 28)"
45,0.004219409078359604,"(10, 2)"
46,0.004219409078359604,"(8, 11)"
47,0.004219409078359604,"(7, 25)"
48,0.004219409078359604,"(5, 8)"
49,0.004219409078359604,"(30, 29)"
50,0.004219409078359604,"(30, 26)"
51,0.004219409078359604,"(23, 16)"
52,0.004219409078359604,"(22, 27)"
53,0.004219409078359604,"(20, 19)"
54,0.004219409078359604,"(19, 3)"
55,0.004219409078359604,"(18, 18)"
56,0.004219409078359604,"(17, 17)"
57,0.008438818156719208,"(16, 6)"
58,0.008438818156719208,"(15, 17)"
59,0.004219409078359604,"(11, 24)"
60,0.0,"(11, 19)"
61,0.004219409078359604,"(11, 1)"
62,0.0,"(10, 30)"
63,0.0,"(10, 18)"
64,0.0,"(9, 20)"
65,0.0,"(8, 24)"
66,0.0,"(8, 16)"
67,0.0,"(8, 13)"
68,0.0,"(8, 9)"
69,0.0,"(8, 4)"
70,0.0,"(7, 1)"
71,0.0,"(6, 22)"
72,0.0,"(5, 29)"
73,0.0,"(5, 18)"
74,0.0,"(5, 17)"
75,0.0,"(5, 12)"
76,0.0,"(5, 3)"
77,0.0,"(4, 27)"
78,0.0,"(4, 16)"
79,0.0,"(2, 5)"
80,0.0,"(0, 11)"
81,0.0,"(31, 1)"
82,0.0,"(30, 15)"
83,0.0,"(27, 27)"
84,0.0,"(26, 21)"
85,0.0,"(26, 14)"
86,0.0,"(25, 16)"
87,0.0,"(23, 19)"
88,0.0,"(23, 2)"
89,0.0,"(22, 29)"
90,0.0,"(21, 23)"
91,0.0,"(21, 4)"
92,0.0,"(20, 16)"
93,0.0,"(19, 15)"
94,0.0,"(18, 13)"
95,0.0,"(18, 3)"
96,0.0,"(17, 31)"
97,0.0,"(16, 7)"
98,0.0,"(16, 5)"
99,0.0,"(14, 27)"
100,0.0,"(14, 26)"
101,0.0,"(14, 20)"
102,0.0,"(14, 18)"
103,0.0,"(14, 15)"
104,0.0,"(14, 12)"
105,0.004219409078359604,"(14, 9)"
106,0.0,"(13, 24)"
107,0.0,"(13, 22)"
108,0.004219409078359604,"(13, 5)"
109,0.004219409078359604,"(12, 18)"
110,0.004219409078359604,"(12, 17)"
111,0.004219409078359604,"(12, 7)"
112,0.004219409078359604,"(12, 4)"
113,0.004219409078359604,"(11, 12)"
114,0.004219409078359604,"(11, 11)"
115,0.004219409078359604,"(11, 7)"
116,0.0,"(10, 24)"
117,0.0,"(10, 16)"
118,0.0,"(10, 1)"
119,0.0,"(9, 21)"
120,0.0,"(9, 17)"
121,0.0,"(9, 14)"
122,0.0,"(9, 2)"
123,0.0,"(8, 21)"
124,0.0,"(8, 17)"
125,0.0,"(8, 12)"
126,0.0,"(8, 10)"
127,0.0,"(8, 7)"
128,0.0,"(8, 3)"
129,0.0,"(8, 0)"
130,0.0,"(7, 21)"
131,0.0,"(7, 16)"
132,0.0,"(7, 4)"
133,0.0,"(6, 25)"
134,0.0,"(6, 12)"
135,0.0,"(6, 4)"
136,0.0,"(6, 0)"
137,0.0,"(5, 31)"
138,0.0,"(5, 11)"
139,0.0,"(5, 10)"
140,0.0,"(4, 22)"
141,0.0,"(4, 17)"
142,0.0,"(4, 15)"
143,0.0,"(4, 4)"
144,0.0,"(3, 18)"
145,0.0,"(3, 4)"
146,0.0,"(2, 29)"
147,0.0,"(2, 27)"
148,0.0,"(2, 14)"
149,0.0,"(2, 12)"
150,0.0,"(2, 9)"
