k_heads_ablated,accuracy,last_head_removed
0,0.782608687877655,
0,0.680672287940979,
1,0.782608687877655,"(11, 14)"
1,0.6848739981651306,"(11, 14)"
2,0.782608687877655,"(9, 25)"
2,0.6848739981651306,"(9, 25)"
3,0.782608687877655,"(16, 7)"
3,0.6848739981651306,"(16, 7)"
4,0.760869562625885,"(15, 3)"
4,0.6974790096282959,"(15, 3)"
5,0.760869562625885,"(16, 31)"
5,0.6974790096282959,"(16, 31)"
6,0.760869562625885,"(17, 15)"
6,0.6932773590087891,"(17, 15)"
7,0.760869562625885,"(20, 2)"
7,0.6932773590087891,"(20, 2)"
8,0.760869562625885,"(11, 23)"
8,0.7058823704719543,"(11, 23)"
9,0.739130437374115,"(27, 6)"
9,0.7058823704719543,"(27, 6)"
10,0.739130437374115,"(12, 7)"
10,0.6932773590087891,"(12, 7)"
11,0.739130437374115,"(14, 19)"
11,0.6890756487846375,"(14, 19)"
12,0.739130437374115,"(9, 30)"
12,0.6890756487846375,"(9, 30)"
13,0.739130437374115,"(19, 17)"
13,0.6890756487846375,"(19, 17)"
14,0.739130437374115,"(14, 13)"
14,0.6890756487846375,"(14, 13)"
15,0.739130437374115,"(8, 13)"
15,0.7226890921592712,"(8, 13)"
16,0.739130437374115,"(21, 10)"
16,0.7268908023834229,"(21, 10)"
17,0.739130437374115,"(15, 17)"
17,0.49159666895866394,"(15, 17)"
18,0.760869562625885,"(9, 15)"
18,0.542016863822937,"(9, 15)"
19,0.760869562625885,"(8, 17)"
19,0.5504202246665955,"(8, 17)"
20,0.739130437374115,"(25, 12)"
20,0.5504202246665955,"(25, 12)"
21,0.760869562625885,"(18, 5)"
21,0.5504202246665955,"(18, 5)"
22,0.760869562625885,"(5, 23)"
22,0.5042017102241516,"(5, 23)"
23,0.760869562625885,"(13, 12)"
23,0.5042017102241516,"(13, 12)"
24,0.760869562625885,"(11, 7)"
24,0.5252100825309753,"(11, 7)"
25,0.760869562625885,"(8, 11)"
25,0.5,"(8, 11)"
26,0.760869562625885,"(15, 12)"
26,0.5,"(15, 12)"
27,0.760869562625885,"(15, 7)"
27,0.49159666895866394,"(15, 7)"
28,0.760869562625885,"(9, 19)"
28,0.5,"(9, 19)"
29,0.760869562625885,"(8, 29)"
29,0.4327731430530548,"(8, 29)"
30,0.760869562625885,"(7, 26)"
30,0.45798322558403015,"(7, 26)"
31,0.760869562625885,"(9, 22)"
31,0.4495798647403717,"(9, 22)"
32,0.760869562625885,"(8, 21)"
32,0.4453781843185425,"(8, 21)"
33,0.760869562625885,"(7, 10)"
33,0.4159664213657379,"(7, 10)"
34,0.760869562625885,"(17, 11)"
34,0.4621849060058594,"(17, 11)"
35,0.760869562625885,"(6, 30)"
35,0.4537815451622009,"(6, 30)"
36,0.760869562625885,"(13, 24)"
36,0.4621849060058594,"(13, 24)"
37,0.760869562625885,"(13, 13)"
37,0.4537815451622009,"(13, 13)"
38,0.760869562625885,"(28, 13)"
38,0.4663865864276886,"(28, 13)"
39,0.760869562625885,"(12, 17)"
39,0.4663865864276886,"(12, 17)"
40,0.760869562625885,"(9, 29)"
40,0.6680672764778137,"(9, 29)"
41,0.760869562625885,"(28, 6)"
41,0.6680672764778137,"(28, 6)"
42,0.760869562625885,"(12, 20)"
42,0.6764706373214722,"(12, 20)"
43,0.760869562625885,"(11, 4)"
43,0.617647111415863,"(11, 4)"
44,0.760869562625885,"(22, 27)"
44,0.617647111415863,"(22, 27)"
45,0.760869562625885,"(19, 18)"
45,0.617647111415863,"(19, 18)"
46,0.760869562625885,"(17, 21)"
46,0.617647111415863,"(17, 21)"
47,0.760869562625885,"(18, 7)"
47,0.6218487620353699,"(18, 7)"
48,0.760869562625885,"(11, 30)"
48,0.617647111415863,"(11, 30)"
49,0.760869562625885,"(8, 2)"
49,0.617647111415863,"(8, 2)"
50,0.760869562625885,"(5, 31)"
50,0.6134454011917114,"(5, 31)"
51,0.760869562625885,"(4, 23)"
51,0.6302521228790283,"(4, 23)"
52,0.760869562625885,"(18, 2)"
52,0.6260504722595215,"(18, 2)"
53,0.760869562625885,"(18, 0)"
53,0.6260504722595215,"(18, 0)"
54,0.760869562625885,"(9, 13)"
54,0.6218487620353699,"(9, 13)"
55,0.760869562625885,"(9, 1)"
55,0.6764706373214722,"(9, 1)"
56,0.760869562625885,"(8, 18)"
56,0.6764706373214722,"(8, 18)"
57,0.760869562625885,"(7, 16)"
57,0.6344538331031799,"(7, 16)"
58,0.739130437374115,"(10, 25)"
58,0.5840336680412292,"(10, 25)"
59,0.739130437374115,"(8, 4)"
59,0.5462185144424438,"(8, 4)"
60,0.739130437374115,"(7, 1)"
60,0.529411792755127,"(7, 1)"
61,0.739130437374115,"(5, 15)"
61,0.529411792755127,"(5, 15)"
62,0.739130437374115,"(5, 11)"
62,0.49159666895866394,"(5, 11)"
63,0.739130437374115,"(5, 8)"
63,0.4831933081150055,"(5, 8)"
64,0.739130437374115,"(5, 1)"
64,0.5168067216873169,"(5, 1)"
65,0.739130437374115,"(3, 28)"
65,0.5126050710678101,"(3, 28)"
66,0.739130437374115,"(19, 1)"
66,0.4873949885368347,"(19, 1)"
67,0.739130437374115,"(18, 29)"
67,0.49159666895866394,"(18, 29)"
68,0.739130437374115,"(17, 19)"
68,0.49159666895866394,"(17, 19)"
69,0.739130437374115,"(15, 1)"
