k_heads_ablated,accuracy,last_head_removed
0,0.7346938848495483,
0,0.7346938848495483,
0,0.7346938848495483,
0,0.7346938848495483,
0,0.7346938848495483,
1,0.7210884094238281,"(4, 13)"
1,0.7210884094238281,"(0, 5)"
1,0.7346938848495483,"(17, 27)"
1,0.7346938848495483,"(30, 7)"
1,0.7346938848495483,"(15, 25)"
2,0.7006802558898926,"(5, 5)"
2,0.7210884094238281,"(2, 13)"
2,0.7346938848495483,"(12, 24)"
2,0.7346938848495483,"(2, 19)"
2,0.7346938848495483,"(16, 26)"
3,0.7074829936027527,"(26, 4)"
3,0.7210884094238281,"(23, 15)"
3,0.7346938848495483,"(23, 0)"
3,0.7414965629577637,"(0, 20)"
3,0.7414965629577637,"(25, 21)"
4,0.714285671710968,"(14, 27)"
4,0.7006802558898926,"(16, 24)"
4,0.714285671710968,"(24, 18)"
4,0.7414965629577637,"(30, 27)"
4,0.7414965629577637,"(4, 8)"
5,0.714285671710968,"(26, 2)"
5,0.7074829936027527,"(11, 9)"
5,0.714285671710968,"(23, 1)"
5,0.7482993006706238,"(0, 6)"
5,0.7414965629577637,"(15, 30)"
6,0.6598639488220215,"(13, 15)"
6,0.7074829936027527,"(10, 13)"
6,0.7414965629577637,"(3, 0)"
6,0.7482993006706238,"(14, 11)"
6,0.7414965629577637,"(24, 28)"
7,0.6666666269302368,"(18, 18)"
7,0.7346938848495483,"(9, 24)"
7,0.7414965629577637,"(15, 19)"
7,0.7414965629577637,"(17, 31)"
7,0.7278911471366882,"(6, 20)"
8,0.6666666269302368,"(31, 29)"
8,0.7346938848495483,"(18, 24)"
8,0.7414965629577637,"(19, 25)"
8,0.7482993006706238,"(2, 11)"
8,0.7278911471366882,"(7, 30)"
9,0.6666666269302368,"(26, 20)"
9,0.7346938848495483,"(21, 21)"
9,0.7414965629577637,"(15, 24)"
9,0.7414965629577637,"(14, 27)"
9,0.7278911471366882,"(22, 1)"
10,0.6666666269302368,"(20, 18)"
10,0.7278911471366882,"(2, 0)"
10,0.7414965629577637,"(13, 28)"
10,0.7414965629577637,"(1, 28)"
10,0.7278911471366882,"(15, 29)"
11,0.6462584733963013,"(1, 22)"
11,0.7074829936027527,"(10, 19)"
11,0.7482993006706238,"(8, 1)"
11,0.7346938848495483,"(18, 25)"
11,0.7210884094238281,"(10, 15)"
12,0.6462584733963013,"(12, 15)"
12,0.714285671710968,"(28, 7)"
12,0.7687074542045593,"(6, 23)"
12,0.7755101919174194,"(4, 16)"
12,0.7210884094238281,"(0, 31)"
13,0.6462584733963013,"(15, 13)"
13,0.714285671710968,"(29, 10)"
13,0.7687074542045593,"(28, 0)"
13,0.7414965629577637,"(12, 29)"
13,0.7210884094238281,"(23, 23)"
14,0.6598639488220215,"(30, 20)"
14,0.7006802558898926,"(4, 26)"
14,0.7687074542045593,"(29, 18)"
14,0.7414965629577637,"(22, 7)"
14,0.7210884094238281,"(29, 3)"
15,0.6598639488220215,"(26, 11)"
15,0.7006802558898926,"(19, 26)"
15,0.7755101919174194,"(7, 22)"
15,0.7482993006706238,"(20, 12)"
15,0.7210884094238281,"(23, 29)"
16,0.6734693646430969,"(3, 8)"
16,0.7006802558898926,"(19, 4)"
16,0.7755101919174194,"(30, 13)"
16,0.7482993006706238,"(2, 3)"
16,0.7210884094238281,"(21, 20)"
17,0.6734693646430969,"(14, 28)"
17,0.714285671710968,"(5, 7)"
17,0.8367346525192261,"(11, 6)"
17,0.7482993006706238,"(31, 10)"
17,0.7551020383834839,"(6, 23)"
18,0.6666666269302368,"(31, 31)"
18,0.714285671710968,"(10, 1)"
18,0.8231292366981506,"(9, 31)"
18,0.7619047164916992,"(0, 7)"
18,0.7551020383834839,"(7, 27)"
19,0.6734693646430969,"(5, 28)"
19,0.714285671710968,"(20, 6)"
19,0.8435373902320862,"(4, 9)"
19,0.7619047164916992,"(15, 22)"
19,0.7619047164916992,"(17, 25)"
20,0.6666666269302368,"(27, 30)"
20,0.7074829936027527,"(6, 24)"
20,0.8435373902320862,"(25, 8)"
20,0.7619047164916992,"(11, 28)"
20,0.7619047164916992,"(27, 4)"
21,0.6666666269302368,"(30, 15)"
21,0.7074829936027527,"(23, 26)"
21,0.8367346525192261,"(18, 15)"
21,0.7619047164916992,"(30, 2)"
21,0.7619047164916992,"(20, 8)"
22,0.6598639488220215,"(16, 10)"
22,0.7074829936027527,"(26, 26)"
22,0.8367346525192261,"(29, 23)"
22,0.7619047164916992,"(16, 26)"
22,0.7619047164916992,"(27, 18)"
23,0.6598639488220215,"(1, 13)"
23,0.7074829936027527,"(24, 30)"
23,0.8503401279449463,"(6, 2)"
23,0.7619047164916992,"(22, 6)"
23,0.7619047164916992,"(6, 7)"
24,0.6598639488220215,"(23, 20)"
24,0.7006802558898926,"(16, 5)"
24,0.8503401279449463,"(24, 30)"
24,0.7210884094238281,"(11, 17)"
24,0.7551020383834839,"(1, 19)"
25,0.6598639488220215,"(23, 4)"
25,0.7006802558898926,"(23, 14)"
25,0.8503401279449463,"(22, 23)"
25,0.7210884094238281,"(11, 5)"
25,0.7551020383834839,"(23, 31)"
26,0.6598639488220215,"(7, 27)"
26,0.7006802558898926,"(12, 15)"
26,0.8571428656578064,"(3, 26)"
26,0.6462584733963013,"(15, 27)"
26,0.7551020383834839,"(22, 0)"
27,0.6598639488220215,"(27, 13)"
27,0.7006802558898926,"(7, 19)"
27,0.8707482814788818,"(8, 7)"
27,0.6190475821495056,"(14, 9)"
27,0.7551020383834839,"(19, 5)"
28,0.6938775181770325,"(5, 26)"
28,0.7006802558898926,"(23, 25)"
28,0.8707482814788818,"(13, 23)"
28,0.6190475821495056,"(26, 28)"
28,0.7551020383834839,"(7, 17)"
29,0.6938775181770325,"(31, 14)"
29,0.7006802558898926,"(19, 9)"
29,0.8707482814788818,"(17, 17)"
29,0.6190475821495056,"(29, 29)"
29,0.7551020383834839,"(18, 3)"
30,0.6938775181770325,"(23, 17)"
30,0.7006802558898926,"(29, 29)"
30,0.8027210831642151,"(8, 12)"
30,0.6190475821495056,"(24, 12)"
30,0.7551020383834839,"(2, 25)"
31,0.6938775181770325,"(31, 17)"
31,0.7006802558898926,"(18, 23)"
31,0.795918345451355,"(3, 14)"
31,0.6190475821495056,"(28, 22)"
31,0.7482993006706238,"(0, 19)"
32,0.6666666269302368,"(12, 18)"
32,0.7074829936027527,"(24, 0)"
32,0.795918345451355,"(27, 24)"
32,0.6190475821495056,"(23, 0)"
32,0.7482993006706238,"(28, 31)"
33,0.6666666269302368,"(31, 22)"
33,0.7006802558898926,"(27, 5)"
33,0.795918345451355,"(21, 16)"
33,0.6190475821495056,"(24, 20)"
33,0.7482993006706238,"(14, 2)"
34,0.6530612111091614,"(24, 21)"
34,0.7006802558898926,"(23, 27)"
34,0.795918345451355,"(7, 13)"
34,0.7346938848495483,"(10, 6)"
34,0.7482993006706238,"(20, 16)"
35,0.6530612111091614,"(3, 17)"
35,0.7074829936027527,"(0, 25)"
35,0.795918345451355,"(29, 1)"
35,0.6326530575752258,"(13, 27)"
35,0.7619047164916992,"(9, 11)"
36,0.6530612111091614,"(22, 28)"
36,0.7074829936027527,"(29, 18)"
36,0.795918345451355,"(2, 13)"
36,0.6326530575752258,"(26, 0)"
36,0.7687074542045593,"(8, 1)"
37,0.6734693646430969,"(24, 18)"
37,0.7074829936027527,"(30, 17)"
37,0.795918345451355,"(22, 2)"
37,0.6870748400688171,"(6, 23)"
37,0.7891156077384949,"(3, 5)"
38,0.6598639488220215,"(2, 10)"
38,0.7074829936027527,"(12, 18)"
38,0.7891156077384949,"(7, 25)"
38,0.6870748400688171,"(28, 27)"
38,0.7891156077384949,"(3, 31)"
