k_heads_ablated,accuracy,last_head_removed
0,0.7346938848495483,
1,0.41496598720550537,"(11, 14)"
2,0.3877550959587097,"(9, 25)"
3,0.3877550959587097,"(16, 7)"
4,0.2312925159931183,"(15, 3)"
5,0.19727890193462372,"(16, 31)"
6,0.2448979616165161,"(17, 15)"
7,0.25170066952705383,"(20, 2)"
8,0.25170066952705383,"(11, 23)"
9,0.25170066952705383,"(27, 6)"
10,0.17687074840068817,"(12, 7)"
11,0.03401360660791397,"(14, 19)"
12,0.027210883796215057,"(9, 30)"
13,0.027210883796215057,"(19, 17)"
14,0.0476190447807312,"(14, 13)"
15,0.03401360660791397,"(8, 13)"
16,0.03401360660791397,"(21, 10)"
17,0.0476190447807312,"(15, 17)"
18,0.020408162847161293,"(9, 15)"
19,0.020408162847161293,"(8, 17)"
20,0.020408162847161293,"(25, 12)"
21,0.027210883796215057,"(18, 5)"
22,0.027210883796215057,"(5, 23)"
23,0.013605441898107529,"(13, 12)"
24,0.020408162847161293,"(11, 7)"
25,0.020408162847161293,"(8, 11)"
26,0.020408162847161293,"(15, 12)"
27,0.020408162847161293,"(15, 7)"
28,0.013605441898107529,"(9, 19)"
29,0.027210883796215057,"(8, 29)"
30,0.0476190447807312,"(7, 26)"
31,0.0476190447807312,"(9, 22)"
32,0.040816325694322586,"(8, 21)"
33,0.054421767592430115,"(7, 10)"
34,0.054421767592430115,"(17, 11)"
35,0.054421767592430115,"(6, 30)"
36,0.054421767592430115,"(13, 24)"
37,0.013605441898107529,"(13, 13)"
38,0.013605441898107529,"(28, 13)"
39,0.013605441898107529,"(12, 17)"
40,0.013605441898107529,"(9, 29)"
41,0.013605441898107529,"(28, 6)"
42,0.013605441898107529,"(12, 20)"
43,0.013605441898107529,"(11, 4)"
44,0.013605441898107529,"(22, 27)"
45,0.013605441898107529,"(19, 18)"
46,0.020408162847161293,"(17, 21)"
47,0.020408162847161293,"(18, 7)"
48,0.027210883796215057,"(11, 30)"
49,0.020408162847161293,"(8, 2)"
50,0.027210883796215057,"(5, 31)"
51,0.027210883796215057,"(4, 23)"
52,0.027210883796215057,"(18, 2)"
53,0.027210883796215057,"(18, 0)"
54,0.027210883796215057,"(9, 13)"
55,0.0,"(9, 1)"
56,0.0,"(8, 18)"
57,0.0,"(7, 16)"
58,0.0,"(10, 25)"
59,0.0,"(8, 4)"
60,0.0,"(7, 1)"
61,0.0,"(5, 15)"
62,0.0,"(5, 11)"
63,0.0,"(5, 8)"
64,0.0,"(5, 1)"
65,0.0,"(3, 28)"
66,0.0,"(19, 1)"
67,0.0,"(18, 29)"
68,0.0,"(17, 19)"
69,0.0,"(15, 1)"
70,0.0,"(13, 0)"
71,0.0,"(8, 25)"
72,0.0,"(3, 12)"
73,0.0,"(1, 15)"
74,0.0,"(0, 11)"
