relation,corr_wo_context,corr_w_context,supp_corr_wo_context,supp_corr_w_context,pval_wo_context,pval_w_context,supp_pval_wo_context,supp_pval_w_context
country_to_capital_wikidata,0.9318958992018931,0.8866524588775274,0.8529682308066829,0.8834548409937344,0.0,0.0,7.828269531690237e-291,0.0
country_to_official_language_wikidata,0.8845719168528055,0.8283066466523973,0.7321364136960287,0.6412127747400197,0.0,2.212135109258484e-259,1.292673723502949e-172,1.1493477707718865e-119
entity_to_pronoun,0.8521178488903767,0.7023054245828054,0.890882795514142,0.31531754010994634,1.180497770335661e-289,5.096149700619089e-153,0.0,4.5105018930726435e-25
general_copying_english_500,0.8685884930265003,0.3246701998715122,0.8680559769453573,0.8310917702692009,6.657435387e-314,1.451573134624795e-26,4.5478022772e-313,1.1264198984270255e-262
name_copying,0.9160349043315399,0.46882553495093937,0.974830863258441,0.712394688455947,0.0,4.3912429624618044e-57,0.0,2.294948037747254e-159
object_superclass,0.8973285512688174,0.8227979056515358,0.8194817102829745,0.7634032148547881,0.0,4.8593689869440794e-253,2.505948656844786e-249,3.2979960856139953e-196
word_first_letter,0.7920066099733625,0.6555421642849035,0.8166000682408252,0.3585436433664205,3.005929670814294e-221,8.608817664935437e-127,3.6591375347626675e-246,2.0078861679444738e-32
word_last_letter,0.6992546532491042,0.44274434658255635,0.2793244125146695,0.10206984669160414,3.7476089779513896e-151,2.132296432640302e-50,8.285123473744753e-20,0.0010724696364326923
word_to_synonym,0.9089059390623553,0.6234295180293005,0.8068615846428435,0.7174350404924938,0.0,2.458043299295808e-111,7.204195739342479e-236,1.2196177511168003e-162
work_location,0.7645004091329852,0.7542998718786817,0.7171509156930767,0.5977469327912189,4.2084380956819636e-197,5.668293116516678e-189,1.8737659005319474e-162,3.2478112728042693e-100
year_to_following,0.8712751015248718,0.6675418902301133,0.18832932973484626,0.3278799328803503,3.60346e-318,4.580324923768035e-133,1.2507035246777024e-09,4.339487344424874e-27
