k_heads_ablated,accuracy,last_head_removed
0,0.03781512752175331,
0,0.18487395346164703,
1,0.03781512752175331,"(40, 8)"
1,0.18487395346164703,"(40, 8)"
2,0.042016807943582535,"(22, 22)"
2,0.18487395346164703,"(22, 22)"
3,0.03781512752175331,"(31, 16)"
3,0.18487395346164703,"(31, 16)"
4,0.03781512752175331,"(24, 10)"
4,0.1806722730398178,"(24, 10)"
5,0.04621848836541176,"(24, 1)"
5,0.17226891219615936,"(24, 1)"
6,0.03781512752175331,"(29, 20)"
6,0.1764705926179886,"(29, 20)"
7,0.03781512752175331,"(37, 21)"
7,0.17226891219615936,"(37, 21)"
8,0.042016807943582535,"(41, 12)"
8,0.16806723177433014,"(41, 12)"
9,0.042016807943582535,"(28, 24)"
9,0.16806723177433014,"(28, 24)"
10,0.042016807943582535,"(46, 11)"
10,0.16806723177433014,"(46, 11)"
11,0.042016807943582535,"(29, 19)"
11,0.17226891219615936,"(29, 19)"
12,0.042016807943582535,"(29, 11)"
12,0.16806723177433014,"(29, 11)"
13,0.042016807943582535,"(6, 16)"
13,0.16806723177433014,"(6, 16)"
14,0.042016807943582535,"(43, 3)"
14,0.1764705926179886,"(43, 3)"
15,0.042016807943582535,"(35, 12)"
15,0.17226891219615936,"(35, 12)"
16,0.042016807943582535,"(28, 15)"
16,0.17226891219615936,"(28, 15)"
17,0.042016807943582535,"(14, 15)"
17,0.17226891219615936,"(14, 15)"
18,0.042016807943582535,"(25, 19)"
18,0.16806723177433014,"(25, 19)"
19,0.042016807943582535,"(14, 23)"
19,0.16806723177433014,"(14, 23)"
20,0.03781512752175331,"(32, 3)"
20,0.16386555135250092,"(32, 3)"
21,0.03361344709992409,"(30, 1)"
21,0.16806723177433014,"(30, 1)"
22,0.03781512752175331,"(28, 6)"
22,0.16386555135250092,"(28, 6)"
23,0.04621848836541176,"(25, 4)"
23,0.15546219050884247,"(25, 4)"
24,0.042016807943582535,"(9, 13)"
24,0.15546219050884247,"(9, 13)"
25,0.03781512752175331,"(4, 7)"
25,0.1596638709306717,"(4, 7)"
26,0.03781512752175331,"(35, 21)"
26,0.15546219050884247,"(35, 21)"
27,0.042016807943582535,"(24, 8)"
27,0.1596638709306717,"(24, 8)"
28,0.042016807943582535,"(23, 20)"
28,0.14705882966518402,"(23, 20)"
29,0.042016807943582535,"(21, 20)"
29,0.14705882966518402,"(21, 20)"
30,0.042016807943582535,"(11, 1)"
30,0.14705882966518402,"(11, 1)"
31,0.04621848836541176,"(27, 19)"
31,0.1428571492433548,"(27, 19)"
32,0.04621848836541176,"(10, 0)"
32,0.1428571492433548,"(10, 0)"
33,0.04621848836541176,"(21, 12)"
33,0.1428571492433548,"(21, 12)"
34,0.042016807943582535,"(38, 0)"
34,0.1428571492433548,"(38, 0)"
35,0.03781512752175331,"(32, 15)"
35,0.14705882966518402,"(32, 15)"
36,0.042016807943582535,"(19, 16)"
36,0.14705882966518402,"(19, 16)"
37,0.042016807943582535,"(12, 18)"
37,0.14705882966518402,"(12, 18)"
38,0.03781512752175331,"(2, 12)"
38,0.14705882966518402,"(2, 12)"
