k_heads_ablated,accuracy,last_head_removed
0,0.0416666679084301,
0,0.0416666679084301,
0,0.0416666679084301,
0,0.0416666679084301,
0,0.0416666679084301,
1,0.0416666679084301,"(33, 4)"
1,0.0416666679084301,"(10, 19)"
1,0.0416666679084301,"(1, 18)"
1,0.0416666679084301,"(0, 8)"
1,0.0416666679084301,"(11, 0)"
2,0.0416666679084301,"(36, 2)"
2,0.0416666679084301,"(20, 20)"
2,0.0416666679084301,"(18, 24)"
2,0.0416666679084301,"(13, 3)"
2,0.02083333395421505,"(40, 23)"
3,0.0625,"(28, 17)"
3,0.0416666679084301,"(47, 5)"
3,0.0416666679084301,"(47, 24)"
3,0.0416666679084301,"(31, 8)"
3,0.02083333395421505,"(21, 6)"
4,0.0625,"(39, 6)"
4,0.0416666679084301,"(38, 4)"
4,0.02083333395421505,"(20, 19)"
4,0.0416666679084301,"(40, 3)"
4,0.02083333395421505,"(33, 22)"
5,0.0625,"(3, 8)"
5,0.0416666679084301,"(11, 4)"
5,0.02083333395421505,"(15, 2)"
5,0.0416666679084301,"(30, 24)"
5,0.02083333395421505,"(5, 9)"
6,0.0625,"(8, 13)"
6,0.0416666679084301,"(9, 2)"
6,0.02083333395421505,"(43, 13)"
6,0.0416666679084301,"(2, 13)"
6,0.02083333395421505,"(37, 22)"
7,0.0625,"(34, 24)"
7,0.0625,"(19, 14)"
7,0.02083333395421505,"(7, 7)"
7,0.0416666679084301,"(42, 3)"
7,0.0625,"(3, 20)"
8,0.0625,"(2, 24)"
8,0.0625,"(3, 18)"
8,0.02083333395421505,"(5, 12)"
8,0.0416666679084301,"(33, 20)"
8,0.0625,"(0, 14)"
9,0.0625,"(7, 13)"
9,0.0625,"(21, 9)"
9,0.02083333395421505,"(7, 16)"
9,0.0625,"(3, 12)"
9,0.0625,"(40, 21)"
10,0.0625,"(45, 22)"
10,0.0625,"(6, 4)"
10,0.02083333395421505,"(1, 9)"
10,0.0416666679084301,"(9, 6)"
10,0.02083333395421505,"(13, 21)"
11,0.0625,"(46, 8)"
11,0.0625,"(44, 1)"
11,0.02083333395421505,"(22, 12)"
11,0.0416666679084301,"(30, 5)"
11,0.02083333395421505,"(21, 11)"
12,0.0416666679084301,"(42, 1)"
12,0.0625,"(30, 16)"
12,0.02083333395421505,"(35, 11)"
12,0.0416666679084301,"(10, 23)"
12,0.02083333395421505,"(47, 8)"
13,0.0416666679084301,"(31, 8)"
13,0.0625,"(41, 0)"
13,0.02083333395421505,"(30, 19)"
13,0.0416666679084301,"(42, 24)"
13,0.02083333395421505,"(25, 22)"
14,0.0416666679084301,"(13, 14)"
14,0.0625,"(44, 3)"
14,0.02083333395421505,"(9, 16)"
14,0.0416666679084301,"(25, 7)"
14,0.02083333395421505,"(33, 18)"
15,0.0625,"(15, 21)"
15,0.0625,"(17, 17)"
15,0.02083333395421505,"(4, 1)"
15,0.0416666679084301,"(37, 19)"
15,0.02083333395421505,"(6, 21)"
16,0.0625,"(38, 11)"
16,0.0625,"(18, 8)"
16,0.02083333395421505,"(17, 23)"
16,0.0416666679084301,"(6, 0)"
16,0.02083333395421505,"(3, 15)"
17,0.0625,"(22, 20)"
17,0.0625,"(21, 24)"
17,0.02083333395421505,"(28, 2)"
17,0.0625,"(9, 7)"
17,0.02083333395421505,"(39, 15)"
18,0.0625,"(28, 16)"
18,0.0625,"(43, 16)"
18,0.02083333395421505,"(8, 12)"
18,0.0625,"(30, 12)"
18,0.02083333395421505,"(28, 11)"
19,0.0625,"(12, 21)"
19,0.0625,"(32, 14)"
19,0.02083333395421505,"(47, 4)"
19,0.0625,"(25, 11)"
19,0.02083333395421505,"(36, 2)"
20,0.0625,"(36, 13)"
20,0.0625,"(30, 12)"
20,0.02083333395421505,"(16, 19)"
20,0.0416666679084301,"(19, 18)"
20,0.02083333395421505,"(2, 5)"
21,0.0625,"(25, 7)"
21,0.0625,"(6, 23)"
21,0.02083333395421505,"(29, 15)"
21,0.0416666679084301,"(6, 22)"
21,0.02083333395421505,"(29, 17)"
22,0.0416666679084301,"(18, 13)"
22,0.0625,"(16, 10)"
22,0.02083333395421505,"(33, 24)"
22,0.0416666679084301,"(15, 19)"
22,0.0416666679084301,"(4, 11)"
23,0.0416666679084301,"(7, 14)"
23,0.0833333358168602,"(38, 16)"
23,0.02083333395421505,"(36, 22)"
23,0.0416666679084301,"(35, 9)"
23,0.0416666679084301,"(47, 11)"
24,0.0416666679084301,"(14, 13)"
24,0.0833333358168602,"(33, 24)"
24,0.02083333395421505,"(13, 3)"
24,0.0416666679084301,"(36, 21)"
24,0.0416666679084301,"(22, 12)"
25,0.02083333395421505,"(3, 14)"
25,0.0833333358168602,"(43, 5)"
25,0.02083333395421505,"(37, 16)"
25,0.0416666679084301,"(29, 17)"
25,0.0625,"(33, 8)"
26,0.0416666679084301,"(19, 5)"
26,0.0833333358168602,"(25, 12)"
26,0.02083333395421505,"(17, 19)"
26,0.0416666679084301,"(33, 16)"
26,0.0625,"(23, 24)"
27,0.0416666679084301,"(28, 0)"
27,0.0833333358168602,"(24, 14)"
27,0.02083333395421505,"(13, 1)"
27,0.0416666679084301,"(22, 19)"
27,0.0625,"(20, 1)"
28,0.02083333395421505,"(18, 2)"
28,0.0833333358168602,"(9, 19)"
28,0.02083333395421505,"(4, 2)"
28,0.0416666679084301,"(41, 14)"
28,0.0625,"(14, 21)"
