k_heads_ablated,accuracy,last_head_removed
0,0.0416666679084301,
1,0.02083333395421505,"(40, 8)"
2,0.02083333395421505,"(22, 22)"
3,0.02083333395421505,"(31, 16)"
4,0.02083333395421505,"(24, 10)"
5,0.02083333395421505,"(24, 1)"
6,0.02083333395421505,"(29, 20)"
7,0.02083333395421505,"(37, 21)"
8,0.02083333395421505,"(41, 12)"
9,0.02083333395421505,"(28, 24)"
10,0.02083333395421505,"(46, 11)"
11,0.02083333395421505,"(29, 19)"
12,0.02083333395421505,"(29, 11)"
13,0.02083333395421505,"(6, 16)"
14,0.02083333395421505,"(43, 3)"
15,0.02083333395421505,"(35, 12)"
16,0.02083333395421505,"(28, 15)"
17,0.02083333395421505,"(14, 15)"
18,0.02083333395421505,"(25, 19)"
19,0.02083333395421505,"(14, 23)"
20,0.02083333395421505,"(32, 3)"
21,0.02083333395421505,"(30, 1)"
22,0.0,"(28, 6)"
23,0.0,"(25, 4)"
24,0.0,"(9, 13)"
25,0.0,"(4, 7)"
26,0.0,"(35, 21)"
27,0.0,"(24, 8)"
28,0.0,"(23, 20)"
29,0.0,"(21, 20)"
30,0.0,"(11, 1)"
31,0.0,"(27, 19)"
32,0.0,"(10, 0)"
33,0.0,"(21, 12)"
34,0.0,"(38, 0)"
35,0.0,"(32, 15)"
36,0.0,"(19, 16)"
37,0.0,"(12, 18)"
38,0.0,"(2, 12)"
39,0.0,"(0, 13)"
40,0.0,"(33, 9)"
41,0.0,"(30, 17)"
42,0.0,"(28, 3)"
43,0.0,"(27, 5)"
44,0.0,"(19, 15)"
45,0.0,"(5, 4)"
46,0.0,"(34, 0)"
47,0.0,"(29, 5)"
48,0.0,"(27, 1)"
49,0.0,"(7, 21)"
50,0.0,"(3, 6)"
51,0.0,"(39, 19)"
52,0.0,"(35, 22)"
53,0.0,"(33, 2)"
54,0.0,"(27, 20)"
55,0.0,"(26, 8)"
56,0.0,"(24, 13)"
57,0.0,"(23, 18)"
58,0.0,"(18, 20)"
59,0.0,"(13, 12)"
60,0.0,"(12, 3)"
61,0.0,"(1, 17)"
62,0.0,"(0, 10)"
63,0.0,"(40, 24)"
64,0.0,"(38, 2)"
65,0.0,"(37, 12)"
66,0.0,"(32, 6)"
67,0.0,"(31, 19)"
68,0.0,"(28, 1)"
69,0.0,"(26, 17)"
70,0.0,"(20, 7)"
71,0.0,"(14, 5)"
72,0.0,"(5, 22)"
73,0.0,"(2, 2)"
74,0.0,"(1, 7)"
75,0.0,"(45, 23)"
76,0.0,"(35, 19)"
77,0.0,"(30, 9)"
78,0.0,"(28, 21)"
79,0.0,"(26, 23)"
80,0.0,"(25, 23)"
81,0.0,"(24, 23)"
82,0.0,"(18, 6)"
83,0.0,"(18, 3)"
84,0.0,"(13, 22)"
85,0.0,"(8, 21)"
86,0.0,"(8, 6)"
87,0.0,"(7, 0)"
88,0.0,"(6, 20)"
89,0.0,"(4, 10)"
90,0.0,"(40, 22)"
91,0.0,"(39, 3)"
92,0.0,"(34, 10)"
93,0.0,"(33, 19)"
94,0.0,"(33, 6)"
95,0.0,"(31, 11)"
96,0.0,"(25, 18)"
97,0.0,"(25, 10)"
98,0.0,"(22, 11)"
99,0.0,"(17, 18)"
100,0.0,"(15, 8)"
101,0.0,"(2, 19)"
102,0.0,"(1, 20)"
103,0.0,"(45, 18)"
104,0.0,"(43, 24)"
105,0.0,"(42, 23)"
106,0.0,"(42, 21)"
107,0.0,"(42, 9)"
108,0.0,"(42, 4)"
109,0.0,"(42, 0)"
110,0.0,"(39, 24)"
111,0.0,"(39, 14)"
112,0.0,"(38, 17)"
113,0.0,"(38, 8)"
114,0.0,"(38, 5)"
115,0.0,"(37, 5)"
116,0.0,"(34, 22)"
117,0.0,"(34, 8)"
118,0.0,"(30, 3)"
119,0.0,"(27, 14)"
120,0.0,"(26, 22)"
121,0.0,"(26, 10)"
122,0.0,"(25, 17)"
123,0.0,"(25, 3)"
124,0.0,"(24, 5)"
125,0.0,"(23, 14)"
126,0.0,"(23, 3)"
127,0.0,"(20, 22)"
128,0.0,"(20, 5)"
129,0.0,"(18, 15)"
130,0.0,"(16, 4)"
131,0.0,"(15, 22)"
132,0.0,"(12, 5)"
133,0.0,"(8, 16)"
134,0.0,"(5, 6)"
135,0.0,"(4, 21)"
136,0.0,"(4, 19)"
137,0.0,"(3, 0)"
138,0.0,"(1, 10)"
139,0.0,"(0, 20)"
140,0.0,"(0, 19)"
141,0.0,"(0, 2)"
142,0.0,"(47, 2)"
143,0.0,"(44, 19)"
144,0.0,"(43, 20)"
145,0.0,"(43, 17)"
146,0.0,"(41, 17)"
147,0.0,"(41, 11)"
148,0.0,"(41, 8)"
149,0.0,"(41, 1)"
150,0.0,"(40, 15)"
